run,design,period,hold,transactions,mismatches,pending
p1_h0,baseline,1,0,400,0,0
p1_h0,optimized,1,0,400,0,0
p2_h0,baseline,2,0,200,0,0
p2_h0,optimized,2,0,200,0,0
p4_h0,baseline,4,0,100,0,0
p4_h0,optimized,4,0,100,0,0
p8_h0,baseline,8,0,50,0,0
p8_h0,optimized,8,0,50,0,0
p16_h0,baseline,16,0,25,0,0
p16_h0,optimized,16,0,25,0,0
p1_h1,baseline,1,1,400,0,0
p1_h1,optimized,1,1,400,0,0
p2_h1,baseline,2,1,200,0,0
p2_h1,optimized,2,1,200,0,0
p4_h1,baseline,4,1,100,0,0
p4_h1,optimized,4,1,100,0,0
p8_h1,baseline,8,1,50,0,0
p8_h1,optimized,8,1,50,0,0
p16_h1,baseline,16,1,25,0,0
p16_h1,optimized,16,1,25,0,0
