run,scope,metric,baseline,optimized,reduction_pct,valid_duty_pct,inputs_held_when_invalid
p1_h0,all_signals,events,4429,4429,0.0,100.0,False
p1_h0,all_signals,bit_toggles,23008,23008,0.0,100.0,False
p1_h0,internal,events,2005,2005,0.0,100.0,False
p1_h0,internal,bit_toggles,12520,12520,0.0,100.0,False
p1_h0,internal+outputs,events,2409,2409,0.0,100.0,False
p1_h0,internal+outputs,bit_toggles,15831,15831,0.0,100.0,False
p1_h0,clock,events,823,823,0.0,100.0,False
p1_h0,clock,bit_toggles,823,823,0.0,100.0,False
p1_h0,inputs,events,1197,1197,0.0,100.0,False
p1_h0,inputs,bit_toggles,6354,6354,0.0,100.0,False
p2_h0,all_signals,events,5621,4425,21.28,50.0,False
p2_h0,all_signals,bit_toggles,24998,17067,31.73,50.0,False
p2_h0,internal,events,2401,1405,41.48,50.0,False
p2_h0,internal,bit_toggles,13714,7442,45.73,50.0,False
p2_h0,internal+outputs,events,3203,2007,37.34,50.0,False
p2_h0,internal+outputs,bit_toggles,17423,9492,45.52,50.0,False
p2_h0,clock,events,823,823,0.0,50.0,False
p2_h0,clock,bit_toggles,823,823,0.0,50.0,False
p2_h0,inputs,events,1595,1595,0.0,50.0,False
p2_h0,inputs,bit_toggles,6752,6752,0.0,50.0,False
p4_h0,all_signals,events,5219,3423,34.41,25.0,False
p4_h0,all_signals,bit_toggles,23998,12111,49.53,25.0,False
p4_h0,internal,events,2399,903,62.36,25.0,False
p4_h0,internal,bit_toggles,13114,3694,71.83,25.0,False
p4_h0,internal+outputs,events,3001,1205,59.85,25.0,False
p4_h0,internal+outputs,bit_toggles,16623,4736,71.51,25.0,False
p4_h0,clock,events,823,823,0.0,25.0,False
p4_h0,clock,bit_toggles,823,823,0.0,25.0,False
p4_h0,inputs,events,1395,1395,0.0,25.0,False
p4_h0,inputs,bit_toggles,6552,6552,0.0,25.0,False
p8_h0,all_signals,events,4819,2724,43.47,12.5,False
p8_h0,all_signals,bit_toggles,23498,9653,58.92,12.5,False
p8_h0,internal,events,2199,454,79.35,12.5,False
p8_h0,internal,bit_toggles,12814,1860,85.48,12.5,False
p8_h0,internal+outputs,events,2701,606,77.56,12.5,False
p8_h0,internal+outputs,bit_toggles,16223,2378,85.34,12.5,False
p8_h0,clock,events,823,823,0.0,12.5,False
p8_h0,clock,bit_toggles,823,823,0.0,12.5,False
p8_h0,inputs,events,1295,1295,0.0,12.5,False
p8_h0,inputs,bit_toggles,6452,6452,0.0,12.5,False
p16_h0,all_signals,events,4619,2374,48.6,6.2,False
p16_h0,all_signals,bit_toggles,23248,8429,63.74,6.2,False
p16_h0,internal,events,2099,229,89.09,6.2,False
p16_h0,internal,bit_toggles,12664,941,92.57,6.2,False
p16_h0,internal+outputs,events,2551,306,88.0,6.2,False
p16_h0,internal+outputs,bit_toggles,16023,1204,92.49,6.2,False
p16_h0,clock,events,823,823,0.0,6.2,False
p16_h0,clock,bit_toggles,823,823,0.0,6.2,False
p16_h0,inputs,events,1245,1245,0.0,6.2,False
p16_h0,inputs,bit_toggles,6402,6402,0.0,6.2,False
p1_h1,all_signals,events,4429,4429,0.0,100.0,True
p1_h1,all_signals,bit_toggles,23008,23008,0.0,100.0,True
p1_h1,internal,events,2005,2005,0.0,100.0,True
p1_h1,internal,bit_toggles,12520,12520,0.0,100.0,True
p1_h1,internal+outputs,events,2409,2409,0.0,100.0,True
p1_h1,internal+outputs,bit_toggles,15831,15831,0.0,100.0,True
p1_h1,clock,events,823,823,0.0,100.0,True
p1_h1,clock,bit_toggles,823,823,0.0,100.0,True
p1_h1,inputs,events,1197,1197,0.0,100.0,True
p1_h1,inputs,bit_toggles,6354,6354,0.0,100.0,True
p2_h1,all_signals,events,3827,3827,0.0,50.0,True
p2_h1,all_signals,bit_toggles,13937,13937,0.0,50.0,True
p2_h1,internal,events,1404,1404,0.0,50.0,True
p2_h1,internal,bit_toggles,7470,7470,0.0,50.0,True
p2_h1,internal+outputs,events,2006,2006,0.0,50.0,True
p2_h1,internal+outputs,bit_toggles,9519,9519,0.0,50.0,True
p2_h1,clock,events,823,823,0.0,50.0,True
p2_h1,clock,bit_toggles,823,823,0.0,50.0,True
p2_h1,inputs,events,998,998,0.0,50.0,True
p2_h1,inputs,bit_toggles,3595,3595,0.0,50.0,True
p4_h1,all_signals,events,2527,2527,0.0,25.0,True
p4_h1,all_signals,bit_toggles,7439,7439,0.0,25.0,True
p4_h1,internal,events,903,903,0.0,25.0,True
p4_h1,internal,bit_toggles,3769,3769,0.0,25.0,True
p4_h1,internal+outputs,events,1205,1205,0.0,25.0,True
p4_h1,internal+outputs,bit_toggles,4783,4783,0.0,25.0,True
p4_h1,clock,events,823,823,0.0,25.0,True
p4_h1,clock,bit_toggles,823,823,0.0,25.0,True
p4_h1,inputs,events,499,499,0.0,25.0,True
p4_h1,inputs,bit_toggles,1833,1833,0.0,25.0,True
p8_h1,all_signals,events,1679,1679,0.0,12.5,True
p8_h1,all_signals,bit_toggles,4182,4182,0.0,12.5,True
p8_h1,internal,events,454,454,0.0,12.5,True
p8_h1,internal,bit_toggles,1925,1925,0.0,12.5,True
p8_h1,internal+outputs,events,606,606,0.0,12.5,True
p8_h1,internal+outputs,bit_toggles,2428,2428,0.0,12.5,True
p8_h1,clock,events,823,823,0.0,12.5,True
p8_h1,clock,bit_toggles,823,823,0.0,12.5,True
p8_h1,inputs,events,250,250,0.0,12.5,True
p8_h1,inputs,bit_toggles,931,931,0.0,12.5,True
p16_h1,all_signals,events,1254,1254,0.0,6.2,True
p16_h1,all_signals,bit_toggles,2457,2457,0.0,6.2,True
p16_h1,internal,events,229,229,0.0,6.2,True
p16_h1,internal,bit_toggles,924,924,0.0,6.2,True
p16_h1,internal+outputs,events,306,306,0.0,6.2,True
p16_h1,internal+outputs,bit_toggles,1185,1185,0.0,6.2,True
p16_h1,clock,events,823,823,0.0,6.2,True
p16_h1,clock,bit_toggles,823,823,0.0,6.2,True
p16_h1,inputs,events,125,125,0.0,6.2,True
p16_h1,inputs,bit_toggles,449,449,0.0,6.2,True
