variant,order_mode,rep,prompt_id,position,generation_ms,gen_tokens,ms_per_token,toks_per_sec,duration_s,energy_j,avg_power_w,energy_method,idle_power_w,active_energy_j,mean_power_w,mean_gpu_util_pct,mean_mem_util_pct,mean_sm_clock_mhz,max_temp_c,n_power_samples,energy_j_per_token,active_energy_j_per_token
pipeline,interleaved,0,0,0,3299.3485930001043,129,25.57634568217135,39.09862700585391,3.30271,219.784,66.547,counter,54.554,39.6084,66.37,24.7,6.4,1095.0,32,33,1.703751937984496,0.3070418604651163
direct_no_grad,interleaved,0,0,1,3306.1135430016293,128,25.82901205470023,38.71615367565037,3.309254,220.542,66.644,counter,54.554,40.0094,66.57,27.0,6.9,1095.0,32,33,1.722984375,0.3125734375
direct,interleaved,0,0,2,3016.9962309992115,128,23.57028305468134,42.42630424420754,3.020789,203.912,67.503,counter,54.554,39.1162,67.79,29.1,6.9,1095.0,32,30,1.5930625,0.3055953125
direct_no_grad,interleaved,0,1,0,3318.347990001712,128,25.924593671888374,38.573410741027786,3.321748,220.909,66.504,counter,54.554,39.6947,66.91,27.2,6.9,1095.0,32,34,1.7258515625,0.31011484375
direct,interleaved,0,1,1,2960.4954049991647,128,23.128870351555975,43.23600698175585,2.964046,204.864,69.116,counter,54.554,43.1638,68.5,29.9,7.1,1095.0,32,29,1.6005,0.3372171875
pipeline,interleaved,0,1,2,3302.6994070005458,128,25.802339117191764,38.75617615356869,3.306158,220.963,66.834,counter,54.554,40.5993,66.77,27.3,6.9,1095.0,32,33,1.7262734375,0.31718203125
pipeline,interleaved,0,2,0,3346.3126290007494,129,25.940407976749995,38.54989485501867,3.349592,220.481,65.823,counter,54.554,37.7477,66.42,26.5,6.5,1095.0,32,34,1.7091550387596899,0.29261782945736436
direct,interleaved,0,2,1,2989.1782689992397,128,23.35295522655656,42.82113292722876,2.992364,204.553,68.358,counter,54.554,41.308,67.73,29.5,6.9,1095.0,32,29,1.5980703125,0.32271875
direct_no_grad,interleaved,0,2,2,3325.3755980003916,128,25.97949685937806,38.491892487864746,3.328508,221.087,66.422,counter,54.554,39.5039,66.67,27.1,6.9,1095.0,32,33,1.7272421875,0.30862421875
pipeline,interleaved,0,3,0,3322.592872000314,129,25.756533891475303,38.825099845091046,3.325919,221.137,66.489,counter,54.554,39.6952,66.81,26.8,6.8,1095.0,32,33,1.7142403100775194,0.30771472868217054
direct_no_grad,interleaved,0,3,1,3366.6516829998727,128,26.301966273436506,38.01997119165738,3.369864,227.217,67.426,counter,54.554,43.3779,66.73,26.5,6.4,1095.0,32,33,1.7751328125,0.33888984375
direct,interleaved,0,3,2,2980.2268849998654,128,23.28302253906145,42.94975011609083,2.983519,198.355,66.484,counter,54.554,35.5924,67.96,29.8,7.0,1095.0,32,29,1.5496484375,0.278065625
