batch,prompt,tokens_in_flight,mode,status,ttft_ms,peak_extra_gib
4,2048,8192,full,ok,597.96769400009,2.81304931640625
4,2048,8192,last,ok,568.971079999983,1.52886962890625
4,2048,4096,chunked,ok,674.795149999909,0.99224853515625
16,4096,65536,full,ok,4902.162583000063,22.50146484375
16,4096,65536,last,ok,4633.4091190001345,12.22021484375
16,4096,16384,chunked,ok,5240.981959999999,5.748809814453125
32,2048,65536,full,ok,4813.303843999847,22.50146484375
32,2048,65536,last,ok,4527.425045999962,12.22021484375
32,2048,32768,chunked,ok,4780.072089999976,7.932403564453125
32,4096,131072,full,ok,10055.120071000147,45.0029296875
32,4096,131072,last,ok,9959.164986000133,24.4404296875
32,4096,32768,chunked,ok,10540.36421900014,11.496368408203125
16,8192,131072,full,ok,10614.408946999902,45.0029296875
16,8192,131072,last,ok,10487.162067999861,24.4404296875
16,8192,16384,chunked,ok,12249.232356999983,9.687149047851562
32,8192,262144,full,OOM,,
32,8192,262144,last,ok,19614.320831000216,48.88232421875
32,8192,32768,chunked,ok,24484.50972699993,19.375762939453125
