model,prompt_len,out_len,batch,rep,status,prompt_tokens_total,output_tokens_total,ttft_ms,prefill_ms,prefill_tok_s,itl_p50_ms,itl_p95_ms,itl_p99_ms,tpot_ms,decode_tok_s,e2e_ms,prefill_tflops,decode_bytes_per_step_mb,kv_share_of_step_bytes,decode_est_gbps,decode_pct_peak_bw,energy_j_per_out_token,avg_power_w,decode_gpu_util_pct,decode_sm_clock_mhz,peak_mem_gb
Qwen/Qwen2.5-7B-Instruct,512,128,1,0,ok,512.0,128.0,68.56100000004517,68.56100000004517,7467.802394942645,29.95766100139008,32.428096601506695,38.28482571821949,30.437069275591973,32.85467437569351,3934.068798000226,113.74383845455671,15264.263168,0.002163887220527294,501.5023959695319,32.25095794016283,4.5208125,146.94703259363993,51.3,1394.0,15.47464704
Qwen/Qwen2.5-7B-Instruct,512,128,1,1,ok,512.0,128.0,44.99111200129846,44.99111200129846,11380.025458922275,30.3220780006086,32.023181198019294,35.2933128197037,30.511004511793107,32.77505988416344,3919.888684999023,173.33181958389773,15264.263168,0.002163887220527294,500.2871394188304,32.172806393493914,4.676171875,152.55962546418877,55.1,1410.0,15.47464704
Qwen/Qwen2.5-7B-Instruct,512,128,1,2,ok,512.0,128.0,45.257622998178704,45.257622998178704,11313.01129139293,30.305481999675976,30.78781560107018,32.82920145858952,30.398738244095842,32.89610219905176,3905.8973799983505,172.31111118234887,15264.263168,0.002163887220527294,502.13476116774956,32.291624512395465,4.6925703125,153.62855306839037,55.3,1410.0,15.47464704
Qwen/Qwen2.5-7B-Instruct,512,128,4,0,ok,2048.0,512.0,154.98606900291634,154.98606900291634,13214.090873944699,30.96779199768207,31.69721910162479,33.92283540168137,31.177391811012974,128.2980957562671,4114.514829001564,201.2668973013635,15363.3536,0.00859972239394402,492.7722528275477,31.689533943893743,1.288091796875,160.12863392479943,56.5,1410.0,16.047075328
Qwen/Qwen2.5-7B-Instruct,512,128,4,1,ok,2048.0,512.0,153.77074500065646,153.77074500065646,13318.528176417802,30.991880001238314,31.710439098242205,32.50919698155485,31.06189689765236,128.77513608328013,4098.631651002506,202.85760619172933,15363.3536,0.00859972239394402,494.6044876338879,31.80736254880308,1.293044921875,161.37943566801152,57.1,1408.0,16.047075328
Qwen/Qwen2.5-7B-Instruct,512,128,4,2,ok,2048.0,512.0,154.2596860017511,154.2596860017511,13276.31381264935,30.875393000314943,31.40467190060008,33.93254283815621,30.975082204714976,129.13605760798035,4088.095126000553,202.21462938021216,15363.3536,0.00859972239394402,495.99072888534306,31.89650989616354,1.28357421875,160.60820258564732,57.6,1408.0,16.047075328
Qwen/Qwen2.5-7B-Instruct,512,128,16,0,ok,8192.0,2048.0,589.1665790004481,589.1665790004481,13904.386793117417,31.418697002663976,31.702473102268414,31.79009602034057,31.42672122047534,509.12088116833445,4580.360174000816,211.78095530179948,15759.715328,0.03353374683494792,501.47500967209174,32.24919676347857,0.4337744140625,193.65129523483637,63.7,1407.0,18.306379776
Qwen/Qwen2.5-7B-Instruct,512,128,16,1,ok,8192.0,2048.0,591.4670229976764,591.4670229976764,13850.307255476833,31.30458799932967,32.007961100680404,32.383713459494174,31.389387755910956,509.72641213707743,4577.919267998368,210.95725726216554,15759.715328,0.03353374683494792,502.07144690269655,32.28755285547888,0.4439736328125,198.41934506576018,63.4,1407.0,18.306379776
Qwen/Qwen2.5-7B-Instruct,512,128,16,2,ok,8192.0,2048.0,591.2327000005462,591.2327000005462,13855.79654168728,31.03412700147601,31.636793797952123,33.26267472170002,31.071229748031186,514.9458238296421,4537.278878000507,211.04086585957228,15759.715328,0.03353374683494792,507.21247455609983,32.61816556630867,0.43816357421875,197.57400298783804,63.7,1407.0,18.306379776
Qwen/Qwen2.5-7B-Instruct,512,128,32,0,ok,16384.0,4096.0,1164.8935390003317,1164.8935390003317,14064.804594984826,30.522454999299953,31.652073298755564,33.139075462240726,30.66585263777382,1043.5059601304806,5059.456823997607,214.2243162232398,16288.197632,0.06489144053136209,531.1509783992244,34.157619189660736,0.28409716796875,229.58366091700483,66.9,1405.0,21.326082048
Qwen/Qwen2.5-7B-Instruct,512,128,32,1,ok,16384.0,4096.0,1170.569448000606,1170.569448000606,13996.60654733876,30.735783999261912,31.186429399167533,33.62656882069131,30.84037670080539,1037.6008150109374,5087.2972890028905,213.18557586776075,16288.197632,0.06489144053136209,528.1452230632007,33.964323026572394,0.284552490234375,228.75983071931097,65.6,1409.0,21.326082048
Qwen/Qwen2.5-7B-Instruct,512,128,32,2,ok,16384.0,4096.0,1167.803009000636,1167.803009000636,14029.763473568064,30.34183099953225,30.84947499955888,34.91524774144635,30.47625434644613,1049.99779947471,5038.287310999294,213.69059673751883,16288.197632,0.06489144053136209,534.4553647190369,34.37011991762295,0.286592041015625,232.58827341838222,67.7,1409.0,21.326082048
