prompt_len,out_len,batch,avg_power_w,decode_bytes_per_step_mb,decode_est_gbps,decode_gpu_util_pct,decode_pct_peak_bw,decode_sm_clock_mhz,decode_tok_s,e2e_ms,energy_j_per_out_token,itl_p50_ms,itl_p95_ms,itl_p99_ms,kv_share_of_step_bytes,output_tokens_total,peak_mem_gb,prefill_ms,prefill_tflops,prefill_tok_s,prompt_tokens_total,tpot_ms,ttft_ms
512,128,1,152.55962546418877,15264.263168,501.5023959695319,55.1,32.25095794016283,1410.0,32.85467437569351,3919.888684999023,4.676171875,30.305481999675976,32.023181198019294,35.2933128197037,0.002163887220527294,128.0,15.47464704,45.257622998178704,172.31111118234887,11313.01129139293,512.0,30.437069275591973,45.257622998178704
512,128,4,160.60820258564732,15363.3536,494.6044876338879,57.1,31.80736254880308,1408.0,128.77513608328013,4098.631651002506,1.288091796875,30.96779199768207,31.69721910162479,33.92283540168137,0.00859972239394402,512.0,16.047075328,154.2596860017511,202.21462938021216,13276.31381264935,2048.0,31.06189689765236,154.2596860017511
512,128,16,197.57400298783804,15759.715328,502.07144690269655,63.7,32.28755285547888,1407.0,509.72641213707743,4577.919267998368,0.43816357421875,31.30458799932967,31.702473102268414,32.383713459494174,0.03353374683494792,2048.0,18.306379776,591.2327000005462,211.04086585957228,13855.79654168728,8192.0,31.389387755910956,591.2327000005462
512,128,32,229.58366091700483,16288.197632,531.1509783992244,66.9,34.157619189660736,1409.0,1043.5059601304806,5059.456823997607,0.284552490234375,30.522454999299953,31.186429399167533,33.62656882069131,0.06489144053136209,4096.0,21.326082048,1167.803009000636,213.69059673751883,14029.763473568064,16384.0,30.66585263777382,1167.803009000636
2048,128,1,165.19462830411192,15352.343552,507.00445641256135,57.5,32.604788193733846,1408.0,33.024564275498655,4004.6101239968266,5.1779453125,30.198390999430558,30.829509000614053,31.542533499523415,0.007888732270078913,128.0,16.047075328,158.98784899763996,196.20093881272047,12881.48756594852,2048.0,30.280490354324304,158.98784899763996
2048,128,4,194.14957542685198,15715.675136,507.5024395671828,60.5,32.63681283390243,1406.0,129.17101815235253,4532.110792002641,1.720224609375,30.93594399979338,31.329992198152468,31.465933619183488,0.030825408886843486,512.0,18.306379776,601.5250910022587,207.42985255146985,13618.717028662133,8192.0,30.966698700804116,601.5250910022587
2048,128,16,266.2366221368159,17169.001472,550.1371259035337,72.5,35.378593305693485,1408.0,512.6794373459379,6364.862080998137,0.8298798828125,31.22132499993313,31.518583299111924,32.118896458850934,0.11286436495216112,2048.0,27.366273024,2406.0910059997695,207.43065930835363,13618.76999593553,32768.0,31.20858539369069,2406.0910059997695
2048,128,32,311.88681603218697,19106.76992,622.9647832033914,86.4,40.062043935909415,1405.0,1043.3408234869523,9221.169339998596,0.697548828125,30.501991001074202,32.00367120116425,36.4112207198923,0.20283579653844497,4096.0,39.446654976,5325.989635999576,187.41945735565142,12304.943208493545,65536.0,30.67070633070094,5325.989635999576
4096,128,1,180.5765464187027,15469.784064,505.90394653003943,59.9,32.53401585402183,1408.0,32.70271546371078,4207.312467002339,5.9503671875,30.36520100067719,31.323468099799356,34.4008671004849,0.01542045053848784,128.0,16.796332032,321.7756960002589,193.88391118965615,12729.36412200847,4096.0,30.578500464576706,321.7756960002589
4096,128,4,225.4919081417536,16185.437184,532.0438227669914,64.6,34.215036833890125,1406.0,131.48704399358198,5089.668648000952,2.265109375,30.408155002078274,30.767309297516476,31.289574559123135,0.05895448786167312,512.0,21.326082048,1225.890462003008,203.56510601891253,13364.978770802933,16384.0,30.421248196858425,1225.890462003008
4096,128,16,308.7023452275025,19048.049664,608.543295972609,84.5,39.134617104347846,1402.0,511.1648125300553,9414.938806999999,1.40610986328125,31.097180999495322,32.13706349815766,33.23433786150417,0.20037834357465056,2048.0,39.446654976,5443.217328000173,183.38310365197165,12039.938156222359,65536.0,31.301059086611595,5443.217328000173
8192,128,1,199.54753839017917,15704.665088,512.7453501010124,62.1,32.97397749845739,1406.0,32.649238123059575,4555.930481998075,7.0826953125,30.547244001354557,31.4659562009183,31.957707581823342,0.030145950986356973,128.0,18.306379776,658.3425319986418,189.52787472777987,12443.370436860823,8192.0,30.628586070855903,658.3425319986418
8192,128,4,268.1716140966673,17124.96128,548.6281542285212,69.7,35.281553326593006,1406.0,128.14701189876703,6548.4509199995955,3.4454375,31.157801000517793,31.92186950036557,32.47655377876072,0.11058292191361963,512.0,27.366273024,2585.215128001437,193.05822495177452,12675.154050074005,32768.0,31.21414959843075,2585.215128001437
