model,prompt_len,out_len,batch,rep,status,prompt_tokens_total,output_tokens_total,ttft_ms,prefill_ms,prefill_tok_s,itl_p50_ms,itl_p95_ms,itl_p99_ms,tpot_ms,decode_tok_s,e2e_ms,last_token_logits,prefill_tflops,decode_bytes_per_step_mb,kv_share_of_step_bytes,decode_est_gbps,decode_pct_peak_bw,energy_j_per_out_token,avg_power_w,decode_gpu_util_pct,decode_sm_clock_mhz,peak_mem_gb
Qwen/Qwen2.5-7B-Instruct,512,128,1,0,ok,512.0,128.0,66.65070500002912,66.65070500002912,7681.839224352935,29.04785900045681,29.715425399626838,30.048986179845087,29.148133133856206,34.30751449527578,3768.463612999767,False,117.00388327902297,15264.263168,0.002163887220527294,523.6789298958641,33.677101601020205,4.5277578125,153.6369148753033,55.2,1397.0,15.47464704
Qwen/Qwen2.5-7B-Instruct,512,128,1,1,ok,512.0,128.0,44.27665799994429,44.27665799994429,11563.655052751366,29.212870000264957,30.01665759966272,30.430887759794132,29.263636984255502,34.17210241290317,3760.7585550003932,False,176.12872471761105,15264.263168,0.002163887220527294,521.6119642344019,33.544177764270216,4.572671875,155.49181007613186,57.3,1410.0,15.47464704
Qwen/Qwen2.5-7B-Instruct,512,128,1,2,ok,512.0,128.0,44.30645499996899,44.30645499996899,11555.878257476441,29.13516099943081,29.77910530044028,30.148217719979584,29.138321448818164,34.31906679169948,3744.8732789998758,False,176.01027453659876,15264.263168,0.002163887220527294,523.8552671886703,33.688441619850174,4.5804453125,156.41559611374953,57.4,1410.0,15.47464704
Qwen/Qwen2.5-7B-Instruct,512,128,4,0,ok,2048.0,512.0,154.0081260000079,154.0081260000079,13297.999613344395,29.76401099931536,30.519730000196432,31.340770659880942,30.038968267716,133.16036570733186,3968.95709599994,False,202.54493086391037,15363.3536,0.00859972239394402,511.44744596676344,32.890510994647165,1.26666015625,163.25363926598092,58.8,1408.0,16.047075328
Qwen/Qwen2.5-7B-Instruct,512,128,4,1,ok,2048.0,512.0,154.22321999994892,154.22321999994892,13279.452990286925,29.85373100000288,30.53164310003922,30.848399319493183,29.802092078743883,134.21876522732342,3939.088914000422,False,202.26244292631375,15363.3536,0.00859972239394402,515.5125874856885,33.15193488653946,1.268724609375,164.75800964839237,59.0,1407.0,16.047075328
Qwen/Qwen2.5-7B-Instruct,512,128,4,2,ok,2048.0,512.0,153.86170100009622,153.86170100009622,13310.654871797624,29.709566999372328,30.424061799840274,30.623388400217664,29.74121778739988,134.49348404605792,3930.996359999881,False,202.73768605439045,15363.3536,0.00859972239394402,516.5677380738866,33.219790229831936,1.27012109375,165.27882370346336,59.4,1408.0,16.047075328
Qwen/Qwen2.5-7B-Instruct,512,128,16,0,ok,8192.0,2048.0,593.3236430000761,593.3236430000761,13806.967068728372,29.891187000430364,30.353925800136494,31.004737300008856,29.91799730708716,534.7951547615729,4392.909301000145,False,210.29713277849606,15759.715328,0.03353374683494792,526.7637123647559,33.87547989483961,0.42498193359375,197.79868700998387,65.8,1410.0,18.306379776
Qwen/Qwen2.5-7B-Instruct,512,128,16,1,ok,8192.0,2048.0,589.8922830001538,589.8922830001538,13887.28118010973,29.45277900016663,30.138431700106594,30.491771880006123,29.561824157478735,541.2385891603452,4344.243950999953,False,211.52041572406102,15759.715328,0.03353374683494792,533.1103806059617,34.28362576244127,0.42935791015625,202.20331930826606,66.4,1409.0,18.306379776
Qwen/Qwen2.5-7B-Instruct,512,128,16,2,ok,8192.0,2048.0,594.9971970003389,594.9971970003389,13768.13208751189,29.95512300003611,30.72204119998787,30.85186085996611,29.985394409448233,533.5931147518436,4403.142287000264,False,209.70562813010517,15759.715328,0.03353374683494792,525.5797243418682,33.79933918597223,0.42934912109375,199.50373513100627,65.7,1407.0,18.306379776
Qwen/Qwen2.5-7B-Instruct,512,128,32,0,ok,16384.0,4096.0,1169.589248000193,1169.589248000193,14008.336711383052,29.31820899993909,29.79145179997431,30.80934543993862,29.39608717322584,1088.5802525836098,4902.892318999875,False,213.3642407297291,16288.197632,0.06489144053136209,554.0940716366974,35.63305926924099,0.28401513671875,236.8900248608837,70.0,1408.0,21.326082048
Qwen/Qwen2.5-7B-Instruct,512,128,32,1,ok,16384.0,4096.0,1170.637264999641,1170.637264999641,13995.795700220619,29.197544999988168,29.788569200081838,30.001106960244215,29.24531559842655,1094.1923294451183,4884.792345999813,False,213.17322566635747,16288.197632,0.06489144053136209,556.9506534193919,35.8167622777744,0.28598779296875,239.42859085217574,70.3,1404.0,21.326082048
Qwen/Qwen2.5-7B-Instruct,512,128,32,2,ok,16384.0,4096.0,1167.3883089997616,1167.3883089997616,14034.747370425606,29.253445999529504,30.28591320007763,33.540064660228374,29.51057264567143,1084.3571347875459,4915.231035000033,False,213.76650763192364,16288.197632,0.06489144053136209,551.9444785965253,35.49482177469616,0.28677978515625,238.61436519296916,69.3,1405.0,21.326082048
Qwen/Qwen2.5-7B-Instruct,2048,128,1,0,ok,2048.0,128.0,164.23118799957592,164.23118799957592,12470.225813657808,29.14823700029956,29.76149610003631,30.667036340291812,29.19639008662019,34.2508096731544,3872.17272900034,False,189.93691522972208,15352.343552,0.007888732270078913,525.8301970364311,33.81544675475441,5.0785,167.71316005810624,60.6,1408.0,16.047075328
Qwen/Qwen2.5-7B-Instruct,2048,128,1,1,ok,2048.0,128.0,158.36290599963831,158.36290599963831,12932.321411206469,29.108001999702537,29.62955939992753,29.847629799878632,29.176593086615,34.274049647652596,3863.7902279997434,False,196.97520095535026,15352.343552,0.007888732270078913,526.1869851090672,33.838391325341945,5.05371875,167.2663073386716,59.4,1408.0,16.047075328
Qwen/Qwen2.5-7B-Instruct,2048,128,1,2,ok,2048.0,128.0,158.4313180001118,158.4313180001118,12926.73712402339,29.06924299986713,29.535223200036853,29.771569399836153,29.074448480310448,34.39446153818572,3850.8862749995387,False,196.8901453759918,15352.343552,0.007888732270078913,528.0355898202776,33.957272657252574,5.033953125,167.17010129149136,59.6,1408.0,16.047075328
