prompt_len,out_len,batch,avg_power_w,decode_bytes_per_step_mb,decode_est_gbps,decode_gpu_util_pct,decode_pct_peak_bw,decode_sm_clock_mhz,decode_tok_s,e2e_ms,energy_j_per_out_token,itl_p50_ms,itl_p95_ms,itl_p99_ms,kv_share_of_step_bytes,output_tokens_total,peak_mem_gb,prefill_ms,prefill_tflops,prefill_tok_s,prompt_tokens_total,tpot_ms,ttft_ms
512,128,1,155.49181007613186,15264.263168,523.6789298958641,57.3,33.677101601020205,1410.0,34.30751449527578,3760.7585550003932,4.572671875,29.13516099943081,29.77910530044028,30.148217719979584,0.002163887220527294,128.0,15.47464704,44.30645499996899,176.01027453659876,11555.878257476441,512.0,29.148133133856206,44.30645499996899
512,128,4,164.75800964839237,15363.3536,515.5125874856885,59.0,33.15193488653946,1408.0,134.21876522732342,3939.088914000422,1.268724609375,29.76401099931536,30.519730000196432,30.848399319493183,0.00859972239394402,512.0,16.047075328,154.0081260000079,202.54493086391037,13297.999613344395,2048.0,29.802092078743883,154.0081260000079
512,128,16,199.50373513100627,15759.715328,526.7637123647559,65.8,33.87547989483961,1409.0,534.7951547615729,4392.909301000145,0.42934912109375,29.891187000430364,30.353925800136494,30.85186085996611,0.03353374683494792,2048.0,18.306379776,593.3236430000761,210.29713277849606,13806.967068728372,8192.0,29.91799730708716,593.3236430000761
512,128,32,238.61436519296916,16288.197632,554.0940716366974,70.0,35.63305926924099,1405.0,1088.5802525836098,4902.892318999875,0.28598779296875,29.253445999529504,29.79145179997431,30.80934543993862,0.06489144053136209,4096.0,21.326082048,1169.589248000193,213.3642407297291,14008.336711383052,16384.0,29.39608717322584,1169.589248000193
2048,128,1,167.2663073386716,15352.343552,526.1869851090672,59.6,33.838391325341945,1408.0,34.274049647652596,3863.7902279997434,5.05371875,29.108001999702537,29.62955939992753,29.847629799878632,0.007888732270078913,128.0,16.047075328,158.4313180001118,196.8901453759918,12926.73712402339,2048.0,29.176593086615,158.4313180001118
2048,128,4,196.85888316601876,15715.675136,525.8047989069468,63.9,33.81381343453034,1407.0,133.82938864713034,4397.051328999623,1.69227734375,29.851414999939152,30.38311589980367,30.68681804033986,0.030825408886843486,512.0,18.306379776,601.1735689999114,207.55114224362447,13626.680250809908,8192.0,29.888801259840253,601.1735689999114
2048,128,16,272.6779307922473,17169.001472,573.6509985234285,74.7,36.89073945488286,1405.0,534.5922994615289,6203.994323999723,0.82702490234375,29.848108999431133,30.664393200277118,31.33207575938286,0.11286436495216112,2048.0,27.366273024,2402.5072540007386,207.74007774557944,13639.08472926922,32768.0,29.929349929125596,2402.5072540007386
2048,128,32,311.88120198102195,19106.76992,642.1485132744907,88.5,41.295724326333804,1404.0,1075.4697162744558,9089.70882200083,0.6912666015625,29.603902001326787,30.845812200641376,31.917891239281744,0.20283579653844497,4096.0,39.446654976,5310.894841000845,187.9521469253481,12339.916711220298,65536.0,29.75444079527547,5310.894841000845
4096,128,1,181.22236728110238,15469.784064,523.8552823131432,61.7,33.688442592485096,1408.0,33.86312828581853,4074.3086239999684,5.774046875,29.397488999165944,30.241049600044786,32.04002111899172,0.01542045053848784,128.0,16.796332032,322.46809599928383,193.46760575794312,12702.03176939742,4096.0,29.530644409447188,322.46809599928383
4096,128,4,227.599018860305,16185.437184,537.4658763130598,65.4,34.563721949392914,1406.0,132.8270272104526,5052.289465000285,2.249396484375,30.073472998992656,30.804178301150387,31.91520805950858,0.05895448786167312,512.0,21.326082048,1227.4449039996398,203.3073102116926,13348.053298858951,16384.0,30.114353110247333,1227.4449039996398
4096,128,16,308.6137199724561,19048.049664,624.515428006853,86.7,40.161763858961606,1405.0,524.5811001319767,9321.296354999504,1.4011923828125,30.341768000653246,31.509714300045744,32.69686885909323,0.20037834357465056,2048.0,39.446654976,5447.729428000457,183.23121598703236,12029.966037438544,65536.0,30.500526984244463,5447.729428000457
8192,128,1,203.20786678870766,15704.665088,539.9922791494969,64.1,34.72619158517665,1408.0,34.384195786646046,4352.306394999687,7.0105703125,28.908723999848007,29.83236320069409,30.494971960870313,0.030145950986356973,128.0,18.306379776,658.7490179990709,189.41092513747623,12435.692162218227,8192.0,29.083128952760756,658.7490179990709
8192,128,4,273.5231497405808,17124.96128,566.6837482194752,72.3,36.4426847729566,1405.0,132.36438645412812,6426.867845000743,3.433423828125,30.194037000910612,30.82811420026701,31.116098119600792,0.11058292191361963,512.0,27.366273024,2588.9775060004467,192.77766708041298,12656.73414467833,32768.0,30.219608968506268,2588.9775060004467
