model,prompt_len,out_len,batch,rep,status,prompt_tokens_total,output_tokens_total,ttft_ms,prefill_ms,prefill_tok_s,itl_p50_ms,itl_p95_ms,itl_p99_ms,tpot_ms,decode_tok_s,e2e_ms,last_token_logits,prefill_tflops,decode_bytes_per_step_mb,kv_share_of_step_bytes,decode_est_gbps,decode_pct_peak_bw,energy_j_per_out_token,avg_power_w,decode_gpu_util_pct,decode_sm_clock_mhz,peak_mem_gb
Qwen/Qwen2.5-7B-Instruct,512,128,1,0,ok,512.0,128.0,65.12812400069379,65.12812400069379,7861.427115489245,29.26311400005943,32.116355699872656,35.99834571916289,29.640083212587513,33.738096915170644,3829.418691999308,True,111.18705015883553,15264.263168,0.002163887220527294,514.9871901006537,33.11814727335394,4.4978203125,150.1870349682255,52.2,1393.0,15.388401664
Qwen/Qwen2.5-7B-Instruct,512,128,1,1,ok,512.0,128.0,42.99109000021417,42.99109000021417,11909.444491810962,29.008964000240667,29.78517120009201,30.18355988064286,29.040161110239616,34.435070666581055,3731.0915510006453,True,168.4396462145976,15264.263168,0.002163887220527294,525.6259808633704,33.80231388188877,4.5914765625,157.37206470040198,57.5,1410.0,15.388401664
Qwen/Qwen2.5-7B-Instruct,512,128,1,2,ok,512.0,128.0,43.00417800004652,43.00417800004652,11905.819941482107,29.059954000331345,29.97204459970817,30.756398161465768,29.188769842522294,34.259751452190244,3749.977948000378,True,168.38838286847772,15264.263168,0.002163887220527294,522.9498622365021,33.63021622099692,4.5895625,156.51251333707296,57.3,1410.0,15.388401664
Qwen/Qwen2.5-7B-Instruct,512,128,4,0,ok,2048.0,512.0,147.23169199896802,147.23169199896802,13910.04866000151,30.04573399994115,30.96856489955826,31.78405102014949,30.264951417332732,132.1660803231688,3990.880522000225,True,196.73492552314775,15363.3536,0.00859972239394402,507.62855648271125,32.64492324647661,1.28478125,164.67624491234977,58.0,1408.0,15.702093824
Qwen/Qwen2.5-7B-Instruct,512,128,4,1,ok,2048.0,512.0,146.77382500121894,146.77382500121894,13953.44163022931,29.86871900066035,30.439041199679195,31.100615620671302,29.88806516534498,133.83268464758214,3942.5581010000315,True,197.3486482335896,15363.3536,0.00859972239394402,514.029714369524,33.05657327135202,1.2561953125,162.98639590157202,58.8,1408.0,15.702093824
Qwen/Qwen2.5-7B-Instruct,512,128,4,2,ok,2048.0,512.0,146.80521999980556,146.80521999980556,13950.457619985942,29.89002399954188,30.32706270023482,30.85634451916121,29.85403876377895,133.9852216194308,3938.268142999732,True,197.3064442810846,15363.3536,0.00859972239394402,514.61558422842,33.094249789609,1.261546875,163.85901274258555,59.1,1408.0,15.702093824
Qwen/Qwen2.5-7B-Instruct,512,128,16,0,ok,8192.0,2048.0,556.0991909987933,556.0991909987933,14731.18489039085,30.20286799983296,31.031866000193986,31.43977606123371,30.330625692919615,527.5196153877907,4408.0886539995845,True,208.34855672449163,15759.715328,0.03353374683494792,519.5974355279769,33.414626078969576,0.4273310546875,198.33109006432596,64.7,1407.0,16.927502336
Qwen/Qwen2.5-7B-Instruct,512,128,16,1,ok,8192.0,2048.0,556.3019479996001,556.3019479996001,14725.815772275328,29.966108000735403,30.598107700279797,30.85148824062344,29.973221181112816,533.8098265555177,4362.901038000928,True,208.27261931561543,15759.715328,0.03353374683494792,525.7931816127508,33.813066341656,0.43150537109375,202.33683960160025,65.5,1408.0,16.927502336
Qwen/Qwen2.5-7B-Instruct,512,128,16,2,ok,8192.0,2048.0,555.2890019989718,555.2890019989718,14752.678281957345,30.008546000317438,30.52998280036263,31.69205388010596,30.02330329133735,532.9193741521605,4368.248519998815,True,208.65254565310215,15759.715328,0.03353374683494792,524.9161018383732,33.75666249764458,0.4224169921875,197.84527801103846,65.6,1410.0,16.927502336
Qwen/Qwen2.5-7B-Instruct,512,128,32,0,ok,16384.0,4096.0,1100.1977270007046,1100.1977270007046,14891.868614076411,28.981126999497064,30.231836400162138,32.09268129940028,29.286249708651823,1092.662949962708,4819.551439999486,True,210.62116562649797,16288.197632,0.06489144053136209,556.1721898173973,35.76670030980047,0.276364013671875,234.47500240022947,69.6,1406.0,18.566623232
