model,prompt_len,out_len,batch,rep,status,prompt_tokens_total,output_tokens_total,ttft_ms,prefill_ms,prefill_tok_s,itl_p50_ms,itl_p95_ms,itl_p99_ms,tpot_ms,decode_tok_s,e2e_ms,last_token_logits,prefill_tflops,decode_bytes_per_step_mb,kv_share_of_step_bytes,decode_est_gbps,decode_pct_peak_bw,energy_j_per_out_token,avg_power_w,decode_gpu_util_pct,decode_sm_clock_mhz,peak_mem_gb
Qwen/Qwen2.5-7B-Instruct,512,32,1,0,ok,512.0,32.0,66.97620800059667,66.97620800059667,7644.505642890961,30.337518000123964,31.08235749959931,34.220219899452786,30.534248483872357,32.750110110886865,1013.5379110006397,False,116.43524680015516,15261.510656,0.0019839210339309687,499.8161544424732,32.14251797057705,4.32840625,136.1487813641989,40.3,1347.0,15.47464704
Qwen/Qwen2.5-7B-Instruct,512,32,1,1,ok,512.0,32.0,44.40102500029752,44.40102500029752,11531.26532544168,30.08995300024253,30.90092999946137,31.01555669954905,30.17104229031482,33.14436373717885,979.7033360000569,False,175.63538923337344,15261.510656,0.0019839210339309687,505.833060361295,32.52945725796109,4.98946875,162.4195224149796,57.0,1408.0,15.47464704
Qwen/Qwen2.5-7B-Instruct,512,32,1,2,ok,512.0,32.0,44.30012800003169,44.30012800003169,11557.528682527367,30.03660400008812,30.610142499881476,30.719359799877566,30.12176132256906,33.19858985970847,978.0747289996725,False,176.03541254513803,15261.510656,0.0019839210339309687,506.66063290811434,32.582677357435,5.00928125,163.32765987496816,57.2,1410.0,15.47464704
Qwen/Qwen2.5-7B-Instruct,512,32,4,0,ok,2048.0,128.0,154.3838269999469,154.3838269999469,13265.638245907094,30.453970000053232,32.22265449994666,44.67003790023226,31.199698064512866,128.20636891193755,1121.5744669998458,False,202.05202733549757,15352.343552,0.007888732270078913,492.0670552726294,31.64418361881861,1.59409375,181.31987699156693,61.2,1402.0,16.047075328
Qwen/Qwen2.5-7B-Instruct,512,32,4,1,ok,2048.0,128.0,153.4330719996433,153.4330719996433,13347.839375886062,30.754868000258284,31.150042499575648,31.197017000067717,30.715979258069815,130.22537768998868,1105.6284289998075,False,203.30405190104335,15352.343552,0.007888732270078913,499.8161843714156,32.14251989526788,1.6276875,187.58678502134237,62.4,1402.0,16.047075328
Qwen/Qwen2.5-7B-Instruct,512,32,4,2,ok,2048.0,128.0,153.71238800071296,153.71238800071296,13323.584563597442,30.353792000823887,30.986706499788852,31.18941159973474,30.448287516118135,131.3702781439697,1097.6093010003751,False,202.934621203122,15352.343552,0.007888732270078913,504.21041064700495,32.42510679401961,1.5054453125,174.82411705555845,62.4,1402.0,16.047075328
Qwen/Qwen2.5-7B-Instruct,512,32,16,0,ok,8192.0,512.0,587.2074930002782,587.2074930002782,13950.775658777431,30.587311000090267,31.60578249980972,33.228882900039025,30.79634616129155,519.5421533516425,1541.8942240003162,False,212.48751492438615,15715.675136,0.030825408886843486,510.30973134576914,32.81734606725203,0.76573828125,253.5542889084783,74.3,1398.0,18.306379776
Qwen/Qwen2.5-7B-Instruct,512,32,16,1,ok,8192.0,512.0,590.9526920004282,590.9526920004282,13862.361760751677,30.39512299983471,31.874341500042647,32.521742500284745,30.581490129025628,523.1922948324227,1538.9788860002227,False,211.14086224099574,15715.675136,0.030825408886843486,513.8950087027929,33.0479105275108,0.75846875,251.62241628954163,75.0,1390.0,18.306379776
Qwen/Qwen2.5-7B-Instruct,512,32,16,2,ok,8192.0,512.0,587.3519950000627,587.3519950000627,13947.343449474663,30.170530000759754,31.501661999755015,32.33053930034657,30.353848354846583,527.1160286812624,1528.3212940003068,False,212.43523814470856,15715.675136,0.030825408886843486,517.7490166083236,33.29575669506904,0.759267578125,253.62837807383013,74.2,1400.0,18.306379776
Qwen/Qwen2.5-7B-Instruct,512,32,32,0,ok,16384.0,1024.0,1165.326129999812,1165.326129999812,14059.583474715908,30.38519300025655,31.20473899980425,32.5356971002293,30.527861677411796,1048.222778855077,2111.6898419995778,False,214.1447921237776,16200.117248,0.05980723529143683,530.6666224836443,34.126470899269734,0.6217685546875,300.3870048479807,74.4,1395.0,21.326082048
