model,prompt_len,out_len,batch,rep,status,prompt_tokens_total,output_tokens_total,ttft_ms,prefill_ms,prefill_tok_s,itl_p50_ms,itl_p95_ms,itl_p99_ms,tpot_ms,decode_tok_s,e2e_ms,prefill_tflops,decode_bytes_per_step_mb,kv_share_of_step_bytes,decode_est_gbps,decode_pct_peak_bw,energy_j_per_out_token,avg_power_w,decode_gpu_util_pct,decode_sm_clock_mhz,peak_mem_gb
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,1,0.0,ok,128.0,32.0,29.4655599991529,29.4655599991529,4344.054550589904,21.644659998855786,22.14811199974065,25.557271700017733,21.82170599999447,45.82593129979175,705.9384459989815,9.55734037676854,2203.3408,0.0014723242087651967,100.9701441308282,6.493256857287987,1.49296875,67.2987373469035,18.2,1095.0,2.222317568
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,1,1.0,ok,128.0,32.0,25.680340000690194,25.680340000690194,4984.357683603871,21.55157000015606,22.125157499431225,22.69451689971902,21.62386548385961,46.245200736492535,696.0201700003381,10.966069230252842,2203.3408,0.0014723242087651967,101.89393758690406,6.5526647965854705,1.510125,68.98769910956818,30.7,1095.0,2.222317568
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,1,2.0,ok,128.0,32.0,24.128105000272626,24.128105000272626,5305.016701417443,21.51972100000421,21.942115999991074,23.123260099600884,21.608494064498846,46.2780977246779,693.9914209997369,11.671550098974537,2203.3408,0.0014723242087651967,101.96642086316999,6.557326100525401,1.51065625,69.29916049202428,30.9,1095.0,2.222317568
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,2,0.0,ok,256.0,64.0,31.94778199940629,31.94778199940629,8013.075837463692,23.72677900166309,24.3931884997437,32.01568730055441,24.081751967734757,83.05043597657024,778.4820929991838,17.629542251742762,2206.584832,0.0029403193142224504,91.62891615844352,5.892534801186078,0.842,68.8991085056428,30.1,1095.0,2.234313728
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,2,1.0,ok,256.0,64.0,25.56061200084514,25.56061200084514,10015.40964635493,23.466602000553394,23.986245500054793,24.099478899915994,23.48839616124385,85.14842760103073,753.7008929994045,22.034870393141503,2206.584832,0.0029403193142224504,93.94361440654228,6.041389993989857,0.740421875,62.557102068505046,31.3,1095.0,2.234313728
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,2,2.0,ok,256.0,64.0,25.85737200024596,25.85737200024596,9900.464749378432,23.612183998920955,24.67005850030546,25.272936400506296,23.719507451577584,84.31878292932174,761.1621029991511,21.781980496805417,2206.584832,0.0029403193142224504,93.02827373227095,5.982525641946685,0.843609375,70.5839267421376,31.2,1095.0,2.234313728
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,4,0.0,ok,512.0,128.0,27.080829000624362,27.080829000624362,18906.36361199266,23.86449300138338,24.359983499380178,24.550175800504803,23.92965219352787,167.1566292585673,768.9000469999883,41.59582947737786,2213.072896,0.005863398364985395,92.48245139971398,5.947424527312796,0.428703125,70.97840510671872,31.5,1095.0,2.257912832
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,4,1.0,ok,512.0,128.0,27.044739999837475,27.044739999837475,18931.59261294717,23.774860999765224,24.121700500472798,24.173211800371064,23.79213451616036,168.12278853261674,764.6009100008087,41.65133572083774,2213.072896,0.005863398364985395,93.01699662536842,5.981800426068709,0.42871875,71.41811199149231,32.1,1095.0,2.257912832
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,4,2.0,ok,512.0,128.0,26.035788001536275,26.035788001536275,19665.2392456794,23.974912000994664,24.38453600007051,24.63743610005622,23.97726561285972,166.82469404912797,769.3310220001877,43.26542930636601,2213.072896,0.005863398364985395,92.2988021959044,5.935614289125685,0.3766796875,62.36271706033708,31.9,1095.0,2.257912832
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,8,0.0,ok,1024.0,256.0,30.460342999504064,30.460342999504064,33617.4809330503,23.918187000163016,24.54435699928581,24.980054900515825,23.989569677430534,333.4782619100678,774.1370029998507,73.96171114910558,2226.049024,0.011658438659794768,92.79236993126536,5.967354979502595,0.21960546875,72.26680153951686,33.1,1095.0,2.303538176
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,8,1.0,ok,1024.0,256.0,28.042452000590856,28.042452000590856,36516.06499953799,23.46577899879776,30.74459100025706,30.9151359999305,24.15782867742124,331.1555896361283,776.9351410006493,80.33887658556147,2226.049024,0.011658438659794768,92.146072137706,5.925792420431254,0.221234375,72.54121214955963,33.2,1095.0,2.303538176
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,8,2.0,ok,1024.0,256.0,28.978989999814075,28.978989999814075,35335.9451108051,23.721710000245366,24.07380149998062,24.469915800182207,23.703713000002374,337.4998676367369,763.7940929998877,77.7424986325077,2226.049024,0.011658438659794768,93.9114063691109,6.039318737563402,0.22359375,74.56308989570705,33.8,1095.0,2.303538176
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,16,0.0,ok,2048.0,512.0,44.579101000636,44.579101000636,45940.80979719132,22.69248599986895,23.20849999978236,23.531528499552223,22.71698838710783,704.3187119415968,748.8057410009787,101.07422715410337,2252.00128,0.023048171624485025,99.13291505127671,6.375107077252522,0.1123828125,76.4136347125034,35.4,1198.0,2.40505088
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,16,1.0,ok,2048.0,512.0,36.516027999823564,36.516027999823564,56084.96082897887,22.944209000343108,23.85696899909817,27.54101610044017,23.180909032288906,690.223147751171,755.1242080007796,123.392341053243,2252.00128,0.023048171624485025,97.14896326382913,6.2475217533009095,0.140384765625,94.67029649064116,33.7,1344.0,2.40505088
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,16,2.0,ok,2048.0,512.0,33.47417900113214,33.47417900113214,61181.485584179194,23.057731999870157,23.299737000343157,23.810763000437873,23.089991903215115,692.9409099434165,749.2639280008007,134.60518869519123,2252.00128,0.023048171624485025,97.53148850980867,6.27212144757612,0.15318359375,104.14979002069059,35.0,1365.0,2.40505088
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,32,0.0,ok,4096.0,1024.0,66.65815800079145,66.65815800079145,61447.842587419946,22.72802200059232,23.09685150066798,27.14242779966298,22.941244903244474,1394.8676340347333,777.8367500013701,135.19119987715538,2303.905792,0.04505784236511001,100.42636316018618,6.458287019947665,0.0778203125,101.89973702190873,39.3,1404.0,2.582008832
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,32,1.0,ok,4096.0,1024.0,65.32830099968123,65.32830099968123,62698.70695121837,22.74002299964195,23.017970499495277,23.28452249894326,22.783068645132456,1404.5517967061348,771.6034289987874,137.9432225211547,2303.905792,0.04505784236511001,101.12359436235222,6.503125039379563,0.085060546875,112.01700551436524,36.6,1410.0,2.582008832
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,32,32,2.0,ok,4096.0,1024.0,65.32893799885642,65.32893799885642,62698.09559848808,22.851118999824394,23.181260500678036,23.368189000393613,22.87002077419827,1399.2116717314957,774.2995819990028,137.94187748598864,2303.905792,0.04505784236511001,100.73912108550611,6.478400069807468,0.09276953125,122.01409763761419,36.3,1410.0,2.582008832
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,128,1,0.0,ok,128.0,128.0,24.866128000212484,24.866128000212484,5147.564590631328,21.505613000044832,22.0026899009099,24.379699380515365,21.58304732283724,46.33266030704987,2765.913138000542,11.32514021891923,2204.422144,0.00196213597825301,102.1367423712906,6.568279252173029,1.731640625,80.0309603154978,29.3,1230.0,2.222317568
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,128,1,1.0,ok,128.0,128.0,25.989122999817482,25.989122999817482,4925.137335372914,21.38404400102445,21.750027400594263,22.00739897936728,21.40324665353231,46.72188365567258,2744.201447998421,10.835778733510082,2204.422144,0.00196213597825301,102.9947549399563,6.623456909321948,1.4637109375,68.18017022820233,31.8,1095.0,2.222317568
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,128,1,2.0,ok,128.0,128.0,25.041402001079405,25.041402001079405,5111.534889080195,21.65616999991471,22.70100560072023,28.971826800261624,21.892089212596197,45.67860062550007,2805.3367320007965,11.245871388984575,2204.422144,0.00196213597825301,100.6949187257846,6.475557474326984,1.5113984375,68.86768515573142,30.8,1095.0,2.222317568
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,128,2,0.0,ok,256.0,256.0,26.39986899885116,26.39986899885116,9697.017815169473,23.73932700174919,24.044638399936957,24.43663261899928,23.766196228344477,84.1531383812578,3044.7067899985996,21.33437755439278,2208.74752,0.003916587080084244,92.93651784991,5.976624942116398,0.81498828125,68.43911084213619,30.9,1095.0,2.234313728
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,128,2,1.0,ok,256.0,256.0,25.643618999311002,25.643618999311002,9982.990310645244,23.71629600020242,24.11237769993022,25.294241759875142,23.77695520472904,84.11505942536395,3045.316929999899,21.963544717425915,2208.74752,0.003916587080084244,92.89446445021264,5.973920543422034,0.78842578125,66.19761519816188,30.9,1095.0,2.234313728
TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,128,2,2.0,ok,256.0,256.0,25.971410001147888,25.971410001147888,9856.992746588856,23.378075000437093,24.451435499940995,25.716560380787996,23.454453519676232,85.27165206906975,3004.6870070000296,21.686337883969586,2208.74752,0.003916587080084244,94.17177501693033,6.0560627020533975,0.78975390625,67.20341539299463,31.4,1095.0,2.234313728
