model,prompt_len,out_len,batch,rep,status,prompt_tokens_total,output_tokens_total,ttft_ms,prefill_ms,prefill_tok_s,itl_p50_ms,itl_p95_ms,itl_p99_ms,tpot_ms,decode_tok_s,e2e_ms,last_token_logits,prefill_tflops,decode_bytes_per_step_mb,kv_share_of_step_bytes,decode_est_gbps,decode_pct_peak_bw,energy_j_per_out_token,avg_power_w,decode_gpu_util_pct,decode_sm_clock_mhz,peak_mem_gb
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1536,32,1,0,ok,1536,32,34.17714299939689,34.17714299939689,44942.3171511763,22.184084999935294,23.037555499740847,25.796995000200692,22.449150903236344,44.545114615263095,730.1008209997235,False,98.87744671073395,2235.060224,0.015643182955234813,99.5610138500956,6.4026375466299426,1.56696875,68.31890797007176,19.7,1095.0,2.350212096
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1536,32,1,1,ok,1536,32,32.026177999796346,32.026177999796346,47960.765096908144,21.8389270003172,22.164676999636868,22.523702200032858,21.83635835483015,45.7951817675131,708.953286999531,False,105.51832428051482,2235.060224,0.015643182955234813,102.35498921941853,6.582314419255211,1.64853125,74.02650407606133,33.7,1146.0,2.350212096
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1536,32,1,2,ok,1536,32,30.63070899952436,30.63070899952436,50145.75405433323,21.90158200028236,22.500902000047063,22.571462800078734,21.9903980322699,45.47439289332307,712.3330479998913,False,110.32551142386144,2235.060224,0.015643182955234813,101.63800676641468,6.5362062229205575,1.69615625,75.79999851497355,32.9,1176.0,2.350212096
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1536,32,2,0,ok,3072,64,55.522065999866754,55.522065999866754,55329.35319819281,23.960788000294997,25.0719024998034,33.128907299942504,24.450325645170047,81.79850154245626,813.4821610001381,False,121.72993114687446,2270.02368,0.030804485704748252,92.84226774494613,5.970563842118723,1.19934375,93.91059412180407,33.7,1271.0,2.511729664
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1536,32,2,1,ok,3072,64,50.864621000073384,50.864621000073384,60395.61368196507,23.44055899993691,24.21222749990193,24.29375850024371,23.47428545160637,85.19961146945745,778.5674699998708,False,132.87619446306795,2270.02368,0.030804485704748252,96.702567781234,6.218814648310867,1.122375,91.8151136265434,32.4,1395.0,2.511729664
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1536,32,2,2,ok,3072,64,48.048708000351326,48.048708000351326,63935.12183465033,23.60505600063334,24.20760099994368,24.330217100123264,23.65121509677509,84.56225152984659,781.2363760003791,False,140.66345491010043,2270.02368,0.030804485704748252,95.97915670343397,6.1722930355906085,1.1945,97.2656135681476,31.4,1410.0,2.511729664
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1536,32,4,0,ok,6144,128,99.03010899961373,99.03010899961373,62041.73722583669,23.833131000174035,25.118907500200294,25.827140300225437,24.036830096784183,166.4112939973374,844.1718419999233,False,136.49782555166857,2339.950592,0.05976785342312052,97.3485514761389,6.260357008111826,0.8666796875,130.79716242164406,35.8,1410.0,2.791773184
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1536,32,4,1,ok,6144,128,99.17520500039245,99.17520500039245,61950.968490316576,24.14826499989431,25.061438499960786,25.247277199650853,24.216788290305562,165.1746694090428,849.8956419998649,False,136.29812555001536,2339.950592,0.05976785342312052,96.6251413667735,6.213835457670322,0.7978671875,119.6016711471238,37.3,1410.0,2.791773184
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1536,32,4,2,ok,6144,128,99.13009499996406,99.13009499996406,61979.15981016892,23.92506000069261,24.407817499650264,24.73605339991991,23.891802967755797,167.42143761181902,839.7759870003938,False,136.36014918170815,2339.950592,0.05976785342312052,97.93947301331676,6.298358393139342,0.8192734375,124.16514283459458,37.3,1410.0,2.791773184
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1536,32,8,0,ok,12288,256,182.69600700023148,182.69600700023148,67259.26965653076,24.08449299946369,25.324258499949792,25.822687300023972,24.165278516134535,331.05349870718874,931.819641000402,False,147.97690178937378,2479.804416,0.11279423739843841,102.61849100329212,6.599259871594349,0.5575078125,151.91188761396617,44.7,1408.0,3.324597248
