context,step_ms,logical_kv_bytes,allocated_bytes
513,115.0621719971241,29417472,15315617280
529,30.088198000157718,30334976,15316534784
545,30.891409998730524,31252480,15317452288
561,30.92628699960187,32169984,15318369792
577,30.48144000058528,33087488,15319287296
593,30.452848001004895,34004992,15320204800
609,30.403586999455,34922496,15321122304
625,30.531233998772223,35840000,15322039808
641,30.5911979994562,36757504,15322957312
657,30.560579998564208,37675008,15323874816
673,30.57218899994041,38592512,15324792320
689,30.34841099724872,39510016,15325709824
705,30.301768998469925,40427520,15326627328
721,30.63189800013788,41345024,15327544832
737,30.49781899972004,42262528,15328462336
753,30.334301001857966,43180032,15329379840
769,30.319093002617592,44097536,15330297344
785,30.333449998579454,45015040,15331214848
801,30.45433399893227,45932544,15332132352
817,30.428107998886844,46850048,15333049856
833,30.495265000354266,47767552,15333967360
849,29.737147997366264,48685056,15334884864
865,30.279303002316738,49602560,15335802368
881,30.11980500014033,50520064,15336719872
897,30.959141000494128,51437568,15337637376
913,29.994391999935033,52355072,15338554880
929,29.89989100024104,53272576,15339472384
945,30.242362001445144,54190080,15340389888
961,30.848139998852275,55107584,15341307392
977,29.83496700107935,56025088,15342224896
993,30.885435997333843,56942592,15343142400
1009,30.08273200248368,57860096,15344059904
