context,step_ms,logical_kv_bytes,allocated_bytes
129,91.30872300011106,2906112,2213686272
145,21.166138001717627,3266560,2214046720
161,21.589273997960845,3627008,2214407168
177,21.14174300004379,3987456,2214767616
193,25.49092300250777,4347904,2215128064
209,21.460931002366124,4708352,2215488512
225,21.35837000241736,5068800,2215848960
241,21.247562999633374,5429248,2216209408
257,26.9214469990402,5789696,2216569856
273,21.715437000239035,6150144,2216930304
289,21.911932999501005,6510592,2217290752
305,21.673698000086006,6871040,2217651200
321,21.738464001828106,7231488,2218011648
337,21.74567999827559,7591936,2218372096
353,21.449790998303797,7952384,2218732544
369,21.690085999580333,8312832,2219092992
385,21.710484998038737,8673280,2219453440
401,21.639512000547256,9033728,2219813888
417,21.77240799937863,9394176,2220174336
433,21.94355499887024,9754624,2220534784
449,21.690163001039764,10115072,2220895232
465,21.717515999625903,10475520,2221255680
481,21.65034500285401,10835968,2221616128
497,21.335780998924747,11196416,2221976576
513,21.875899998121895,11556864,2222337024
529,21.686428000975866,11917312,2222697472
545,21.765700999822002,12277760,2223057920
561,21.687868000299204,12638208,2223418368
577,31.889169000351103,12998656,2223778816
593,21.656644999893615,13359104,2224139264
609,23.594933001731988,13719552,2224499712
625,22.077645000535995,14080000,2224860160
