t_s,batch,n_prefill,prefilling,prefill_tokens,prefill_ms,decode_ms,gather_ms,iteration_ms,padding_waste,context_max,waiting,preempted,kv_blocks_used,kv_slot_utilization,wasted_decode_tokens
0.02939,0,1,1,256,29.325751999749627,0.0,0.0,29.378277999967395,0.0,0,0,0,63,0.25396825396825395,0
0.05926,0,0,1,256,29.82979000034902,0.0,0.0,29.85876599996118,0.0,0,0,0,63,0.5079365079365079,0
0.08993,0,0,1,256,30.629599999883794,0.0,0.0,30.66586399972948,0.0,0,0,0,63,0.7619047619047619,0
0.14869,1,0,0,225,32.97217700037436,25.74363900021126,1.3700640001843567,58.747985000081826,0.0,993,0,0,63,0.9861111111111112,0
0.17428,1,0,0,0,0.00031400031730299816,25.559471000178746,0.9146649999820511,25.59115500025655,0.0,994,0,0,63,0.9871031746031746,0
0.22547,1,1,1,256,25.96132899998338,25.15936200006763,0.9126499999183579,51.17667500007883,0.0,995,0,0,149,0.5251677852348994,0
0.27981,1,0,1,256,28.692061000128888,25.612499000089883,1.0330420000173035,54.337683000085235,0.0,996,0,0,149,0.6329697986577181,0
0.33449,1,0,1,256,29.4126620001407,25.20706199993583,0.9040360000653891,54.65400699995371,0.0,997,0,0,149,0.7407718120805369,0
0.38912,1,0,1,256,29.102426999997988,25.485619999926712,0.9088910001082695,54.62374099988665,0.0,998,0,0,149,0.8485738255033557,0
0.4465,1,0,1,256,32.13990900030694,25.201054999797634,0.9069039997484651,57.374917000288406,0.0,999,0,0,149,0.9563758389261745,0
0.50977,2,0,0,86,31.887526999980764,31.341148000137764,1.8940689997180016,63.25895500003753,0.1339677891654466,1366,0,0,149,0.9932885906040269,0
0.53981,2,0,0,0,0.0003850000211969018,30.007741000190435,1.4303909997579467,30.03745899968635,0.1338697878566203,1367,0,0,149,0.9941275167785235,0
0.57059,2,0,0,0,0.000288999672193313,30.721676999746705,1.4278500002546934,30.751398999655066,0.13377192982456143,1368,0,0,149,0.9949664429530202,0
0.60132,2,0,0,0,0.0002910001057898626,30.696482000166725,1.4411880001716781,30.726092999884713,0.13367421475529584,1369,0,0,149,0.9958053691275168,0
0.63216,2,0,0,0,0.000532999820279656,30.801897000401368,1.5376960000139661,30.83244699973875,0.13357664233576638,1370,0,0,149,0.9966442953020134,0
0.6625,2,0,0,0,0.0003089999154326506,30.304091999823868,1.430927999990672,30.333012000028248,0.1334792122538293,1371,0,0,149,0.99748322147651,0
0.69261,2,0,0,0,0.00033400010579498485,30.076331999680406,1.4283420000538172,30.10351599959904,0.13338192419825068,1372,0,0,149,0.9983221476510067,0
0.72303,2,0,0,0,0.0003000000106112566,30.381420999674447,1.4182290001372166,30.41374199983693,0.13328477785870352,1373,0,0,149,0.9991610738255033,0
0.75403,2,0,0,0,0.00034900040191132575,30.953188000239606,1.4659769999525452,30.989182000212168,0.13318777292576423,1374,0,0,150,0.9933333333333333,0
0.78426,2,0,0,0,0.0003320001269457862,30.193312999927002,1.4378400001078262,30.223053000099753,0.13309090909090904,1375,0,0,150,0.9941666666666666,0
0.81515,2,0,0,0,0.00025300005290773697,30.849517999740783,1.4497699999083125,30.880370999966544,0.1329941860465116,1376,0,0,151,0.9884105960264901,0
0.84601,2,0,0,0,0.0002950000634882599,30.831572999886703,1.4583540000785433,30.862226999943232,0.1328976034858388,1377,0,0,151,0.9892384105960265,0
0.87695,2,0,0,0,0.0004979997356713284,30.89753299991571,1.442239999960293,30.929710999771487,0.13280116110304785,1378,0,0,151,0.9900662251655629,0
