policy,arrival_rate_rps,n_requests,throughput_out_tok_s,throughput_req_s,goodput_req_s,slo,ttft_ms_p50,ttft_ms_p99,tpot_ms_p50,tpot_ms_p99,e2e_ms_p50,e2e_ms_p99,queue_ms_p50,queue_ms_p99,itl_p99_ms_p50,itl_p99_ms_p99,mean_batch,max_batch_seen,mean_padding_waste,wasted_decode_tokens,preemptions,kv_blocks_peak,kv_blocks_total,gather_ms_total,gather_share_of_decode,slowdown_median,slowdown_max,energy_j,energy_j_per_out_token,avg_power_w,energy_method,active_energy_j_per_out_token,rep,seed
continuous,2.0,64,302.804754739903,1.566273684906958,1.566273684906958,TTFT<=2000ms & TPOT<=100ms,43.89062486175255,166.3890630681348,38.989577180649626,41.52211888548336,7527.947578409826,10269.137426765132,16.50856139569379,107.94703954800151,67.25891355489918,79.59768598798541,11.139366515837104,20,0.26766872056001706,0,0,1356,137078,6541.082328002176,0.16755043997005872,1.7420846656891116,1.8601735393402203,7367.044,0.5954129152186212,180.2528883637128,counter,0.40017640479196964,0,0
continuous_chunked,2.0,64,291.67747707268165,1.5087172498708177,1.5087172498708177,TTFT<=2000ms & TPOT<=100ms,348.036469085014,907.836604396541,51.94191130824224,57.259274590669854,9655.201891766748,14349.984509394815,27.398802572911052,78.30220349553255,97.38240686001745,99.95495239333654,13.452459016393442,23,0.28279872409710516,0,0,1572,137078,6724.473053999191,0.19720999461509134,2.383117754225238,2.6710953549430845,7674.907,0.6202947547078316,180.8831540916273,counter,0.41760816996930794,0,0
continuous,2.0,64,290.92362871578223,1.5358502217116277,1.5358502217116277,TTFT<=2000ms & TPOT<=100ms,42.08134844982503,92.87000453943321,39.85641372149395,43.623360567113814,7635.72343138792,10205.038276105846,15.870152785693037,44.54522809453391,69.2703706348243,93.07497447130035,10.8152466367713,23,0.28668949556035983,0,0,1524,137078,6663.0738079957155,0.16712083902721744,1.7868593868222051,1.956130243970527,7725.494,0.6372592592592592,185.3410326009167,counter,0.43403778643111846,1,1
continuous_chunked,2.0,64,281.57149549720094,1.4864782406847201,1.4864782406847201,TTFT<=2000ms & TPOT<=100ms,353.8567331388407,949.413280796541,49.38206751376714,61.31976319141428,10049.664337308532,13298.230158802044,26.832544969892957,74.06839942061272,98.93352447500547,104.59656935062485,13.136165577342048,27,0.2963248976182508,0,0,1843,137078,6861.693365996416,0.1989046827726727,2.308558913724019,2.795767569094586,7882.387,0.6502010228491297,183.0073104707574,counter,0.44020830801096705,1,1
continuous,2.0,64,342.88631047040116,1.775175851003533,1.775175851003533,TTFT<=2000ms & TPOT<=100ms,48.01961027929025,78.28559843577278,41.78916738601022,45.41381319859264,8389.802459631988,10502.756645468477,21.119681130374964,43.49972142961466,71.6208122099647,83.63949713605778,13.588950276243095,23,0.3152278477894862,0,0,1519,137078,6815.763386998697,0.1991133179650406,1.872092004357916,2.0333485937823843,7397.026,0.5983680634201586,205.10781720000944,counter,0.4259387052603659,2,2
continuous_chunked,2.0,64,326.4878401462967,1.6902784152534374,1.6902784152534374,TTFT<=2000ms & TPOT<=100ms,409.4928931185393,1214.7235200423208,59.05298025270201,67.98619416880273,12156.838544681716,16219.015232136708,28.091492565959996,445.2486003576538,110.83827146489513,119.9179011599333,17.493598862019915,32,0.32220505281438483,0,0,2162,137078,7043.804639993141,0.24097364563995716,2.698330673386164,3.2197144427451323,7597.518,0.6145864746804724,200.60418753629762,counter,0.4335075018250894,2,2
continuous,4.0,64,409.3820316931826,2.1175503134537856,1.4558158404994774,TTFT<=2000ms & TPOT<=100ms,67.09656277908715,4765.906104286631,54.70422058606596,64.75347533989974,11519.287017356612,15307.377890487327,41.468849812849925,4738.103591256425,99.05591505004172,153.97472605040483,18.936923076923076,32,0.2920042735407923,0,0,2135,137078,6908.224800003609,0.24295902239214956,2.6949293349769494,3.427591526958084,6733.397,0.5442008405398853,222.70759758874533,counter,0.3997735733987324,0,0
continuous_chunked,4.0,64,340.6138862660277,1.7618434268993592,0.8809217134496796,TTFT<=2000ms & TPOT<=100ms,2061.680430352607,10750.868457066492,69.05565394574123,79.25226486381578,16933.410001263102,21008.870243846857,86.61117601219325,9815.250423966414,121.2036160201817,169.17195809834826,19.88529886914378,32,0.29267738703351803,0,0,2156,137078,7077.303123001002,0.25528169787879224,3.7863130986224207,5.275684424935613,7352.798,0.5942615372181362,202.3490975945496,counter,0.4206808639439493,0,0
continuous,4.0,64,417.9618381663031,2.206513044843966,1.9996524468898442,TTFT<=2000ms & TPOT<=100ms,55.29850773608614,3181.4129290559995,53.98435453908203,61.756671160374026,10922.416751549787,13890.316148331476,27.085637232121318,3155.501881585941,96.19521649000917,125.78259935690149,19.8993399339934,32,0.30168826607228993,0,0,2243,137078,6690.0292939967585,0.24584925396402824,2.5058947003755843,2.9702562198397535,6630.825,0.5469623855481316,228.39879019037627,counter,0.40541929295323575,1,1
continuous_chunked,4.0,64,338.0990174085857,1.7848995392352953,0.8366716590165447,TTFT<=2000ms & TPOT<=100ms,2321.709374554795,10016.771254960386,74.41515133935741,83.94515199603404,17735.471435730753,21375.22737674,74.94258539738219,9769.19371198047,128.2721326452588,158.459164650111,20.93576388888889,32,0.3009661246757629,0,0,2287,137078,7239.40410299474,0.26691529656227836,3.914891891651702,5.146618782301754,7270.16,0.5996997442877176,202.69756027802563,counter,0.4248317371601738,1,1
