rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,0.03532000118866563,34.68412900110707,2163.9385859998583,42.585089139975025,38.44437400039169,91.74966216978642,101.03519500262337,0
1,201,111,0.2549,14.179512635468129,73.97045963343218,4592.715585636046,41.079501145478304,38.43693650014757,77.32145026235229,82.08512799683376,0
2,239,60,0.2599,9.233021987591517,69.01879398616833,2525.586526989053,41.63674123733702,38.45885000191629,76.6896942384483,82.08512799683376,0
3,115,68,0.2604,8.668708319019224,68.4514623158613,2830.3794083172397,41.22280516419968,38.405677001719596,75.945496478671,82.08512799683376,0
4,98,90,0.398,9.66412915840037,41.74210115706073,3647.166508157161,40.510386595506745,38.3259009977337,73.89895263928342,82.08512799683376,0
5,146,122,0.8055,13.289876492944774,45.70560849215299,5030.791732493252,41.19905887604214,38.51805200247327,76.7728048020217,82.08512799683376,0
6,207,63,0.9739,31.346698325589006,63.925638326847164,2571.2545313266414,40.44078859677088,38.43693650014757,75.93440344859118,82.08512799683376,0
7,228,113,1.1627,31.497123871637946,63.30786386967424,4635.12757887144,40.819818883944336,38.51654249956482,77.18107233256887,82.08512799683376,0
8,174,74,1.8669,21.730487101036424,54.877068102383355,2980.70818910203,40.07987836985817,38.3259009977337,73.91330416226992,77.77034200262278,0
9,98,89,3.3813,15.68488999073736,48.14480898967588,3862.777742991241,43.34810152274506,38.64194800007681,77.90116464246239,78.776670001389,0
10,173,38,4.203,34.86130951728672,72.14605251806904,1633.3288255170874,42.194128999973465,38.65359499832266,72.38930096151307,72.4133450021327,0
11,135,68,4.2033,34.54440493174182,71.82411493436369,3040.8487409341,44.31380038805577,38.77536800064263,75.8756749800523,78.776670001389,0
12,82,127,4.7705,5.6647528668385405,38.34017786499899,5746.390371864951,45.30198566666629,39.43265550151409,77.88407525094954,92.21584399710991,0
13,253,33,4.7887,59.98455463532171,92.17030263653302,1458.6722706376358,42.70318650003446,38.66973599906487,72.3033451009178,72.34655600041151,0
14,225,108,5.056,16.830241096129406,48.82418809526623,4910.320834096154,45.43454809346623,39.424943999620155,78.56244726128351,92.21584399710991,0
15,251,45,5.2683,30.84158771038048,63.26440070791861,2015.6432367099449,44.372246272773324,38.91886100063857,76.8866277905181,78.776670001389,0
16,198,71,6.0557,9.970094525747264,42.50437252365824,3325.6268295236487,46.90174938571415,39.60788150106964,82.9428139400625,92.21584399710991,0
17,182,77,6.1442,31.911191976039532,63.86965697479141,3624.159165976241,46.84591459212434,39.60788150106964,82.13646350031922,92.21584399710991,0
18,211,90,6.221,27.383453068633656,59.63751606907053,4137.727330069193,45.821233865169916,39.611159001651686,80.38937088087556,92.21584399710991,0
19,135,42,6.5941,35.24705078628898,72.54546278667107,1923.8003567882843,45.15255839028325,39.61110000091139,74.14039540017257,74.38122299936367,0
20,174,85,6.6033,26.000767089486843,63.29441309024908,3913.6192560890654,45.83720051189067,39.693427499514655,78.09791500920258,92.21584399710991,0
21,223,66,6.6372,70.95177403488239,103.49965103768088,3131.2427750369247,46.58066344614221,39.66121999837924,81.3297300787235,92.21584399710991,0
22,207,77,6.8947,6.003612372654565,38.279154374680324,3504.921619373266,45.61371664471823,39.693427499514655,79.45867924900085,92.21584399710991,0
23,156,48,7.0883,3.5727228793946963,36.04156287903226,2213.664882878871,46.332411063826356,39.69076599969412,83.8462010387593,92.21584399710991,0
24,249,106,7.5228,33.73986036892607,66.05312837125243,4854.5913973713805,45.60512637142979,39.57910900135175,87.63039019700946,92.21584399710991,0
25,78,64,7.6262,2.727452912572481,34.627147909836786,2890.7628229095144,45.335486904756785,39.69860500001232,81.66992113867313,92.21584399710991,0
26,225,99,7.7382,1.8220150747572106,33.535830073268436,4485.859328073892,45.43187242857779,39.60788150106964,88.2700944869066,92.21584399710991,0
27,197,35,8.2013,5.045491829575255,37.42811782873723,1646.3118278283825,47.320109117636626,39.83121549936186,86.60269150794196,92.21584399710991,0
28,112,112,8.6326,3.8014152965395454,35.87158429995796,5075.158793297806,45.398983864845476,39.332844000455225,88.01931009729743,92.21584399710991,0
29,129,53,8.7134,36.05629890929407,68.07475490980863,2418.272037911571,45.19610159618773,39.77972050051903,83.54097196839578,92.21584399710991,0
30,134,39,8.7661,57.32325469013411,89.30946969282338,1789.7382696917407,44.748126315760985,39.79370200067933,85.92230938804282,92.21584399710991,0
31,229,77,9.0719,25.244228748519504,57.093394748548576,3524.793137748233,45.62762819736427,39.482001500800834,89.16500674695271,92.21584399710991,0
32,94,61,9.2065,4.246433930324756,36.035766929648716,2663.159303930092,43.78539228334072,39.458466999349184,74.5710769406287,75.20629099963116,0
33,88,55,9.4202,1.498795501637673,36.03952250133169,2372.9671675007094,43.27643787035885,39.458466999349184,73.55493931052479,74.1296570013219,0
34,100,45,9.6824,12.88975793528202,46.01501493476512,1948.4644419326837,43.23748697722542,39.44943050009897,72.98143114949198,73.04528399981791,0
35,110,56,9.9904,16.327370959155374,48.15184295930841,2529.481389960532,45.115082672749516,39.06829100014875,79.99256141847583,88.14806099690031,0
36,189,63,10.7225,27.700601632622224,59.573804631744665,2838.2984126323745,44.81813883871983,38.74872149935982,87.36268050932267,88.14806099690031,0
37,129,59,10.7609,62.3603399853252,94.44033198627011,2684.548053983171,44.65702968960174,38.78235550109821,87.41418086916383,88.14806099690031,0
38,161,85,11.1273,5.3814261877267455,37.6346061888615,3799.8342531895323,44.78809103572227,38.72654549923027,87.07942853019631,88.14806099690031,0
39,123,128,11.4084,29.86065292222939,62.02368392130175,5815.999727922622,45.306897984262356,39.18572399925324,87.01390145877667,88.14806099690031,0
40,143,120,11.8829,26.15683733926133,62.45369033819159,5459.2548743388425,45.35127045378698,39.233944000443444,84.83510506084706,87.06778099804069,0
41,185,72,12.0326,10.628005801482487,42.10887180197531,3235.560091800654,44.97818619716448,38.67086600075709,77.35979849931023,86.8605520008714,0
42,112,64,12.1498,3.9403427233981603,35.34615472180924,2850.485226723139,44.68474717462428,38.60994799833861,78.44559889948872,86.8605520008714,0
43,141,101,12.3541,24.252854603961538,55.93684160323065,4596.296266601545,45.40359424998314,39.226069500728045,86.86262429084309,87.06778099804069,0
44,208,61,12.4202,29.030856013283923,60.56456901469254,2697.183967014004,43.94365663332186,38.623631498921895,78.85277404955555,86.8605520008714,0
