rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,0.012664000678341836,33.98756299793604,1527.198457999475,29.86421790003078,29.89788200102339,30.36989682012063,30.420260001847055,0
1,201,111,0.2549,1272.48469563246,1304.8381726320204,4642.433220632387,30.341773163639697,30.263184000432375,32.101973919598095,34.79741599949193,0
2,239,60,0.2599,4637.710119985848,4669.65675798462,6439.16029198487,29.991585322038144,29.742321999947308,34.80225341911138,39.34687299988582,0
3,115,68,0.2604,6438.797094315815,6470.369229313802,8475.236635315523,29.92339411942867,29.780372999084648,32.31736210123927,32.76508300041314,0
4,98,90,0.398,8337.849519155488,8369.388326156686,10996.495549154124,29.518058685364473,29.534654000599403,29.87159355863696,29.92814499884844,0
5,146,122,0.8055,10589.209214489256,10620.92448549056,14190.617362491776,29.501594024803442,29.486367999197682,29.86464720015647,29.899517001467757,0
6,207,63,0.9739,14022.432992323385,14053.836687323721,15911.40115332507,29.960717193570154,29.709809998166747,30.9778347696556,31.089247000636533,0
7,228,113,1.1627,15722.795171869046,15755.135782869154,19175.32843186779,30.53743436605925,30.510375001540524,31.618009580124635,32.493659000465414,0
8,174,74,1.8669,18471.38301709931,18502.947107100066,20685.959006100187,29.904272589042755,29.89797299960628,30.422427758894628,30.483999998978106,0
9,98,89,3.3813,19171.733699987457,19203.56172098873,21832.52597598876,29.8745938068185,29.86758799852396,30.289668919758697,30.431377999775577,0
10,173,38,4.203,21011.13845651503,21042.8820945142,22147.60058751358,29.85725656755086,29.845953999029007,30.22222720028367,30.244413999753306,0
11,135,68,4.2033,22147.4776889309,22179.535588930827,24184.613447932003,29.926535208972776,29.880936999688856,31.540915919686086,31.71706200009794,0
12,82,127,4.7705,23617.558919862466,23649.27291686542,27412.31714686507,29.86543039682262,29.808759501975146,30.96953200019925,31.560832998366095,0
13,253,33,4.7887,27394.44127563229,27426.689730633825,28389.29096563561,30.081288593805766,30.029380000996753,30.509212061369908,30.52628500154242,0
14,225,108,5.056,28122.13775409279,28153.670294093416,31361.024193090514,29.975270084085032,29.95201199883013,30.53309091803385,30.711237002833514,0
15,251,45,5.2683,31148.986167706094,31180.909386707423,32495.95783770441,29.887464795386055,29.90370550105581,30.184787300495373,30.247992999647977,0
16,198,71,6.0557,31708.66463452065,31740.948112522423,33830.219382523035,29.846732428580175,29.82974050064513,30.688152799739328,30.778873999224743,0
17,182,77,6.1442,33741.90025897209,33773.27784797475,36079.851333974,30.3496511315691,30.20856249895587,33.15227099847107,33.90301800027373,0
18,211,90,6.221,36003.37222906603,36035.14709806552,38712.338018065224,30.080796853929243,29.821452997566666,35.913994559814455,36.46462200049427,0
19,135,42,6.5941,38339.467344784076,38370.6215537862,39572.99778278351,29.32624948773925,29.25927300020703,30.06914340003277,30.22520699960296,0
20,174,85,6.6033,39563.93898608984,39596.2596900881,42085.32805408866,29.631766238101893,29.58492549987568,30.035704679394257,30.120284998702118,0
21,223,66,6.6372,42051.68865203331,42083.42585403324,44013.4236020337,29.692273046160924,29.696180998143973,30.165706438856432,30.18214099938632,0
22,207,77,6.8947,43756.06282737171,43787.841585370545,46048.39591937015,29.744135973679047,29.641369999808376,31.253647248377092,31.623292998119723,0
23,156,48,7.0883,45854.965962877686,45887.08621487669,47291.61668687877,29.88362706387403,29.704333002882777,32.47617865825305,33.50886899715988,0
24,249,106,7.5228,46857.38986936773,46889.24629036698,50034.335329367575,29.95322894286281,29.92555099990568,31.276659160066625,31.800630000361707,0
25,78,64,7.6262,49931.12987490857,49962.62799490758,51834.290144910105,29.708923015913037,29.569432001153473,30.253787640103837,30.315339998196578,0
26,225,99,7.7382,51722.43584207234,51754.20673007164,54699.21259707251,30.051080275519112,30.080971999268513,30.94514074880863,32.465543001308106,0
27,197,35,8.2013,54236.408751827614,54268.99190482661,55293.51921482746,30.133156176495557,30.025546499018674,31.035925490614318,31.10659400044824,0
28,112,112,8.6326,54862.42477729733,54894.11354129747,58242.40140829401,30.164755558527414,30.05895200112718,32.3892992000765,34.111697001208086,0
29,129,53,8.7134,58161.75287290874,58193.38086090769,59746.388243909074,29.865526596180505,29.741125499640475,32.93460261858854,32.98883499883232,0
