rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,500.16723799853935,539.7814969983301,2051.209003999247,30.228550140018342,29.89919799983909,35.38128082986077,36.06906099957996,0
1,201,111,2.0392,500.15781106699376,613.4261320686632,4277.322508066528,33.30814887270786,33.29423450122704,34.21345891099918,38.723830999515485,0
2,239,60,2.0788,460.54448588888295,573.8128068905523,2549.4044228898447,33.484603661004954,33.505703999253456,36.118986040382886,38.723830999515485,0
3,115,68,2.0833,456.0058325264267,569.2741535280961,2809.3702115261126,33.434269522358456,33.46155700273812,35.759697080502534,38.723830999515485,0
4,98,90,3.184,3132.743941248848,3164.541302248765,5793.611395249101,29.54011340449816,29.5222710010421,30.085665521910414,30.251520001911558,0
5,146,122,6.4439,2533.95716593295,2577.63072793168,6608.404858930588,33.31218290081742,33.10172500277986,36.9734003994381,37.272690002282616,0
6,207,63,7.7911,1186.7912605984864,1230.4648225972167,3276.0555115955617,32.99339820965073,33.06619799877808,33.50234539946541,33.54776599735487,0
7,228,113,9.3017,3750.883046947761,3783.073959947556,7174.132366947502,30.277307205356664,30.00062349929067,34.17660373106628,37.05752400128404,0
8,174,74,14.9353,1540.7991487942195,1572.5600337960782,3763.867982796553,30.017917109595544,29.870721999031957,32.714199640759034,33.35643100217567,0
9,98,89,27.0508,500.16091290819986,535.1187899083243,3156.421330911712,29.7875288750385,29.451917000187677,35.4775047012299,39.86873400208424,0
10,173,38,33.6236,500.1349841241236,545.9340971229167,1819.8138041207485,34.42918127021167,33.765243002562784,43.15737684024498,43.68432900082553,0
11,135,68,33.6262,497.55948345448076,543.3585964532739,2836.6885514519,34.228805298486954,33.77914500015322,42.718250039761195,43.68432900082553,0
12,82,127,38.1644,500.21683091884483,559.0033479207079,4794.0565419199,33.61153328570788,33.6330040008761,37.992415499502386,39.4740619994991,0
13,253,33,38.3094,355.2214610790614,414.0079780809245,1494.319277080656,33.759728093741614,33.81789599916374,34.30284263944486,34.3645809989539,0
14,225,108,40.4482,2510.564328745879,2556.61778174521,6176.482491744302,33.83051130840273,33.873479998874245,34.46014993780409,34.542682999017416,0
15,251,45,42.146,812.6982696568064,858.7517226561374,2349.836907656112,33.888299659090336,33.92373900169332,34.50937519850413,34.542682999017416,0
16,198,71,48.4459,500.11611617872376,534.7264341768821,2635.711748179055,30.01407591431676,29.664497000339907,35.766823368430785,37.20466400045552,0
17,182,77,49.1539,1927.9111027924785,1970.2542927905426,4515.1771497938,33.48582706583233,33.43921499981661,35.88979900086997,41.12709699984407,0
18,211,90,49.7681,1313.6888235357844,1356.0320135338486,4332.6758865341335,33.445436775284094,33.406661001208704,34.98200068104782,41.12709699984407,0
19,135,42,52.7525,1348.4676142822423,1406.7018322845684,2768.963581284595,33.22589631707382,33.28207499725977,33.79353460040875,33.9055250005913,0
20,174,85,52.8265,1274.4592167108663,1332.6934347131923,4123.692074710462,33.226174285681786,33.28213599888841,33.96764317054476,34.27092600031756,0
21,223,66,53.0972,1003.7975922764488,1062.0318102787749,3221.708863276497,33.22580081534957,33.282197000517044,33.72634036029922,33.9055250005913,0
22,207,77,55.1576,1792.8714969740654,1836.1252639725976,4371.555615972418,33.36092568420817,33.124795501862536,38.789319000898104,40.214759999798844,0
23,156,48,56.7067,243.77506102766944,287.02882802620167,1838.5766920270967,33.01165668087011,33.05093200106057,33.45335350117239,33.475192001787946,0
24,249,106,60.1821,500.15494894376644,533.500636943593,3749.577082945855,30.629299485735828,29.853678999643307,39.40445407672087,39.49861600267468,0
25,78,64,61.0094,2922.4574762744664,2966.665492277279,5050.86310727409,33.082501825346206,33.111117998487316,33.88608018118248,33.92213999904925,0
26,225,99,61.9058,2026.0359495782084,2070.243965581021,5309.653840578385,33.05520280609555,33.103833498898894,33.86572383238672,33.92213999904925,0
27,197,35,65.61,1605.7195606187947,1637.306194617608,2640.4083976192255,29.503005970635808,29.474120998202125,29.879282789115678,29.92295399963041,0
28,112,112,69.0604,500.17085637264813,533.2054833710629,3881.2682473730147,30.16272760362119,29.88073400047142,37.322808898170486,37.76594200098771,0
29,129,53,69.7074,3234.579141272377,3293.987918272876,5052.521840271482,33.81796003843473,33.523996999065275,41.73711476989411,43.63190400181338,0
30,134,39,70.1289,2813.056299515793,2872.465076516292,4165.120697513104,34.01725318412662,33.58428600040497,42.25725299042097,43.63190400181338,0
31,229,77,72.5755,366.46837997784587,425.87715697834483,2989.9479679751266,33.73777382890503,33.53522200086445,40.84544924899092,43.63190400181338,0
32,94,61,73.6521,1913.518257435314,1949.6290194363582,3982.4172434344264,33.87980373330114,33.98346749963821,34.37169696935598,34.3831530008174,0
33,88,55,75.3615,204.14807000058488,240.25883200162923,2069.997854001187,33.884055962954776,33.98573699996632,34.3728619895046,34.3831530008174,0
34,100,45,77.4589,500.1430224624386,533.284386460295,1851.9061354604532,29.968676113639958,29.961666999952286,30.45321091900405,30.50638299828279,0
35,110,56,79.9233,500.1366656659485,533.0992676652642,2177.2220636674574,29.893141745494425,29.894907998823328,30.24101092116325,30.24619600182632,0
36,189,63,85.7796,500.19064304039773,549.4850670399245,2654.4211130418917,33.9505813871285,33.95695350081951,35.16132203170855,35.467894002067624,0
37,129,59,86.087,192.81312586412014,242.1075498636469,2212.122330863565,33.96577208620548,33.97056350149796,35.181425111732096,35.467894002067624,0
38,161,85,89.0186,500.1122334937378,534.0711544917127,3094.241276491985,30.47821573809848,30.340989000251284,34.28680964178058,39.80389600110357,0
39,123,128,91.2671,845.9891733544254,882.4105223537089,4631.444296351944,29.519950976364058,29.466787000274053,30.250316659294185,30.35717499733437,0
40,143,120,95.0632,835.5844346941979,867.1894886928442,4384.728419695335,29.559150680693204,29.463312999723712,31.011882280363345,31.451329003175488,0
