policy,arrival_rate_rps,n_requests,throughput_out_tok_s,throughput_req_s,goodput_req_s,slo,ttft_ms_p50,ttft_ms_p99,tpot_ms_p50,tpot_ms_p99,e2e_ms_p50,e2e_ms_p99,queue_ms_p50,queue_ms_p99,itl_p99_ms_p50,itl_p99_ms_p99,mean_batch,max_batch_seen,mean_padding_waste,wasted_decode_tokens,preemptions,slowdown_median,slowdown_max,energy_j,energy_j_per_out_token,avg_power_w,energy_method,active_energy_j_per_out_token,kv_blocks_peak,kv_blocks_total,gather_ms_total,gather_share_of_decode
serialized,0.5,64,31.198324808206316,0.4045983359118955,0.050574791988986935,TTFT<=2000ms & TPOT<=100ms,7534.928587712429,25454.095931842625,29.81181492690616,30.45816684565949,9143.532368469781,26904.72045694196,7502.69859471483,25421.600250560936,30.66243572448002,37.286232094657315,1.0,1,0.0,0,0,4.176018947738662,20.632222634240616,23797.81,4.822251266464033,150.4428477657806,counter,2.754445298185863,,,,
static,0.5,64,36.326114416152045,0.47109854561980363,0.32388025011361504,TTFT<=2000ms & TPOT<=100ms,1082.038253071932,3933.606643507028,33.31016588676264,34.3029444080251,4144.406386111783,7297.417361268142,1034.3341110720025,3891.253984227096,34.50619239896696,42.88072695594019,1.7297297297297298,4,0.09142699255271573,988,0,1.5821638193766563,4.375181862332589,18362.478,3.7208668693009117,135.16122821893254,counter,1.9449464683573994,,,,
continuous,0.5,64,36.93068745519055,0.4789390065110832,0.4789390065110832,TTFT<=2000ms & TPOT<=100ms,44.026616031821675,83.6215664252927,36.932818099992645,38.96969153748547,2626.4314033529267,4676.173856502212,12.04765003114261,45.01932254132773,52.01367507983373,71.2477633754559,1.7822905232345407,4,0.0872114582920214,0,0,1.215829892061023,1.3019075879575641,16744.08,3.3929240121580553,125.29857222243864,counter,1.6460583606008976,64.0,17359.0,1779.0577620580734,0.018586902729381845
serialized,1.0,64,33.39323304090066,0.4330632045831089,0.013533225143222152,TTFT<=2000ms & TPOT<=100ms,34461.90679173877,80103.60116939744,29.855910484526422,30.58906113082427,36486.5356863542,81553.10583225776,34429.78623174121,80072.14710142868,30.95582127900343,38.28157525833194,1.0,1,0.0,0,0,16.498511783898195,69.7159744290646,23163.682,4.693755217831813,156.73588939602644,counter,2.7618603941198714,,,,
static,1.0,64,70.1588756077588,0.9098618113265579,0.49758067806921136,TTFT<=2000ms & TPOT<=100ms,1680.9660560961959,3870.0947747747828,34.32132003119443,34.93915327875245,4335.107020730733,7508.420461999801,1600.865051352006,3803.271273779029,35.285752799827605,38.940912185661745,3.2,8,0.18220189574607126,1862,0,1.8339966298668937,4.7711818661367245,10761.292,2.1806062816616008,152.98114133028875,counter,1.2610657932351377,,,,
continuous,1.0,64,71.58971661566994,0.9284178041343215,0.9284178041343215,TTFT<=2000ms & TPOT<=100ms,52.06889284492888,100.53078278414094,38.39819409056872,40.88818124391907,2726.359556675825,4898.901335247732,19.621240342914348,61.700365042600936,70.56419850248858,75.37809697192496,2.8686690223792697,8,0.15579338750219565,0,0,1.2651240038169629,1.349220348515205,10011.954,2.0287647416413375,145.22697111106595,counter,1.1275756977098128,108.0,17359.0,1322.2925290174317,0.021346809246243832
serialized,2.0,64,33.28464136816661,0.4316549235182702,0.013489216359945943,TTFT<=2000ms & TPOT<=100ms,52801.09441667647,113114.25954471374,29.97650715447688,30.717358503747935,54838.34579467494,114565.92551353162,52769.00734567626,113082.65279802264,30.80978987056369,38.600184712724875,1.0,1,0.0,0,0,24.83019910375855,100.56031785647362,23493.376,4.760562512664641,158.44985761174937,counter,2.8223655283503724,,,,
static,2.0,64,116.455395806667,1.5102624785464414,0.6135441319094918,TTFT<=2000ms & TPOT<=100ms,2306.206630892868,5958.526578996889,34.405841479841044,34.945833586211535,4989.4863689627455,9315.578324018788,2173.7992233928,5904.900642995408,35.23104354098905,41.450337508969824,5.818181818181818,8,0.2812603497919445,2311,0,2.156348199762644,5.694627197293816,7110.336,1.4407975683890577,167.77480475363996,counter,0.8868001778128964,,,,
continuous,2.0,64,134.35309083627732,1.7423703776133228,1.7423703776133228,TTFT<=2000ms & TPOT<=100ms,52.88641560559082,94.44181194967044,40.56255707938463,44.01865868403235,2855.370101336707,5186.731254188649,17.866435216993715,53.851251590938446,72.29663418500422,85.04224362477285,5.288816503800217,10,0.22291321743313744,0,0,1.3328180058278694,1.4696699556104884,6008.532,1.2175343465045594,163.55507656099266,counter,0.737305009782325,147.0,17359.0,1051.7949109416804,0.030465182691801814
serialized,4.0,64,33.30855601643886,0.4319650628271706,0.013498908213349082,TTFT<=2000ms & TPOT<=100ms,61669.028386338236,129272.575231956,29.96878539719505,30.48539390710197,63693.080964337336,130719.27221167527,61637.461851337415,129240.84485748572,30.920318856315134,38.7188900411067,1.0,1,0.0,0,0,28.61566677585005,115.5459587283123,23525.655,4.767103343465045,158.78151583840398,counter,2.830297362711307,,,,
