rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,0.029326001822482795,26.14030000040657,1572.210457001347,30.92140314001881,29.281873001309577,58.70931270113942,60.78043000161415,0
1,201,111,0.2549,9.50500363514395,38.13804863502257,3422.1620346351247,30.763854418182746,29.408422000415158,54.94384666963015,56.55366000064532,0
2,239,60,0.2599,4.558172989043985,33.18638298775872,1896.7582979884069,31.585964661027937,29.41345300132525,55.63868390003336,56.55366000064532,0
3,115,68,0.2604,3.995089317468392,32.619051317451685,2131.3359193177894,31.324132358213998,29.41013999952702,55.512480299948955,56.55366000064532,0
4,98,90,0.398,14.241768158163081,37.699867158144386,2754.1564211587593,30.521983752815895,29.389913001068635,55.16542039971683,56.55366000064532,0
5,146,122,0.8055,11.91516449371166,36.38227649180381,3723.857194494212,30.474999322333954,29.432988001644844,54.90440759967896,59.21125099848723,0
6,207,63,0.9739,17.08965032719023,40.876050324524456,1914.3914273275836,30.217989951662247,29.41952700166439,54.611562179852626,54.61757800003397,0
7,228,113,1.1627,1.4605378695404792,25.22806386911447,3395.9355598693646,30.095602642859376,29.423388999930467,54.569641319758375,59.21125099848723,0
8,174,74,1.8669,0.30939310165734035,24.490201100730637,2192.923556100892,29.70456650685152,29.4211769978574,36.8191937588563,54.18178999752854,0
9,98,89,3.3813,6.757802989525885,30.634900989028324,2753.744799990457,30.944430670470783,29.448691000652616,58.25569955140963,59.21125099848723,0
10,173,38,4.203,3.1927955185482304,30.874159516092625,1200.3514375153418,31.607493999979702,29.35574799994356,57.18923232067027,58.112916001846315,0
11,135,68,4.2033,2.8758469316496615,30.55222193238727,2160.367352932601,31.78828553731663,29.466959000274073,56.41949591969024,58.112916001846315,0
12,82,127,4.7705,21.164757866760198,48.46569786747423,4183.666579866955,32.8190546190435,29.58981299889274,55.647232751653064,59.06005399810965,0
13,253,33,4.7887,3.045455636766725,30.341276637501302,1027.4610336350643,31.159992406173842,29.52148149779532,55.338831559420214,55.547127998579526,0
14,225,108,5.056,27.314284095580454,51.814557096320435,3531.4619420964555,32.52006901869285,29.615308001666563,55.66683664248558,59.06005399810965,0
15,251,45,5.2683,21.89825670815182,46.01847570905804,1474.6764377074549,32.4694991363272,29.51871599907463,57.60688921007386,59.06005399810965,0
16,198,71,6.0557,25.26718952238749,49.21241352447847,2384.290790524651,33.358262528573896,29.689849998248974,56.72823143126153,59.06005399810965,0
17,182,77,6.1442,21.17412097672755,46.51049597473289,2555.5778629767224,33.01404430265776,29.6768534972216,56.525464251535595,59.06005399810965,0
18,211,90,6.221,29.20813606908368,53.217364069151785,2990.9462300689675,33.00818950561591,29.640849999850616,56.08613536212944,59.06005399810965,0
19,135,42,6.5941,5.195939786368342,29.57318378715712,1404.5203537865164,33.535296829252665,29.74759999779053,57.616510398656835,59.06005399810965,0
20,174,85,6.6033,51.644763088903645,78.7551220910121,2838.1559780918783,32.8500101904865,29.63602549971256,55.42588663989591,55.45119499947759,0
