rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,0.021740001102443784,26.744979000795865,1093.181424002978,21.328728900043643,21.30061800198746,22.44862736133655,22.807276000094134,0
1,201,111,2.0392,0.12895607064944414,25.61011007051217,2369.255851069421,21.305870372717354,21.17442599956121,26.33159743098076,28.289690999372397,0
2,239,60,2.0788,2329.827736891227,2353.8287358923726,3602.1220948923174,21.157514559321097,21.1450969982252,21.659934781273478,21.9702979993599,0
3,115,68,2.0833,3597.758258529649,3621.6097615292542,5024.62754452834,20.940563925359488,20.912146002956433,21.48963310100953,21.544258001085836,0
4,98,90,3.184,3924.1228542522754,3948.1123842523834,5844.814924250315,21.31126449435878,21.27420399847324,22.659990682150244,23.794763001205865,0
5,146,122,6.4439,2585.144791935452,2610.5232119349216,5243.448011935105,21.759709090910604,21.49674300017068,28.623390997381648,28.701822000584798,0
6,207,63,7.7911,3896.480959599078,3921.0447766008406,5264.795594600376,21.673400290315083,21.555162000368,23.452879339747597,24.147855998307932,0
7,228,113,9.3017,3754.4043279476095,3779.085361950761,6212.526706948607,21.727154866052196,21.650126000167802,22.95260941842571,24.20589300163556,0
8,174,74,14.9353,579.1368627966289,604.0332897961047,2168.9074747979316,21.4366326712579,21.408018001238815,21.867085359845078,21.875895999983186,0
9,98,89,27.0508,0.10817891381975642,25.44720391381361,1929.3588759115892,21.63535990906563,21.182896500249626,28.689947157581628,28.75139699972351,0
10,173,38,33.6236,0.21412112440799547,26.42606512566914,815.1257341251394,21.316207270255955,21.31418800126994,21.612685480358778,21.614227000100072,0
11,135,68,33.6262,812.7623074546335,837.6484274562443,2271.814777454367,21.405467910419738,21.310448999429354,23.425517099822184,25.216172998625552,0
12,82,127,38.1644,0.10748092293511036,25.12957092088186,2742.8396799228094,21.569127849221648,21.12127650070761,27.988163248664932,29.74173199982033,0
13,253,33,38.3094,2598.02859008051,2621.9782290827497,3300.729011083611,21.210961937526918,21.19896600015636,21.888432749219646,22.039487997972174,0
14,225,108,40.4482,1162.0849057469443,1186.3784617487383,3507.9668757459713,21.697087981282554,21.763092998298816,22.232691298704594,22.255790001509013,0
15,251,45,42.146,1810.2959076578315,1834.9484676592454,2791.6474696586138,21.74315913634928,21.74507900053868,22.2950414089064,22.412221998820314,0
16,198,71,48.4459,0.1159731806907871,26.425023181836593,1555.1890341818578,21.839485871428874,21.423842499643797,28.73382899029821,29.87462599776336,0
17,182,77,49.1539,847.3493017943667,872.5018897955863,2509.917759793808,21.544945657871335,21.300626000083867,28.030566750203434,28.374753001116915,0
18,211,90,49.7681,1895.8853635385537,1920.777810538283,3818.7167455371027,21.325156573020447,21.249470999464393,22.84803560221917,22.893074001331115,0
19,135,42,52.7525,834.4654432864331,858.3322802866746,1719.1641432861502,20.995899097548186,20.8997139998246,22.823999799584275,23.714389000815572,0
20,174,85,52.8265,1645.323536715196,1669.287993714434,3423.168152716144,20.87952570240131,20.833290998780285,22.01691661881341,22.287402000074508,0
21,223,66,53.0972,3152.67877328143,3176.7013522817324,4539.021816280645,20.95877636921404,20.975552000891184,21.34596415795386,21.39089599950239,0
22,207,77,55.1576,2478.7963439768178,2502.2340649767543,4083.9524789763786,20.812084394731897,20.790738499272265,21.187112500228977,21.236673997918842,0
23,156,48,56.7067,2535.0264860296434,2559.390459029352,3533.4892440275567,20.72550606379159,20.688860000518616,21.114654120756313,21.20935800121515,0
24,249,106,60.1821,58.290546946757615,82.09279294658955,2339.637729948102,21.500427971442974,21.27052600189927,25.21301828193827,28.311779999057762,0
25,78,64,61.0094,1512.6268502796663,1537.4909932767694,2895.6569452790786,21.55818971432237,21.491567000339273,22.755993780301655,23.507917998358607,0
26,225,99,61.9058,1999.405538580895,2023.6572385814995,4132.298743582787,21.516750051033544,21.42297699720075,23.851747200387763,24.234838998381747,0
27,197,35,65.61,428.28772962069195,452.5605926207703,1169.8333186211444,21.096256647069826,21.053139000287047,22.481074120187262,22.855141000036383,0
28,112,112,69.0604,0.15707337698245283,25.2371943755918,2373.1157003752796,21.152058612609803,21.1142039988772,21.957028999531758,22.302025001408765,0
29,129,53,69.7074,1726.3918192754204,1751.1602652727447,2855.613133275881,21.239478230829544,21.209924499999033,21.659055191594234,21.700075001717778,0
30,134,39,70.1289,2434.266455517118,2459.012771518374,3267.855986518171,21.285347763152554,21.265615499942214,21.862727920815814,21.958515000733314,0
31,229,77,72.5755,821.4354619793767,846.0672419804496,2476.9243009812953,21.458645513169024,21.442850500534405,22.35385049971228,22.41588899778435,0
32,94,61,73.6521,1400.450206437924,1424.640970439029,2694.2179834402823,21.15961688335422,21.053677999589127,22.884680550523626,22.960468999372097,0
33,88,55,75.3615,985.0211490026339,1008.8645590055165,2161.7195170053237,21.349165888885317,21.310484000423457,22.308901321484882,22.73213599983137,0
34,100,45,77.4589,64.45096146534013,88.76947646466249,1040.9103314636782,21.639564886341265,21.115784000357962,28.142009989533108,28.5843970013957,0
35,110,56,79.9233,0.13566366835959798,24.79370966905492,1171.8029276679117,20.85471305452467,20.83439200214343,21.394409939966863,21.621150001010392,0
36,189,63,85.7796,0.18231504115817643,26.59133204330999,1324.5644270424891,20.935049919341598,20.86281650008459,22.447866399052145,22.749304000171833,0
37,129,59,86.087,1017.3594268666761,1041.19681686592,2250.5503468668735,20.85092293105092,20.845159499003785,21.1582191704656,21.172024000406964,0
38,161,85,89.0186,0.08848249434834088,25.66532649451858,1806.6621554966246,21.202343202406023,20.955145999323577,26.77554174933903,28.16079100011848,0
39,123,128,91.2671,0.12816435609863674,24.95625935607393,2712.4123183564707,21.161071330711785,21.152368000912247,21.65058513841359,21.834633000253234,0
40,143,120,95.0632,0.1156656971090797,25.77186169847323,2532.298089698912,21.063245613449066,21.01901200148859,21.786723959667142,21.9102129995008,0
41,185,72,96.2612,1334.5285694034885,1359.5195494039274,2866.704013404529,21.227950197191575,21.208073001616867,21.50605360257032,21.51974000298651,0
42,112,64,97.1985,1929.553388765626,1955.150833766666,3288.1495907662525,21.158710428564866,21.0935340001015,22.27112131935428,22.451332999480655,0
43,141,101,98.8327,1654.1002948092967,1678.9457698091894,3795.527360811803,21.16581591002614,21.025965999797336,24.802029687489274,26.446685998962494,0
44,208,61,99.3617,3266.795890103069,3290.9587551031764,4554.118940103919,21.05266975001238,21.028707498771837,21.542321088636527,21.620406998408725,0
45,121,101,100.8533,3062.6597670916594,3086.1270480918533,5171.714608090966,20.855875599991126,20.82755399896996,22.124536041119427,22.208788999705575,0
46,256,87,101.0654,4959.77891413564,4983.927045136042,6825.970242133152,21.419106941826865,21.412217500255792,22.084358398933546,22.19403900016914,0
47,77,111,104.3593,3532.2704037921967,3556.4047487956004,5893.239606792619,21.243953254518352,21.092996999868774,26.365672748579524,27.423827999882633,0
48,175,111,108.9178,1334.9541146362185,1360.3415126362393,3704.845411635631,21.31367180908538,21.20052850114007,23.52089865020389,24.46955000050366,0
49,198,103,110.022,2600.8500905602714,2624.4912495579056,4785.293371559675,21.18433452942911,21.136567500434467,22.18977829805226,22.654863001662306,0
50,154,34,116.3475,0.16577413845197952,25.983083139010432,725.4386131397155,21.195622121233487,21.030178002547473,24.518576878326712,25.79106999837677,0
51,137,36,116.5629,510.2027772417159,534.5505382400688,1280.0500552410767,21.299986200028798,21.03145100045367,25.895159221181522,26.469323001947487,0
52,152,123,117.122,721.1229937907433,745.8213217883554,3295.683788788267,20.90051202458944,20.860468999671866,21.452748700212396,21.65498300018953,0
53,235,124,117.7165,2701.3729697237777,2724.9978137252383,5367.35597272407,21.482586658527087,21.273155998642324,28.45861931964464,28.666182999586454,0
