rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,0.01395599974785,26.56427300098585,1110.8578730018053,21.68587200001639,21.647749499607016,24.089566889633712,24.900633998186095,0
1,201,111,0.1274,983.6051813176227,1007.7773183179006,3363.0779673180286,21.411824081819347,21.39607199751481,21.827075160617824,22.390874997654464,0
2,239,60,0.1299,3360.8262414940637,3385.1145304919864,4647.8530494945835,21.402347779705035,21.217092998995213,24.734417639338062,25.33117499842774,0
3,115,68,0.1302,4647.758076659811,4671.344700659829,6069.905852660013,20.874047044778866,20.848503001616336,21.610885998816233,22.230196998862084,0
4,98,90,0.199,6001.291336578101,6024.492418578116,7871.813560580445,20.756417325868867,20.73475300130667,21.104238879197514,21.488599999429425,0
5,146,122,0.4027,7668.278768245591,7692.153223246214,10226.617399244651,20.94598492560692,20.943326999258716,21.509539599355776,21.544364997680532,0
6,207,63,0.4869,10142.61922416216,10166.079053162945,11493.083748161267,21.40330153223101,21.36888350105437,21.859210558832274,21.8618359976972,0
7,228,113,0.5814,11398.849531436266,11422.425670435754,13792.392504433505,21.160418160694203,21.152340499611455,21.54898110195063,21.781613999337424,0
8,174,74,0.9335,13440.512500048873,13464.736762049517,15004.903157049204,21.098169794516267,21.06873299999279,21.56272664127755,21.580142001766944,0
9,98,89,1.6907,14247.872170996381,14271.26503999589,16148.960040995555,21.337443193178014,21.22107499963022,22.98969493003822,26.992704999429407,0
10,173,38,2.1015,15738.340171758751,15762.675707758604,16545.68582475884,21.162435594600932,21.156330996745965,21.434050197713077,21.4688819978619,0
11,135,68,2.1016,16545.699453967725,16570.146541966576,17998.764908967612,21.322662194045314,21.3110630029405,21.820182319934247,21.876479000638938,0
12,82,127,2.3853,17715.307000932426,17738.959016932113,20407.14000893311,21.17603961905554,21.14220099974773,21.859812500224507,21.91378700081259,0
13,253,33,2.3943,20398.265712318105,20421.860690317997,21106.702227318463,21.40129803126456,21.352690002458985,21.858399799421022,21.888537998165702,0
14,225,108,2.528,20973.191025548418,20997.05802754555,23289.870190548514,21.428151056102465,21.420237000711495,22.09327511911397,22.711626999807777,0
15,251,45,2.6341,23183.95200685456,23207.822703855818,24151.08454185367,21.43776904540573,21.40735849934572,21.80964243158087,21.84971800306812,0
16,198,71,3.0279,23757.51192026341,23781.376266263163,25256.58024426279,21.07434254285181,21.065847999125253,21.51387718888145,21.714907998102717,0
17,182,77,3.0721,25212.506740986028,25236.946260988516,26837.16091098806,21.055455921046622,21.02794049824297,21.48617849979928,21.551103000092553,0
18,211,90,3.1105,26798.957731535495,26822.84660953229,28716.73205353437,21.279611730360454,21.296240996889537,21.613471357995877,21.647969999321504,0
19,135,42,3.297,28530.386948894527,28554.70714289383,29421.747800892415,21.147333121916745,21.139036998647498,21.43603499935125,21.51555499949609,0
20,174,85,3.3017,29417.309174044014,29441.704542044128,31231.696050045677,21.309422714304155,21.33516449976014,21.60046134966251,21.740362000855384,0
21,223,66,3.3186,31214.956047518484,31238.72822451753,32639.430562517504,21.549266738461135,21.537630000239005,22.10653168032877,22.176236001541838,0
22,207,77,3.4474,32510.832229185504,32534.709795185514,34166.26342318722,21.46781089475931,21.397090500613558,22.38638349899702,22.481560001324397,0
23,156,48,3.5442,34069.618967940514,34093.78041393971,35091.37697493894,21.225458744664408,21.212026000284823,21.650512339256238,21.687896998628275,0
24,249,106,3.7614,34874.34420718417,34898.180355184726,37147.642453184366,21.423448552377522,21.389403998909984,22.023684280284215,22.17264399951091,0
25,78,64,3.8131,37096.11853145706,37120.19191545714,38457.22246145469,21.222707079326188,21.19685300203855,21.730822239696863,21.81126600044081,0
26,225,99,3.8691,38401.36023603585,38425.082412035714,40546.00862403853,21.64210420411035,21.581780501946923,22.592138480613357,23.409670000546612,0
27,197,35,4.1006,40314.678215913984,40338.90345991425,41075.98082691514,21.67874608826156,21.635667499140254,22.717842541023856,22.73584800059325,0
28,112,112,4.3163,40860.51919064837,40884.6878186471,43275.894295648206,21.542400693703655,21.530540001549525,23.068421500283876,23.438645999704022,0
29,129,53,4.3567,43235.64992045674,43259.40307445369,44378.74055345553,21.525720750035433,21.33201799915696,24.089144370700527,24.851448000845267,0
30,134,39,4.3831,44352.58554284599,44377.14774884524,45217.89327784507,22.124882342100854,21.777885000119568,26.223083520380897,26.317361000110395,0
31,229,77,4.536,45065.14660287359,45089.01822887275,46730.60403487545,21.599813236877566,21.640362001562607,22.044288499273534,22.064746997784823,0
32,94,61,4.6033,46663.504169463966,46687.36052146368,47973.95406746681,21.44322576671887,21.28946449920477,24.83121304936502,27.511467997101136,0
33,88,55,4.7101,47867.28725875114,47890.52904075183,49035.67268774973,21.20636383329434,21.17259399892646,21.605240059725475,21.614090001094155,0
34,100,45,4.8412,48904.7894024666,48928.21123146544,49858.655250468044,21.14645497733198,21.149982498172903,21.41796847921796,21.472175998496823,0
35,110,56,4.9952,49704.810770978205,49729.28193697981,50888.51370097864,21.076941163615132,21.06354200077476,21.519928420893848,21.6162249998888,0
36,189,63,5.3612,50522.672294815246,50547.259438817244,51882.16137581706,21.53067640322279,21.230428499620757,27.6813668185423,28.516296999441693,0
37,129,59,5.3804,51863.11686399219,51887.390362991,53124.10027099119,21.322584620692993,21.1341784997785,25.623768461264262,26.23812700039707,0
38,161,85,5.5637,52941.05160059527,52965.60980059413,54769.64888759513,21.47665579763097,21.299068999724113,25.0072091598122,28.719589998217998,0
39,123,128,5.7042,54629.3102074619,54653.678499459136,57343.80196645951,21.182074543310048,21.198920003371313,21.81800520098477,21.839122000528732,0
40,143,120,5.9414,57106.75561617079,57131.151805168134,59673.80288417023,21.3668157899336,21.132183999725385,27.977647441221052,28.16835799967521,0
41,185,72,6.0163,59599.30363940057,59623.97869339966,61142.960277401835,21.394106816932062,21.30620499883662,23.407323500214254,24.952807998488424,0
42,112,64,6.0749,61084.56682935948,61108.821646362136,62443.971135359694,21.192849031707276,21.188374998018844,21.580099739294383,21.593072000541724,0
43,141,101,6.177,62342.030856800106,62366.38613480127,64487.004682801766,21.206185480004933,21.185077997870394,21.728561141826503,21.786886001791572,0
44,208,61,6.2101,64454.128868007916,64477.809046005365,65759.0443610056,21.353921916670515,21.240880498226034,22.921298601322633,23.111608999897726,0
45,121,101,6.3033,65665.99125588135,65689.90329088291,67818.27698087972,21.283736899968062,21.283010999468388,22.16292554141546,22.26178099954268,0
46,256,87,6.3166,67805.18891288547,67829.3615198835,69691.57007288403,21.653587825587532,21.61648549918027,22.217846898638527,22.22069100025692,0
47,77,111,6.5225,69485.89055767334,69510.4536406765,71873.18370667381,21.479364236339197,21.44272700206784,21.99744471861777,22.045186997274868,0
48,175,111,6.8074,71588.47904072798,71613.4112217286,73997.53131372825,21.67381901817862,21.542173000852927,26.09056177007005,28.8971070003754,0
49,198,103,6.8764,73928.73306941062,73952.86346841119,76166.3337014116,21.700688558827522,21.398335498815868,27.76623683137586,28.990940998482984,0
50,154,34,7.2717,75771.18082332076,75795.55718832038,76497.39308432167,21.267754424281353,21.2435719986388,21.832638320920523,21.9073260013829,0
51,137,36,7.2852,76484.10162439046,76508.15917539017,77256.44254639206,21.37952488576827,21.319594998203684,22.309108580011525,22.309844000119483,0
52,152,123,7.3201,77221.66418854849,77246.41110854881,79871.60972255023,21.518021426241145,21.363131498219445,27.780226701252065,29.79785600109608,0
53,235,124,7.3573,79834.66331317111,79858.49691317133,82526.16200516939,21.688334081285042,21.514436000870774,27.83027119890903,28.055946000677068,0
54,159,116,7.4527,82430.91392205493,82455.22477205482,84899.69440505406,21.256257678254293,21.2063990002207,21.82902343898604,23.195712998131057,0
55,83,39,7.5697,84782.91430649054,84806.536398492,85612.20369049127,21.20177084208607,21.191748999626725,21.468586520386452,21.475617999385577,0
56,255,109,7.6367,85545.39677814284,85569.35181114351,87889.31791014294,21.481167583328055,21.47560350022104,21.83606151073036,21.893758999794954,0
57,180,36,7.6523,87873.94274487987,87898.63268788203,88659.08183288219,21.727118428576173,21.37056999708875,25.64649969819584,25.678236997919157,0
58,192,34,7.902,88409.50797031187,88435.18711731017,89145.9659893088,21.538753696928104,21.164321999094682,26.184325600333977,27.3040440006298,0
59,211,112,7.9642,89083.94947087632,89108.26730487875,91497.4935078773,21.52456038737426,21.408485998108517,24.11224800089258,25.993713999923784,0
60,129,65,7.9784,91483.4864215457,91508.26725854614,92927.46846554411,22.175018859343254,21.28925699798856,28.62216927915142,29.025963998719817,0
61,180,118,8.0748,92831.2530181038,92855.93604310363,95325.38791510253,21.106426256400848,21.086982000269927,21.629321882501245,22.203153999726055,0
62,71,42,8.1118,95288.51391778134,95311.78271678054,96199.35325078022,21.648061804870206,21.491276998858666,24.43091240202193,24.572810001700418,0
63,79,63,8.1638,96147.52550414209,96170.81418613975,97490.78052614072,21.289779677435064,21.05190749898611,24.519563879221096,26.36230799907935,0
