rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,500.1192309973703,525.8336309998413,1574.707251998916,20.977472419981495,21.027583998147747,21.330486451333854,21.361549999710405,0
1,201,111,2.0392,500.13828006845085,581.8094810666947,3444.2576900684357,26.022256445470372,25.983468998674653,27.2635484095008,28.46833500007051,0
2,239,60,2.0788,460.52495489034004,542.1961558885839,2077.6783778882846,26.02512240677459,25.970004997361684,27.353753641655207,28.46833500007051,0
3,115,68,2.0833,455.98630152788377,537.6575025261277,2280.4675555275767,26.012090343305207,25.988048997533042,27.20001828187379,28.46833500007051,0
4,98,90,3.184,2299.6391842497565,2323.158107246784,4184.846638247038,20.917848662924204,20.843138998316135,23.201285800023474,23.70545099984156,0
5,146,122,6.4439,925.1661759313698,948.9762929311815,3462.373398933412,20.77187690910934,20.708552001451608,22.195637399272524,22.942448002140736,0
6,207,63,7.7911,2115.419298598656,2141.881094596986,3725.6991125968602,25.545451903223782,25.526101500872755,26.78027771780762,27.178697997442214,0
7,228,113,9.3017,604.8165829478744,631.2783789462042,3533.9435799459675,25.916653580355028,25.618499999836786,33.012805009602744,33.85808100210852,0
8,174,74,14.9353,500.1763767964871,525.4695917961793,2066.067356796891,21.104078972612488,20.9598619985627,24.881112959410533,26.375604000349995,0
9,98,89,27.0508,500.1737499093224,524.5137659090915,2381.274629909626,21.099555272733348,21.072135999929742,21.640662279132812,21.90353799960576,0
10,173,38,33.6236,500.177212123198,527.949712121007,1510.1495701219746,26.545942108134263,26.141094000195153,29.80507591899368,30.48500899967621,0
11,135,68,33.6262,497.60171145355514,525.3742114513642,2281.8440854538694,26.215968268694105,26.030551998701412,29.23846501842491,30.48500899967621,0
12,82,127,38.1644,500.1437629184977,529.454378917336,3818.2095789202604,26.101231746054957,26.110665501619224,26.975390751431405,27.86408400061191,0
13,253,33,38.3094,355.14839307871426,384.4590090775526,1217.7742100793764,26.041100031306996,26.025274499261286,26.942751601163764,27.016699001251254,0
14,225,108,40.4482,1534.6285227458268,1558.3184187450954,3831.9464007433835,21.248859644843815,21.24085299874423,21.836394341444247,22.01804500145954,0
15,251,45,42.146,2134.283895656239,2158.2031096560004,3107.3992976572245,21.572640636391455,21.391527001469512,23.673906899603026,24.048553001193795,0
16,198,71,48.4459,500.11674817931606,525.1653221791273,1999.2203941771365,21.057929599971562,20.957519998773932,23.53894273142942,24.567652002588147,0
17,182,77,49.1539,1291.3800557933257,1318.398811791468,3289.9179307921995,25.94104103948331,25.81152500169992,29.81161025036272,30.4538419986784,0
18,211,90,49.7681,677.1577765366317,704.176532534774,3019.419261535376,26.013963247197772,25.88173000185634,30.542772078770216,31.194925999443512,0
19,135,42,52.7525,500.13683828245803,534.2656412819338,1606.1162432840206,26.142697609806994,26.108736001333455,28.785001599317184,28.82921600030386,0
20,174,85,52.8265,426.12844071108213,460.2572437105579,2642.406258710153,25.977964464280895,25.917921000655042,28.737471118256508,28.82921600030386,0
