rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,500.1228009969054,525.7127429977118,1591.8343579978682,21.32243230000313,21.227992998319678,24.8942832692046,26.674736000131816,0
1,201,111,1.0196,572.4197515333577,600.5506305333034,3471.0302285344146,26.095269072737377,26.129866499104537,27.64515796967316,27.705726999556646,0
2,239,60,1.0394,552.6130889443024,580.7439679442481,2113.860863944386,25.985032135595556,26.092639000125928,26.5083524586953,26.55768899785471,0
3,115,68,1.0417,550.3437622630743,578.47464126302,2320.0274162611463,25.993324999972035,26.092639000125928,26.501547418811242,26.55768899785471,0
4,98,90,1.592,2898.827352622867,2926.881059622211,5260.149117624643,26.216495033735185,26.264904998242855,26.761873799114255,26.81798699995852,0
5,146,122,3.222,1268.8869179644814,1296.9406249638257,4467.233955964547,26.200771330584473,26.255714998114854,26.73249679937726,26.81798699995852,0
6,207,63,3.8955,595.3039652972496,623.3576722965939,2250.6890662966603,26.247280548388165,26.27237249907921,26.77909034937329,26.81798699995852,0
7,228,113,4.6508,3038.589334473243,3065.154531473552,5993.999752472035,26.150403758915022,26.187704499534448,26.528237518396054,26.5399299969431,0
8,174,74,7.4676,221.80335539751806,248.3685523978272,2155.7167423955466,26.128057397229032,26.16962399770273,26.472945080749923,26.510555002460023,0
9,98,89,13.5254,500.1660359528728,525.0535279527071,2383.8741859552215,21.122962022755846,20.771633000549627,28.835921411846357,28.923580000991933,0
10,173,38,16.8118,500.1756550618843,528.096900058717,1488.6102990594914,25.959821594615523,25.99329300210229,26.296768281026743,26.30419400156825,0
11,135,68,16.8131,498.8879047270629,526.8091497238956,2262.325091724243,25.903223014930557,25.946789999579778,26.29058018057549,26.30419400156825,0
12,82,127,19.0822,500.1521554570587,527.8966754579102,3818.033739457192,26.112198920629222,26.133158999073203,26.621596250151924,27.21953400032362,0
13,253,33,19.1547,427.65447053716696,455.39899053801844,1289.2782475373715,26.058726781229783,26.023159498436144,27.01168799048901,27.21953400032362,0
14,225,108,20.2241,2676.3927513728695,2703.664342372459,5498.639392369906,26.12126214950885,26.172799000050873,26.686777362265275,26.956943998811767,0
15,251,45,21.073,1827.4597218283334,1854.731312827923,3007.7410698273043,26.204767204531393,26.20788700187404,26.842474990335177,26.956943998811767,0
16,198,71,24.2229,1500.035267087096,1527.6710530891612,3367.309733086895,26.280552571396196,26.33526499994332,26.820794599188957,27.03894500155002,0
17,182,77,24.5769,1146.0252248938473,1173.6610108959126,3170.650776893481,26.276181131546956,26.329530999646522,26.801824998983648,27.03894500155002,0
18,211,90,24.8841,838.9140852655004,866.5498712675657,3218.3384912664083,26.42459123594205,26.334576003137045,30.513050919835237,33.12140699927113,0
19,135,42,26.3763,1726.3405361421462,1757.1347581409498,2815.2765811404097,25.80833714632829,25.808130001678364,26.521728400257416,26.5868499991484,0
