policy,arrival_rate_rps,n_requests,throughput_out_tok_s,throughput_req_s,goodput_req_s,slo,ttft_ms_p50,ttft_ms_p99,tpot_ms_p50,tpot_ms_p99,e2e_ms_p50,e2e_ms_p99,queue_ms_p50,queue_ms_p99,itl_p99_ms_p50,itl_p99_ms_p99,mean_batch,max_batch_seen,mean_padding_waste,wasted_decode_tokens,preemptions,slowdown_median,slowdown_max,energy_j,energy_j_per_out_token,avg_power_w,energy_method,active_energy_j_per_out_token,kv_blocks_peak,kv_blocks_total,gather_ms_total,gather_share_of_decode
serialized,0.5,64,35.559663163685464,0.4611587522747456,0.2594017981545444,TTFT<=2000ms & TPOT<=100ms,1715.0530175409672,6785.9125295056065,21.292666981590678,21.789226499702362,3298.206399935939,7832.442431675392,1690.2460570423586,6762.07521404331,22.30197136519564,28.706183435686764,1.0,1,0.0,0,0,1.9590273181615794,8.98167200806306,9136.717,1.851411752786221,65.83365149544679,counter,0.2986966257898519,,,,
static,0.5,64,36.84260474270975,0.4777966977777962,0.44046883076390586,TTFT<=2000ms & TPOT<=100ms,562.0028184776393,2370.533364056562,25.893770419197438,26.943343025254702,2710.2337693539876,4621.032337705047,500.20617192384975,2345.067737857487,26.87756280067333,33.32370724288921,1.4883720930232558,3,0.07574924195181834,782,0,1.551656883717646,4.065347151246873,8556.854,1.7339116514690982,63.88005107182374,counter,0.23526784867167144,,,,
continuous,0.5,64,37.21397119978999,0.48261279772777294,0.48261279772777294,TTFT<=2000ms & TPOT<=100ms,29.2409859996674,59.36659837322603,28.15570191657821,29.69397085153739,1930.630148449236,3583.0208347734906,4.7249637813315815,35.72249827372682,34.447532500507805,54.275545744567715,1.5728123990958993,4,0.07087585985891565,0,0,1.2905205849474135,1.3798607234212064,8357.993,1.6936156028368796,63.02299157689838,counter,0.20989357815137494,57.0,66019.0,1885.8085250358272,0.023570627163530804
serialized,1.0,64,47.056677390881966,0.6102588354643254,0.038141177216520335,TTFT<=2000ms & TPOT<=100ms,13438.237935873989,37932.8777615375,21.126216926406276,22.295648153787702,14630.566268375336,38973.25671024814,13414.421512874473,37908.9462618786,22.276401197959785,27.738213842978432,1.0,1,0.0,0,0,9.738844516528832,44.52383425149732,7286.107,1.4764147922998987,69.4726799830671,counter,0.3030554189047762,,,,
static,1.0,64,70.98149686742582,0.9205300505603349,0.7335473840402669,TTFT<=2000ms & TPOT<=100ms,978.687553347374,3052.143494201366,26.03869421235178,26.930850535360626,3193.002762546982,6097.541858161215,951.355794847661,3023.0814660830515,26.870296760334895,33.96393104217714,2.56,5,0.14739073708106126,1661,0,1.8419945733399552,3.7565468109316824,4721.507,0.9567390070921985,67.90718858897212,counter,0.1788557176467415,,,,
continuous,1.0,64,72.67745071899182,0.9425241835897622,0.9425241835897622,TTFT<=2000ms & TPOT<=100ms,35.91197829813453,65.76657778436697,29.114572909231498,30.658763862629595,1990.8283176767238,3699.559264595442,12.351588298077587,39.960895345235485,51.00330305933308,55.6257902233101,2.346339113680154,6,0.1272818734193159,0,0,1.339186316157262,1.4178612419606924,4515.942,0.9150844984802432,66.49822707694491,counter,0.15530452223373029,92.0,66019.0,1407.7894159090647,0.024901390331869225
serialized,2.0,64,47.13578195199611,0.6112847102183893,0.019102647194324664,TTFT<=2000ms & TPOT<=100ms,31876.36646217671,70304.44139630228,21.212664379616648,21.756261520440916,33328.42401167564,71335.48908674253,31852.581137176647,70280.95536934139,21.983075655753055,28.633448602225688,1.0,1,0.0,0,0,21.250510906347298,86.80629499565009,7276.379,1.4744435663627153,69.49652004384858,counter,0.30305276772822165,,,,
static,2.0,64,131.34267249039226,1.7033294912634458,1.1444245019426276,TTFT<=2000ms & TPOT<=100ms,1237.712263448709,3176.3799199371833,26.44204433967357,26.634590037042766,3458.92049212611,6078.686141578215,1207.7019154483492,3149.1706574874597,28.107182160310913,33.41642057864628,4.571428571428571,8,0.22226079675500715,2111,0,2.0467161728712377,4.54616615470024,2838.529,0.5751831813576495,75.53853328673465,counter,0.15477191836456927,,,,
continuous,2.0,64,138.4391971121809,1.7953614215156184,1.7953614215156184,TTFT<=2000ms & TPOT<=100ms,36.835988510508955,55.64949309732617,30.56472219364501,32.89197316788473,2164.7303843053696,3942.348164657206,12.356905439299126,29.180662547714817,54.54588162365326,58.761824259511556,4.152600170502984,10,0.2022754887885829,0,0,1.4040961851208356,1.5560880534770443,2506.473,0.50789726443769,70.29829240785081,counter,0.10899379855354202,140.0,66019.0,1022.561992991541,0.030865774993105992
serialized,4.0,64,47.04072028385804,0.6100518942587466,0.019064121695585832,TTFT<=2000ms & TPOT<=100ms,41087.917829841084,86763.53231641937,21.16415274728694,21.60950811482747,42531.92752533969,87798.06294105653,41064.32573634002,86739.8639818281,21.955031309626065,25.315176825923114,1.0,1,0.0,0,0,26.856252299117862,108.4275727828307,7292.563,1.4777229989868288,69.51063508893151,counter,0.3039652079115388,,,,
