t_s,batch,n_prefill,prefill_tokens,prefill_ms,decode_ms,gather_ms,iteration_ms,padding_waste,context_max,waiting,preempted,kv_blocks_used,kv_slot_utilization,wasted_decode_tokens
0.08232,1,1,235,36.70649100013179,45.529676000114705,13.206553999680182,82.30221100029667,0.0,235,0,0,15,0.9833333333333333,0
0.11533,1,0,0,0.0,32.96564199990826,0.615516000380012,32.99363299993274,0.0,236,0,0,15,0.9875,0
0.14773,1,0,0,0.0,32.37420100003874,0.6207979999999225,32.397534000210726,0.0,237,0,0,15,0.9916666666666667,0
0.18007,1,0,0,0.0,32.30953700040118,0.6220289997145301,32.33206999993854,0.0,238,0,0,15,0.9958333333333333,0
0.21249,1,0,0,0.0,32.396437999977934,0.6294390000221028,32.41686100000152,0.0,239,0,0,15,1.0,0
0.2451,1,0,0,0.0,32.56803000022046,0.6183229997986928,32.59494799976892,0.0,240,0,0,16,0.94140625,0
0.27754,1,0,0,0.0,32.41859399986424,0.6328849999590602,32.439899999644695,0.0,241,0,0,16,0.9453125,0
0.31003,1,0,0,0.0,32.46127800002796,0.6199710001055792,32.48179899992465,0.0,242,0,0,16,0.94921875,0
0.34269,1,0,0,0.0,32.629212999836454,0.6406649999917136,32.65263999992385,0.0,243,0,0,16,0.953125,0
0.37546,1,0,0,0.0,32.739447000039945,0.6427940002140531,32.76645100004316,0.0,244,0,0,16,0.95703125,0
0.40865,1,0,0,0.0,33.15776499994172,0.6512700001621852,33.18314000034661,0.0,245,0,0,16,0.9609375,0
0.44175,1,0,0,0.0,33.067892999952164,0.6568700000570971,33.093436999934056,0.0,246,0,0,16,0.96484375,0
0.47453,1,0,0,0.0,32.74698299992451,0.6546630002048914,32.77278999985356,0.0,247,0,0,16,0.96875,0
0.50748,1,0,0,0.0,32.90862100038794,0.6447900000239315,32.93133399984072,0.0,248,0,0,16,0.97265625,0
0.54025,1,0,0,0.0,32.732776000102604,0.6462540000029549,32.769818999895506,0.0,249,0,0,16,0.9765625,0
0.5728,1,0,0,0.0,32.51761399997122,0.6323960001282103,32.539001000259304,0.0,250,0,0,16,0.98046875,0
0.60527,1,0,0,0.0,32.44208300020546,0.6282669996835466,32.46171399996456,0.0,251,0,0,16,0.984375,0
0.638,1,0,0,0.0,32.703589999982796,0.6154570000944659,32.728539000345336,0.0,252,0,0,16,0.98828125,0
