rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,154,52,0.0,0.03555100010999013,34.58922099980555,1998.5289599999305,38.508622333335786,36.306949999925564,74.11947299988242,76.77963099922636,0
1,240,81,0.0771,25.525552968743703,57.91803596871059,3369.8051469687434,41.39858888750041,37.41669249984625,76.08239516987851,76.77963099922636,0
2,215,37,1.421,17.155395816573993,49.051496816375995,1656.0978058163735,44.640175249999935,37.9014370000732,76.47072904951528,76.77963099922636,0
3,132,124,1.5126,33.65474159180337,70.9087175919052,5470.077145591844,43.89567827642227,38.714903999789385,72.63018990013734,75.89705400005187,0
4,90,113,1.5414,4.818961815103107,42.068207815204374,4953.636593815204,43.85328916071428,38.72003900050913,72.71299845014255,75.89705400005187,0
5,67,88,1.9914,8.22419940099306,39.318594400847616,3887.5598964009805,44.232658643679684,38.714903999789385,73.22998158013434,75.89705400005187,0
6,100,116,2.116,28.566499937246803,60.3090599378131,5160.915167937551,44.35309659130207,38.74027899928478,72.69041430014113,75.89705400005187,0
7,141,69,2.2539,36.811646731972125,73.26622373183068,3114.267814731998,44.72061163235541,38.69354949983972,72.29142765011602,72.79580700014776,0
8,121,56,2.2613,29.387382240832594,65.83786324126173,2536.2644352414404,44.91684676363961,38.633838000350806,71.88981858009356,72.04300200010039,0
9,249,35,2.4523,28.235179760363494,59.85861576106366,1656.806584760366,46.96905791174419,38.525318499523564,71.94938991009622,72.04300200010039,0
10,204,89,2.7127,28.95129217341097,60.70020217412608,3898.5773481734263,43.6122402954466,38.837384000089514,72.14086665010655,72.79580700014776,0
11,248,70,2.7703,42.73245933619396,74.26593833643923,3069.796622336626,43.41348817391575,38.74631100006809,72.28389960011555,72.79580700014776,0
12,109,66,3.1896,3.024415207788067,34.06583720714984,2878.2433002072007,43.75657635384694,38.813952000055,72.31401180011744,72.79580700014776,0
13,224,73,3.2418,21.756450783834147,52.53496478413755,3142.81891478364,42.920610416659756,38.852721500461485,72.26131545011413,72.79580700014776,0
14,209,119,3.4384,9.567261025076768,40.95563102513555,5010.83406402453,42.11761383897792,38.66006999987803,71.96941427007005,72.79580700014776,0
15,170,109,3.4706,47.92696556196763,78.82891756198961,4639.218936561886,42.2258335092583,38.708616999883816,72.0127011700879,72.79580700014776,0
16,150,46,3.7013,1.350677129790867,32.488317130242805,1940.8548041297547,42.408144155544704,38.7975630001165,72.46457280012692,72.79580700014776,0
17,173,80,3.8169,33.721951429165564,65.0435814292587,3460.0708974291274,42.975029316454034,38.85420100050396,72.20861910011081,72.79580700014776,0
18,255,45,3.9891,9.974040450584809,41.38435745092117,1851.0827544508413,41.12950902272546,38.837384000089514,72.24380180993649,72.79580700014776,0
19,202,55,4.6513,36.69375884353432,68.01258884413474,2369.7781808434906,42.62528874072881,39.0514130003794,72.01560460015571,72.79580700014776,0
20,189,93,4.9299,23.273664184090492,55.22010118362353,3812.6034181835726,40.84112301086901,38.383708499623026,71.03547812989746,71.32372700016276,0
21,72,121,5.1546,27.850144520299658,58.69454752001868,4905.792255520566,40.39248090000456,37.98517350014663,70.97986421984388,71.32372700016276,0
22,121,40,5.8646,15.340039043449494,46.56776604298152,1715.052342043064,42.78165579487391,38.6623629992755,71.20335934005197,71.32372700016276,0
