rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,154,52,0.0,0.010841999937838409,33.8327859999481,1539.4999869999992,29.52288629411865,29.432551999889256,31.788757499953135,32.7858410000772,0
1,240,81,0.0771,1462.5599449682759,1494.1506199684645,3838.2628399686346,29.301402750002126,29.275405000134924,30.24983615994188,30.332388000260835,0
2,215,37,1.421,2494.595065816541,2526.1682578165373,3582.1541178165016,29.332940555554565,29.31348600009187,29.741114399985236,29.82840999993641,0
3,132,124,1.5126,3490.7463415915886,3522.551801591348,7154.701775591533,29.529674585367356,29.52135899977293,30.557491360141285,31.003866999981256,0
4,90,113,1.5414,7126.073106814615,7158.304999814859,10517.850901814667,29.995945553569715,29.950155500046094,31.250433809987044,31.54838699992979,0
5,67,88,1.9914,10068.107232401,10099.365789401001,12642.367556400624,29.22990536781176,29.165130999899702,30.37411100011923,30.77930000017659,0
6,100,116,2.116,12517.901071937436,12549.510570937278,15920.663838937222,29.31437624347777,29.276336000293668,29.85524964020442,29.923655999937182,0
7,141,69,2.2539,15783.037089731248,15815.45658973108,17822.197281731304,29.510892529415045,29.51286099983008,30.43615133019557,30.609615000230406,0
8,121,56,2.2613,17814.998423240646,17846.190189240766,19463.909907240755,29.413085781817987,29.272850999859656,31.34102893988711,31.37490799963416,0
9,249,35,2.4523,19273.13098076035,19305.89548376053,20316.270149760265,29.71690194116865,29.77804199986167,30.697526670060142,30.76448399997389,0
10,204,89,2.7127,20056.0908671735,20087.921149173602,22712.694433173332,29.826969136360564,29.51476950011056,32.902170780093904,33.70257599999604,0
11,248,70,2.7703,22655.238498336174,22687.10057733652,24709.78282733641,29.314235507244767,29.28084100039996,30.183101480033656,30.209970999749203,0
12,109,66,3.1896,24290.683757206978,24321.99510120671,26219.183180207154,29.18750890769913,29.189041999416077,29.748346199885418,29.766455000753922,0
13,224,73,3.2418,26167.20712278353,26198.36290778354,28308.705307783803,29.310311111114768,29.270575000282406,29.808637090509364,29.81376400020963,0
14,209,119,3.4384,28112.329278024426,28143.84823202503,31656.279479024797,29.766366499998032,29.638021000209847,31.34612055996513,31.529470000350557,0
15,170,109,3.4706,31624.364550561862,31657.467991561956,34910.19651556135,30.117856703698095,30.063174000133586,30.88858285045717,31.070469999576744,0
16,150,46,3.7013,34679.780494129845,34711.35123012944,36028.308231129886,29.265711133343252,29.285543999321817,30.10385428013251,30.280443000265223,0
17,173,80,3.8169,35912.90628042877,35944.593313428566,38267.46457142887,29.40343364557348,29.36950299954333,30.637800420208805,30.66003899948555,0
18,255,45,3.9891,38095.48075845017,38128.06766345041,39435.2838994508,29.709459909099678,29.67934600019362,30.58517512034996,30.693714000335603,0
19,202,55,4.6513,38773.21472484325,38804.94141784382,40403.54814184391,29.603828222223928,29.436367499783955,32.42207252013031,34.194824999758566,0
20,189,93,4.9299,40125.10652218394,40156.49611518334,42916.61136518347,30.001252717392678,29.982061999362486,32.050345799852956,33.56169200014847,0
21,72,121,5.1546,42692.13938452032,42723.87589151987,46269.392844519476,29.545974608330045,29.391461000614072,31.415824609484844,31.649717000618693,0
22,121,40,5.8646,45559.62978904273,45590.8904800429,46734.01534904343,29.310894076936677,29.306763999557006,29.78439568018075,29.87518300051306,0
23,142,93,6.3723,46226.483364605396,46258.163617605955,48959.256899605374,29.359709586950213,29.303825499937375,29.92644754012872,29.95093200024712,0
24,121,35,6.6638,48667.99808244029,48699.42851344073,49697.49845044059,29.35499814705455,29.336205499930657,29.794177480343933,29.84296600061498,0
25,83,120,6.746,49615.52754327687,49647.15213627761,53151.80402727702,29.450856226885815,29.339574000005086,31.10602631999427,31.981658000404423,0
26,172,78,7.1046,52793.34066326128,52824.821400260866,55140.013666260806,30.067432025973247,29.868593999708537,31.59270923959411,32.22991300026479,0
27,255,32,7.1441,55100.77697635357,55132.619671353365,56043.107218353594,29.37056603226548,29.313574000298104,30.198564099919167,30.360894999830634,0
28,151,107,9.2498,53937.56771882491,53968.9727888248,57076.95938482485,29.320628264151377,29.253719999815075,30.064389550170745,30.2233319998777,0
29,225,123,9.3088,57018.169085108035,57049.37616710807,60634.40397610824,29.38547384426366,29.319820999717194,30.291001139476066,30.421096000281977,0
30,99,120,9.9283,60015.10574489127,60046.62424289124,63576.126232891664,29.659680588238878,29.57496299950435,31.490156159889008,32.3390660005316,0
31,71,62,10.4039,63100.776191163735,63132.34909516404,64943.41921116438,29.689674032792414,29.454692999934196,32.00526640011958,33.3740680007395,0
32,128,82,10.4839,64863.63696931531,64895.33943531515,67279.88770631455,29.438867543202416,29.337975999624177,30.415187200014774,31.037675999868952,0
33,81,63,10.9342,66829.76540568,66861.19401268063,68680.25192067982,29.33964367740625,29.27432999968005,30.25743730007889,30.373440999937884,0
34,222,95,10.9461,68668.47557239476,68700.00161339453,71487.2446663951,29.651521840431553,29.61836900021808,30.617325690191137,30.776882999816735,0
35,118,55,11.285,71148.51355824262,71179.92138124203,72762.4775272426,29.306595296306856,29.240635500173084,29.96155871017436,30.076618000748567,0
36,114,49,11.5842,72463.50707466794,72495.02379866848,73917.92729966786,29.64382293748713,29.487538999546814,30.98024334035472,31.183320000309322,0
37,225,40,11.599,73903.31770377797,73934.46598577774,75090.05847177723,29.630576564089353,29.44604399999662,30.881280879948463,30.940550999730476,0
38,106,115,11.8749,74814.34936785985,74846.80594185914,78198.06668085943,29.397024026318256,29.30171349999,30.79979818049651,31.146280000029947,0
39,244,71,12.8139,77259.25564325739,77291.11967525663,79344.24975325695,29.330429685718887,29.277717999775632,30.014049359833734,30.053555999984383,0
40,169,71,13.0143,79144.165862595,79176.1422215946,81229.144278595,29.328600814291608,29.251711500364763,30.032817189985508,30.09336400009488,0
41,67,77,13.1557,81087.94121216491,81118.46292416524,83332.34699516473,29.13005356578268,29.022268000517215,30.132469000136552,30.259407999437826,0
42,189,83,13.3072,83180.98361202904,83212.35829102882,85644.45300202881,29.659691597560773,29.492295499494503,31.193472070390264,33.28096600034769,0
43,194,63,13.5988,85353.04019302355,85384.89083802386,87210.86495102434,29.45119537097555,29.401126499578822,31.202256160113393,31.418528000358492,0
44,214,67,13.7311,87078.88388963034,87110.87354863025,89075.8552056302,29.772449348484137,29.82100699955481,30.314326399820857,30.323818999931973,0
45,106,126,13.7982,89008.95434725727,89040.32093725757,92733.28275725772,29.543694560001256,29.507412999919325,31.103923480441157,31.7932389998532,0
46,190,79,14.0549,92476.83080503035,92508.18777103056,94810.9409310297,29.5224764102455,29.4992685003308,30.207782399911594,30.29061899997032,0
47,135,63,14.4154,94450.57579754427,94482.06229954428,96320.54102354447,29.65288264516435,29.53858049977498,31.29599137997502,31.404841000039596,0
48,115,67,14.618,96118.15411099867,96150.11605599882,98088.72342799949,29.37283896970709,29.369492000114406,30.113098000174432,30.18761400016956,0
49,196,89,15.1783,97528.6211071104,97560.02115611019,100155.99388511029,29.499690102273895,29.515850000279897,30.011210989860047,30.24578299937275,0
50,65,104,15.2155,100118.97296531952,100149.75545931958,103203.96842031897,29.652553019411517,29.626253999595065,30.20434675972865,30.2048339999601,0
51,190,126,15.3017,103118.012593502,103149.75729850217,106865.91112050196,29.729230575998315,29.62493899940455,30.7600984804958,31.40979699946911,0
52,253,125,15.3329,106834.86620059692,106867.62911059712,110560.01596659688,29.77731335483681,29.732692999914434,30.63745529996595,30.848038999465643,0
53,198,110,15.3396,110553.60980087076,110585.58373587143,113790.08969987095,29.39913728439923,29.274716999680095,30.283022120165697,30.34044600008201,0
54,111,66,15.4939,113635.97649498477,113667.90017398488,115600.8354549849,29.737465861538883,29.690505999496963,30.58232307961589,30.736693000108062,0
55,166,86,15.7122,115382.72055574885,115414.93709774817,117926.31280974888,29.54559661177302,29.53964799962705,30.139289839898993,30.32558000086283,0
56,70,118,16.2369,117401.83514884183,117432.92340084161,120909.38410684219,29.713339367526327,29.586412000753626,31.27331932009838,31.430929000634933,0
57,124,114,16.4126,120733.93505080756,120765.14840180724,124091.69306180709,29.43844831858278,29.429434000121546,30.22769035938836,30.49085600014223,0
58,113,67,16.4666,124037.90580671039,124069.13918470973,126019.8413887104,29.55609400001016,29.511872000057338,30.120760250019885,30.14974699999584,0
59,209,97,16.4683,126018.27932954035,126050.32404054106,128893.26921754087,29.61401226041471,29.604721500163578,30.1124522498867,30.14137500031211,0
60,85,66,16.5354,128826.3930981108,128857.88765711155,130778.85529111123,29.5533482153797,29.436284999974305,31.280140280177875,31.400139000652416,0
61,125,101,16.6653,130649.1359068299,130680.86410483047,133655.90798583016,29.75043880999685,29.78854049979418,30.64890141030446,30.716162999851804,0
62,197,47,16.9764,133345.08858609028,133377.5714890908,134752.2204960906,29.88367406521296,29.876593499921,30.51291019992277,30.516556999828026,0
63,137,96,17.0455,134683.22320822353,134714.99522522406,137512.6491662242,29.44898885263308,29.432096999698842,30.750167820133356,30.857560000185913,0
