policy,arrival_rate_rps,n_requests,throughput_out_tok_s,throughput_req_s,goodput_req_s,slo,ttft_ms_p50,ttft_ms_p99,tpot_ms_p50,tpot_ms_p99,e2e_ms_p50,e2e_ms_p99,queue_ms_p50,queue_ms_p99,itl_p99_ms_p50,itl_p99_ms_p99,mean_batch,max_batch_seen,mean_padding_waste,wasted_decode_tokens,preemptions,slowdown_median,slowdown_max,energy_j,energy_j_per_out_token,avg_power_w,energy_method,active_energy_j_per_out_token,rep,seed,kv_blocks_peak,kv_blocks_total,gather_ms_total,gather_share_of_decode
serialized,1.0,64,34.02649847126089,0.4412757653821068,0.013789867668190837,TTFT<=2000ms & TPOT<=100ms,33056.19720923845,77399.09006082661,29.366373739721094,29.891104396494736,35022.4991913539,78826.4390675066,33023.73562873844,77367.20993538671,30.574508645022433,32.237732787464346,1.0,1,0.0,0,0,16.130945530745446,67.99340020243518,24958.653,5.057477811550152,172.08349660080054,counter,2.901886335945867,0,0,,,,
static,1.0,64,68.71611219212211,0.8911512016810164,0.5012725509455717,TTFT<=2000ms & TPOT<=100ms,1615.1708199683553,3938.596641680121,33.4462557809529,34.16669091291495,4260.629367732414,7165.30747364909,1538.3074288442203,3803.3276176804948,34.51506827506137,41.80872358728089,3.0476190476190474,7,0.17706203062985398,1690,0,1.8073760907720766,4.124302101200102,12112.516,2.45441053698075,168.65054609407042,counter,1.3870008290131663,0,0,,,,
continuous,1.0,64,71.70523867446418,0.9299159625462428,0.9299159625462428,TTFT<=2000ms & TPOT<=100ms,51.357460572261985,101.18630213568103,37.29973768425798,39.45130082835881,2684.3509411767536,4759.677349158585,20.48605375415491,61.222568674298834,68.63398741502351,97.22152967552783,2.8042602187679906,7,0.15255306126258045,0,0,1.2410900879657596,1.3208767545586977,11088.957,2.2470024316109423,161.10796114873264,counter,1.2240434161670466,0,0,95.0,45275.0,1424.2656870001156,0.023074733299411117
serialized,1.0,64,33.544688806279616,0.4108823126510805,0.02568014454069253,TTFT<=2000ms & TPOT<=100ms,34889.54947183747,84052.96101146031,29.47107467303673,29.853706823664577,36543.07329233762,85954.71202682043,34858.084918837725,84020.93961161043,31.570826350105108,33.65628390950019,1.0,1,0.0,0,0,18.087115493777763,59.75137593061816,26789.418,5.127161339712919,171.9857400953231,counter,2.9406273257772813,1,1,,,,
static,1.0,64,70.64686576723983,0.8653395998283921,0.6219628373766569,TTFT<=2000ms & TPOT<=100ms,1445.4345561019989,3861.588655675691,33.47825465241095,34.232599761451866,4244.169406460051,6891.38534576566,1341.159708102067,3783.704999565506,36.166965070037804,37.78864714624952,3.3684210526315788,6,0.2505479186263385,1769,0,1.6234191775073774,3.7472238002349902,12098.164,2.315438086124402,163.57182065130854,counter,1.2772013815102876,1,1,,,,
continuous,1.0,64,72.96175800331801,0.8936942607104981,0.8936942607104981,TTFT<=2000ms & TPOT<=100ms,51.229844361566634,78.90177853391619,37.97197035437566,39.77713010040096,2993.1939398905815,5001.7179240082805,19.498172941675662,40.77401042675587,69.88839080002435,76.98688007177223,3.0556542332741268,8,0.18393736129721178,0,0,1.2666470739265872,1.3290670916932505,11150.396,2.134047081339713,155.690435494841,counter,1.128705243001514,1,1,107.0,45275.0,1430.5406190032954,0.023633743125964363
serialized,1.0,64,33.78014312118047,0.4339480449127961,0.027121752807049756,TTFT<=2000ms & TPOT<=100ms,44246.86537447518,86116.12477685073,29.542261300137383,30.27183315964994,46509.42963202219,89675.79890942074,44215.0028944752,86084.23676338077,31.442941479924684,33.42758804727591,1.0,1,0.0,0,0,19.47803347993588,77.75484040590611,25538.862,5.126226816539543,173.16058784433244,counter,2.9549236780917885,2,2,,,,
static,1.0,64,80.3977631454447,1.032809482398326,0.5970929820115323,TTFT<=2000ms & TPOT<=100ms,1671.6826530029998,4097.003169095411,33.97952605331969,34.5841277360217,4388.784890138684,7686.258062525213,1615.338931003162,3994.0132871452133,36.06213729012552,38.58324137673261,3.5555555555555554,7,0.20380498572492994,1883,0,1.8946168755935444,4.236639955028768,10782.477,2.1642868325973508,173.9948661752261,counter,1.2519607812247173,2,2,,,,
continuous,1.0,64,82.80050487693886,1.063675694926553,1.063675694926553,TTFT<=2000ms & TPOT<=100ms,47.81145818829202,65.86723821358699,38.1611517155185,39.95453621428115,3051.584873268057,4625.04295631003,16.593155687999683,34.11783827152249,69.32003283989616,72.54115330827467,3.1166032953105196,7,0.16845290558946996,0,0,1.2671935355244317,1.334887806397957,10143.212,2.035971898835809,168.56247708575683,counter,1.150076251118663,2,2,101.0,45275.0,1386.115531998712,0.024276664327221763
serialized,4.0,64,33.643736012946,0.4363118753451964,0.013634746104537387,TTFT<=2000ms & TPOT<=100ms,60924.03282783867,127829.27590100688,29.677973698349668,30.21699406136368,62932.35016333856,129256.7714539967,60892.37878533878,127798.12103763687,31.8856769349577,34.645299234510226,1.0,1,0.0,0,0,28.708345898078417,115.40860463245433,25438.762,5.154764336372847,173.4218927094427,counter,2.9746634735779964,0,0,,,,
static,4.0,64,131.9034362962542,1.7106018080973189,0.21382522601216486,TTFT<=2000ms & TPOT<=100ms,7796.583856338297,17391.66317175248,34.03950657936534,34.964052494035286,9636.491939309391,20270.802272542307,7652.7723233381075,17331.53926075236,35.332284160087966,36.81561589264511,7.111111111111111,8,0.2980431744633626,2610,0,4.8066641484986885,14.668902252062065,6955.082,1.4093377912867275,185.88054413010053,counter,0.8532378414169979,0,0,,,,
continuous,4.0,64,238.60755546623074,3.094403961466822,3.094403961466822,TTFT<=2000ms & TPOT<=100ms,53.61429241921112,92.85871719375108,43.58647918951709,49.26849824070636,3113.907342417401,5668.948141145049,19.0259197103555,61.42660694372578,73.15585408006427,82.9401759948173,9.90040650406504,20,0.27706799602472076,0,0,1.4536719600976316,1.644936968539648,4134.183,0.8377270516717326,199.83133358874986,counter,0.5302514595628913,0,0,270.0,45275.0,973.9488609980071,0.052057651944701015
serialized,4.0,64,33.80603577468723,0.4140835003980828,0.012940109387440087,TTFT<=2000ms & TPOT<=100ms,64013.8442652396,133872.4182714601,29.522681352182076,30.08608915673144,66111.65345873946,135773.57910404002,63982.20658023952,133840.19839627956,30.535200780032028,32.59970887631684,1.0,1,0.0,0,0,28.525945462257376,94.72497511843606,26881.621,5.144807846889952,173.92214237940277,counter,2.975176355149678,1,1,,,,
static,4.0,64,143.23786633705816,1.7544925254682724,0.27413945710441756,TTFT<=2000ms & TPOT<=100ms,7294.694393879841,16616.760018213645,33.9924134015145,34.31627671148304,10052.976332480586,19834.43816107299,7149.026318880065,16524.15030821361,35.1277914250295,38.1853205158527,7.111111111111111,8,0.33414959197426414,2375,0,4.4489812422829225,12.41963859311635,6898.005,1.3201923444976076,189.0849045844271,counter,0.8080955649148062,1,1,,,,
continuous,4.0,64,249.02962375675054,3.0503150086951263,3.0503150086951263,TTFT<=2000ms & TPOT<=100ms,55.36557551274779,109.18108426959257,42.72561137755494,47.028504072294915,3507.5692413723013,5467.40266938114,22.860701220863255,67.6354514277402,72.64671541056487,85.05108418353628,10.342685370741483,21,0.3170391156167553,0,0,1.4210754817191227,1.562666618749437,4234.039,0.8103423923444976,201.74527272958412,counter,0.5157395820030299,1,1,247.0,45275.0,1002.4534349968235,0.052807705676882644
serialized,4.0,64,33.89619567395008,0.4354388846111612,0.02041119771614818,TTFT<=2000ms & TPOT<=100ms,64696.08788761843,127483.7901084799,29.497097581897954,30.07100633017433,67025.34065311828,131011.76076367978,64664.55577161832,127452.11090626946,30.306438675097525,34.462854267717475,1.0,1,0.0,0,0,29.52779924371209,116.00583855984061,25675.711,5.153695503813729,174.68681673120633,counter,2.9898297281389077,2,2,,,,
static,4.0,64,136.33766137344492,1.7514272035127407,0.1094642002195463,TTFT<=2000ms & TPOT<=100ms,9282.704687118436,18557.45997333954,34.23808358863924,34.55572122667346,11367.942067540735,22505.432676501845,9134.358802118637,18504.35029533903,35.18998142519649,36.20475183204253,7.111111111111111,8,0.28619749979222076,2378,0,4.752234806847653,18.620908584385056,6819.782,1.3688843837816138,186.60436013799327,counter,0.8308417680578263,2,2,,,,
continuous,4.0,64,265.9484997365651,3.4164399805580428,3.4164399805580428,TTFT<=2000ms & TPOT<=100ms,55.5443277807266,99.18068398981794,44.440469238615904,46.85342983368662,3622.8786169577193,5448.550835194145,23.109501567063262,67.16420832027487,73.61225587963418,77.27327537923793,11.35796766743649,18,0.29093546023332856,0,0,1.4812977284162665,1.5473382950362835,3888.933,0.7805967482938578,207.53192070433553,counter,0.50472099900266,2,2,258.0,45275.0,976.9637049957964,0.05852628053316477
