t_s,batch,n_prefill,prefill_tokens,prefill_ms,decode_ms,gather_ms,iteration_ms,padding_waste,context_max,waiting,preempted,kv_blocks_used,kv_slot_utilization,wasted_decode_tokens
0.051,1,1,154,27.10232499975973,23.856453000007605,0.631009999779053,50.99535699991975,0.0,154,0,0,10,0.96875,0
0.07468,1,0,0,0.0,23.652337999919837,0.5819069997414772,23.672201000408677,0.0,155,0,0,10,0.975,0
0.09826,1,0,0,0.0,23.54996400026721,0.5321769999682147,23.56654899995192,0.0,156,0,0,10,0.98125,0
0.15198,2,1,240,25.121614999989106,28.55762999979561,0.6288630002018181,53.720143000191456,0.17291666666666672,240,0,0,26,0.9591346153846154,0
0.18041,2,0,0,0.0,28.403191000052175,0.6488869998975133,28.420245999768667,0.17219917012448138,241,0,0,26,0.9639423076923077,0
0.2092,2,0,0,0.0,28.76716300033877,0.6308800002443604,28.783057000055123,0.17148760330578516,242,0,0,26,0.96875,0
0.2379,2,0,0,0.0,28.671738000412006,0.6583940003110911,28.693815999758954,0.17078189300411528,243,0,0,27,0.9375,0
0.26686,2,0,0,0.0,28.933210000104737,0.7020990001365135,28.953336000085983,0.17008196721311475,244,0,0,27,0.9421296296296297,0
0.29585,2,0,0,0.0,28.967193999960728,0.7051860002320609,28.984839000258944,0.16938775510204085,245,0,0,27,0.9467592592592593,0
0.32466,2,0,0,0.0,28.78315299994938,0.6834370001342904,28.800599000078364,0.16869918699186992,246,0,0,27,0.9513888888888888,0
0.35276,2,0,0,0.0,28.081678000035026,0.6508219998977438,28.100012999857427,0.16801619433198378,247,0,0,27,0.9560185185185185,0
0.38169,2,0,0,0.0,28.902915000344365,0.6833720003669441,28.92408700017768,0.16733870967741937,248,0,0,27,0.9606481481481481,0
0.41086,2,0,0,0.0,29.142455000055634,0.7071600002745981,29.1608620000261,0.16666666666666663,249,0,0,27,0.9652777777777778,0
0.43973,2,0,0,0.0,28.851506000137306,0.7046040000204812,28.87101399983294,0.16600000000000004,250,0,0,27,0.9699074074074074,0
0.46862,2,0,0,0.0,28.858516000127565,0.6985289996919164,28.877809999812598,0.16533864541832666,251,0,0,27,0.9745370370370371,0
0.49791,2,0,0,0.0,29.262071999710315,0.6750239999746555,29.28248899979735,0.16468253968253965,252,0,0,27,0.9791666666666666,0
0.52717,2,0,0,0.0,29.236268999738968,0.7388489998447767,29.258967000259872,0.16403162055335974,253,0,0,27,0.9837962962962963,0
0.55632,2,0,0,0.0,29.120486000010715,0.7604970001011679,29.143205999844213,0.1633858267716536,254,0,0,27,0.9884259259259259,0
0.58475,2,0,0,0.0,28.40254400007325,0.7158420003179344,28.422076999959245,0.16274509803921566,255,0,0,27,0.9930555555555556,0
0.61387,2,0,0,0.0,29.087869999784743,0.7035060002635873,29.109122000136267,0.162109375,256,0,0,28,0.9620535714285714,0
0.64274,2,0,0,0.0,28.8533540001481,0.7079290003275673,28.872018000129174,0.16147859922178986,257,0,0,28,0.9665178571428571,0
0.67242,2,0,0,0.0,29.64411300035863,0.7045560000733531,29.667665000033594,0.16085271317829453,258,0,0,28,0.9709821428571429,0
0.70177,2,0,0,0.0,29.317947999970784,0.7085229999574949,29.340392999984033,0.16023166023166024,259,0,0,29,0.9418103448275862,0
0.73075,2,0,0,0.0,28.954701999737154,0.7220219999908295,28.974041000310535,0.1596153846153846,260,0,0,29,0.9461206896551724,0
0.75961,2,0,0,0.0,28.835757999786438,0.7018149999566958,28.85419299991554,0.15900383141762453,261,0,0,29,0.9504310344827587,0
0.78836,2,0,0,0.0,28.72490600020683,0.6667990001005819,28.74291100033588,0.15839694656488545,262,0,0,29,0.9547413793103449,0
0.81654,2,0,0,0.0,28.157438000107504,0.7101080000211368,28.17608299983476,0.1577946768060836,263,0,0,29,0.959051724137931,0
0.8452,2,0,0,0.0,28.64399100008086,0.6496429996332154,28.660697999839613,0.15719696969696972,264,0,0,29,0.9633620689655172,0
0.87394,2,0,0,0.0,28.713849999803642,0.6743560002178128,28.729655999995884,0.15660377358490563,265,0,0,29,0.9676724137931034,0
0.90246,2,0,0,0.0,28.502650000064023,0.6701029997202568,28.518322000309126,0.15601503759398494,266,0,0,29,0.9719827586206896,0
0.93107,2,0,0,0.0,28.581793999819638,0.6429079999179521,28.59756699990612,0.15543071161048694,267,0,0,29,0.9762931034482759,0
0.95965,2,0,0,0.0,28.56618499981778,0.6741170000168495,28.581945000041742,0.1548507462686567,268,0,0,29,0.9806034482758621,0
0.98805,2,0,0,0.0,28.37805799981652,0.6549810000251455,28.393464000146196,0.15427509293680297,269,0,0,29,0.9849137931034483,0
1.01671,2,0,0,0.0,28.642711999964376,0.678926000091451,28.658230000019103,0.15370370370370368,270,0,0,29,0.9892241379310345,0
1.04467,2,0,0,0.0,27.93123099991135,0.6694439998682356,27.947451999807527,0.1531365313653137,271,0,0,29,0.9935344827586207,0
1.07384,2,0,0,0.0,29.15246099973956,0.662544000078924,29.17223299982652,0.15257352941176472,272,0,0,30,0.9645833333333333,0
