rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,154,52,0.0,0.01070100006472785,25.905471999976726,1104.151333000118,21.142075705885123,21.089533000122174,22.87618750006004,23.353447000090455,0
1,240,81,0.3085,795.8454108747297,820.4745788747765,2548.9522118747877,21.60597041250014,21.54319699991447,23.341804629826576,24.129120999987208,0
2,215,37,5.6839,0.13057926657111807,25.964166266650324,795.0156562666883,21.362541388889944,21.27910150011303,22.308495099912307,22.35935499993502,0
3,132,124,6.0503,428.73504036691656,453.50769136683766,3081.583826366739,21.366472642275617,21.27335199998015,22.968453340049564,23.18958399996518,0
4,90,113,6.1657,2966.39942726011,2990.6459552599313,5386.3614042600675,21.39031650892979,21.31681349999326,22.3675823501776,23.024787999929686,0
5,67,88,7.9655,3586.748583604195,3610.5518136043074,5457.734438604267,21.231984195401832,21.21109100016838,21.42929075995653,21.486166000158846,0
6,100,116,8.4641,4959.258054749817,4982.976945749861,7424.10065574969,21.227162695650687,21.206298000151946,21.817469999837158,21.854854999901363,0
7,141,69,9.0155,6872.850711926088,6897.096473926052,8341.51430592605,21.241438705882327,21.20722599988767,21.61573382006054,21.66367499989974,0
8,121,56,9.0453,8311.960128963869,8335.77688296375,9510.721374963872,21.36262712727495,21.336938999866106,21.925284480098526,21.99607200009268,0
9,249,35,9.8093,8746.80511504217,8770.76617504209,9495.297694042129,21.309750558824657,21.248936000006324,21.918844019980952,21.93917399995371,0
10,204,89,10.8508,8454.017937694718,8478.322632694673,10332.94788169471,21.075286920454968,20.98241099997722,22.36621307996529,22.4905499999295,0
11,248,70,11.0814,10102.534168345475,10127.188707345515,11606.00509234536,21.432121521736892,21.42816099990341,21.940806279917524,21.977240000069287,0
12,109,66,12.7586,9928.943793829369,9953.068806829371,11338.862535829541,21.31990352307954,21.2735679999696,22.347940679956082,22.442476999913197,0
13,224,73,12.9672,11130.399740135861,11154.471037135952,12696.660464135992,21.41929759722277,21.44877650005128,21.91446353991978,21.943875999795637,0
14,209,119,13.7535,11910.55971709935,11935.011967099317,14465.851281099422,21.447790796611056,21.426528999882066,22.10279913010936,22.41053600005216,0
15,170,109,13.8822,14337.261091247105,14362.405482247017,16658.518186247067,21.26030281481528,21.19393450016105,21.717239610131855,21.8974970000545,0
16,150,46,14.8051,15735.802431519736,15761.101364519667,16718.2631945198,21.27026288889186,21.205311000130678,21.70355704002759,21.70774100000017,0
17,173,80,15.2675,16256.057769716026,16281.452677715979,17974.110480716183,21.426048139243086,21.365783999954147,22.016130840074766,22.233378000009907,0
18,255,45,15.9562,17285.555226802266,17309.484891802236,18266.91093780237,21.759682863639433,21.63648949999697,22.647287330019026,22.66305500006638,0
19,202,55,18.6053,15618.035110374965,15642.771449375094,16808.654772374983,21.590431907405353,21.565773499901297,22.375295430022106,22.399871000061466,0
20,189,93,19.7198,15694.289850735182,15719.310647735207,17688.419370735297,21.40335568478359,21.288292499889394,22.274088609967748,22.41025099988292,0
21,72,121,20.6186,16789.799881080624,16813.772053080582,19363.85893608053,21.250724024999574,21.220676000098138,21.70565674988893,22.501486999999543,0
22,121,40,23.4585,16524.062287172903,16547.940835172987,17388.44175217286,21.55130556409933,21.482600000126695,22.17329970009814,22.28632500009553,0
23,142,93,25.4894,15357.747328423642,15382.90429842354,17341.07109042347,21.28442165217314,21.26331899989964,21.740715359890146,21.74444999991465,0
24,121,35,26.6552,16175.40957776322,16199.48698276329,16925.419705763205,21.35096244117395,21.17284550001841,23.80193097004394,23.8465110001016,0
25,83,120,26.9838,16597.177849109587,16621.034545109527,19146.18102010968,21.21971827731222,21.191993000002185,21.625224340000386,21.660277000137285,0
26,172,78,28.4185,17711.64057404437,17736.564149044374,19406.935984044343,21.693140714285313,21.609575999946173,22.813662399976238,23.03748999997879,0
