rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,82,33,0.0,276.01820399968346,314.98849499985226,1188.9135029996396,27.310156499993354,27.363197500335446,28.050486939982875,28.0505880000419,0
1,119,37,0.0137,262.34427484230406,301.31456584247286,1282.4168448424427,27.2528410833325,27.260700500164603,28.05047389997526,28.0505880000419,0
2,201,41,0.0458,230.25183775577833,269.2221287559471,1358.1512617559122,27.223228324999127,27.107413000067027,28.050460859967643,28.0505880000419,0
3,148,95,0.09,186.03385000630274,225.00414100647154,2797.6991050066918,27.36909536170447,27.363197500335446,28.796376400077857,29.385829000148078,0
4,223,84,0.1658,110.21169845570009,149.1819894558689,2413.085272456087,27.275943168677326,27.171989000180474,28.866096600086163,29.385829000148078,0
5,118,63,0.2495,26.475870789304828,65.44616178947363,1755.0334177893417,27.251407354836584,27.173264500106598,28.06724606998614,28.09330099989893,0
6,104,55,0.265,10.999946423121632,49.97023742329043,1522.4729474231347,27.26856870370082,27.242708999892784,28.070663109974703,28.09330099989893,0
7,149,110,0.2759,0.09451696080903238,39.06480796097783,3026.9165779608843,27.41148412843951,27.413459999934275,28.74570604004475,29.385829000148078,0
8,247,64,0.3075,2995.5879844241053,3036.3784354238987,4802.298626423976,28.030479222223452,27.90523200019379,30.521821939801157,30.84308300003613,0
9,164,94,0.3435,2959.6397581125684,3000.430209112362,5582.345818112496,27.76253343010897,27.611494000211678,30.36637303968746,30.84308300003613,0
10,184,91,0.459,2844.140123598856,2884.9305745986494,5385.867388598592,27.788186822221583,27.647433000083765,30.38191792969883,30.84308300003613,0
11,242,98,0.4813,2821.852405990102,2862.6428569898953,5552.866156989966,27.734260824742996,27.598440000019764,30.345646519672297,30.84308300003613,0
12,92,54,0.5392,2763.9102597511705,2804.700710750964,4299.208618750796,28.198262415091165,28.16191700003401,30.573638239839056,30.84308300003613,0
13,213,57,0.606,2697.134173727764,2737.9246247275573,4313.849533727707,28.141516232145534,28.134870499798126,30.558093349827686,30.84308300003613,0
