rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,711,198,0.0,0.02468000093358569,27.793051998742158,9215.7693070003,46.63947337564243,49.58782600078848,86.2147980791632,146.82598000217695,0
1,140,142,0.1274,6.683548315274457,34.44631431507056,5989.041667318313,42.23117271633505,31.783390000782674,81.97287020084329,146.82598000217695,0
2,113,44,0.1299,4.212830493483283,31.970481491438633,1485.5770004918977,33.804802767452536,30.82417200130294,59.69700752073549,61.616992999915965,0
3,160,106,0.1302,3.933310659049394,31.686815656285116,3888.769610658783,36.73412185716665,31.160283000644995,69.70178892239342,73.45937100035371,0
4,293,229,0.199,25.6944795792107,50.96918957769517,10554.748171579373,46.06920606141087,40.88736950143357,85.6784509089266,146.82598000217695,0
5,201,79,0.4027,28.889310245949538,53.7100662457759,2774.5748192445258,34.88288144870192,31.034432000524248,62.48943132963178,63.67721099741175,0
6,215,183,0.4869,0.6101981622903541,24.9554551616582,8596.024555163864,47.09378626374838,49.64295650097483,88.1022033794579,146.82598000217695,0
7,190,66,0.5814,23.29533943264639,48.65381443522298,2253.867286434964,33.92636110768832,30.98142800081405,61.80334592005238,62.134640000294894,0
8,209,85,0.9335,4.903120050960719,29.885540050975546,3126.417983050863,36.86348146428437,31.501386998570524,70.54892786221899,73.45937100035371,0
9,476,196,1.6907,17.358980993414264,41.49333599398375,9504.136144995393,48.5263733794944,49.88187900016783,86.46645211920261,146.82598000217695,0
10,468,256,2.1015,3.775155756445603,32.91675975822494,11472.18490975763,44.85987509803688,35.66306699940469,85.64541181876848,146.82598000217695,0
11,219,154,2.1016,3.6192619668566905,32.75579096637227,7792.941237967649,50.72016632026978,53.566519996820716,91.75118696002743,146.82598000217695,0
12,289,51,2.3853,1.3326379328493232,26.27415893110374,2180.8333399338,43.091183620053926,33.28703399893129,74.77302441071515,76.03516200106242,0
13,120,111,2.3943,49.66575431740283,74.43140631789946,5833.716317318476,52.3571355545507,53.9082290015358,97.05035447073892,146.82598000217695,0
14,82,53,2.528,4.373160545341204,28.92186554684839,2350.9915105475866,44.65518548078342,40.585640501376474,75.75592374083499,76.03516200106242,0
15,52,83,2.6341,18.386804852815075,42.79194485326876,4249.323564851982,51.29916609754529,51.736711498961085,107.51523172126315,146.82598000217695,0
16,283,256,3.0279,29.42890326134373,54.20237225966274,11352.858457260065,44.308455235295696,35.56733599907602,85.64541181876848,146.82598000217695,0
17,138,256,3.0721,42.28828198658796,71.36736998556792,11340.266370988433,44.191760788246526,35.53106799881789,85.64541181876848,146.82598000217695,0
18,577,136,3.1105,3.9061755349489857,32.97847753202454,7207.413235534487,53.14396117038861,53.88458699962939,94.01607332038107,146.82598000217695,0
19,179,38,3.297,10.20703989176397,38.2301898918449,1934.6929988916309,51.25575159458881,48.58837800202309,76.05137896040105,76.06050100002903,0
20,67,96,3.3017,5.585667043299658,33.60466504363391,5455.042010044956,57.06776152632971,54.63240099925315,101.20609928111674,146.82598000217695,0
21,277,92,3.3186,51.12822251916826,76.19852251750147,5245.5109605174075,56.80563118681216,54.562627999985125,103.14737080116147,146.82598000217695,0
22,121,85,3.4474,13.436689187253048,38.02220118468247,4780.701855186814,56.46047207145394,54.417051000200445,106.54459596124079,146.82598000217695,0
23,43,45,3.5442,7.743652939423473,32.190403937745856,2464.4628139397882,55.278918409137326,50.39319499883277,119.60964299167246,146.82598000217695,0
24,240,81,3.7614,13.842401183489006,38.53974218289879,4716.996366185036,58.48070780002672,54.62427499878686,108.48586748128552,146.82598000217695,0
25,1703,92,3.8131,21.42882745628638,50.875978455035224,5402.681727455086,58.81105218681375,54.63240099925315,103.14737080116147,146.82598000217695,0
26,1111,43,3.8691,38.87132603662336,64.77802103503505,2462.047928035044,57.07785492857164,52.53127200012386,120.87551913169568,146.82598000217695,0
27,361,240,4.1006,0.3066059154965828,24.754819912444326,10497.865313912584,43.82054600000058,35.49535500133061,85.66499053886218,146.82598000217695,0
28,234,60,4.3163,17.464450649891106,41.99360964983079,3528.0119036490537,59.0850558304953,54.562627999985125,118.67754296152279,146.82598000217695,0
29,147,80,4.3567,44.781871455295885,74.2619264553177,4779.827066455862,59.56411569620943,54.64377699900069,108.97118536129705,146.82598000217695,0
30,404,61,4.3831,18.442794845108246,47.91674884553121,3594.218162846013,59.105023566674696,54.51906300004339,118.19222508151125,146.82598000217695,0
31,208,148,4.536,30.923389874821794,55.391380874077356,7408.520696875364,50.02128786395433,52.870917999825906,92.5061490801453,146.82598000217695,0
32,306,101,4.6033,33.05528446388717,57.62864846427629,5557.477303463645,54.998486549993686,54.205742499107146,98.77950988106046,146.82598000217695,0
33,266,256,4.7101,45.597846749710236,70.66377875058106,10740.7743047505,41.84357069019576,34.408838000672404,85.64541181876848,146.82598000217695,0
34,128,256,4.8412,38.591100467356476,62.763279468099675,10669.93288446659,41.59674354901369,34.186013999715215,85.64541181876848,146.82598000217695,0
35,329,104,4.9952,8.112283980428181,32.688512980077356,5562.871998980247,53.69110180582688,54.1575319984986,98.04253796100971,146.82598000217695,0
36,79,145,5.3612,20.26997781443196,49.529433815886925,6946.822964813445,47.8978717430386,51.736711498961085,92.88363014020425,146.82598000217695,0
37,78,164,5.3804,1.0629969919726534,30.318338992369576,7548.481925991805,46.123702987726595,35.77339299954474,90.49291675983108,146.82598000217695,0
38,125,130,5.5637,4.853245594596878,29.54334959186955,6346.841550591955,48.97130388372159,53.56596600176999,94.77103544049895,146.82598000217695,0
39,432,87,5.7042,627.8664704609466,666.2600794611419,5110.916681458991,51.682053511602895,54.43140600073093,85.60747804858693,85.71148999908473,0
40,120,256,5.9414,390.61442616928764,429.00377716994774,10283.43274316847,38.64481947450401,33.08731300057843,83.4201485993981,85.71148999908473,0
