mode,batch,rep,prompt_tokens_total,output_tokens_total,ttft_ms,prefill_ms,prefill_tok_s,itl_p50_ms,itl_p95_ms,itl_p99_ms,tpot_ms,decode_tok_s,e2e_ms
eager,1,0,512,128,29.316993000975344,29.316993000975344,17464.274046897182,27.113599000585964,28.01698519979254,34.291898199808195,27.352215999978693,36.56010906029621,3503.048424998269
eager,1,1,512,128,29.33481199943344,29.33481199943344,17453.66563146505,27.188808999198955,27.9068575007841,28.44838037948648,27.130791740156262,36.85848940854538,3474.9453629992786
eager,1,2,512,128,28.75977000076091,28.75977000076091,17802.645848226664,26.69540699935169,28.169092601092416,31.329290719368135,26.9798606771753,37.06468361587909,3455.202076002024
eager,8,0,4096,1024,73.2323689990153,73.2323689990153,55931.551252357756,29.257890000735642,30.382527200708857,34.07688847721146,29.328058385824157,272.7763254817726,3797.8957839986833
eager,8,1,4096,1024,78.94905300054234,78.94905300054234,51881.55961759114,29.669343999557896,29.974795100133633,34.39241097992634,29.80361155117518,268.42384474993446,3864.0077199997904
eager,8,2,4096,1024,79.02516100148205,79.02516100148205,51831.59323045458,29.663245000847382,30.00501240057929,30.469729357937467,29.515476992118217,271.04423899828254,3827.4907390004955
triton,1,0,512,128,25.867696000204887,25.867696000204887,19793.026792797653,23.917999998957384,24.795276201621164,25.106738300964935,24.0137823071048,41.64275278301896,3075.6180490025145
triton,1,1,512,128,27.06194799975492,27.06194799975492,18919.554497874167,24.50397500069812,24.836934397899313,24.922733681305544,24.52600591337743,40.773047333180386,3141.8646989986883
triton,1,2,512,128,26.708893001341494,26.708893001341494,19169.645105631447,24.48025200283155,25.495796000177506,26.55733597988728,24.59996266928309,40.650468191508956,3150.904152000294
triton,8,0,4096,1024,58.141776997217676,58.141776997217676,70448.48319988587,26.8632620027347,27.621423100936227,28.699984099657737,26.944400086610734,296.9077052851281,3480.080587996781
triton,8,1,4096,1024,66.99950099937269,66.99950099937269,61134.78367605082,26.783281002281,27.065078297891887,27.147806520806625,26.781730771655543,298.71109034024056,3468.2793089996267
triton,8,2,4096,1024,66.9997160002822,66.9997160002822,61134.58749560591,26.59733299879008,26.950437800041982,27.536203220370226,26.63307888976456,300.378339023901,3449.4007350003812
identity_upper_bound,1,0,512,128,20.646222998038866,20.646222998038866,24798.72468919054,18.622045001393417,19.08717880032782,19.38739588127646,18.655824157483618,53.6025635511181,2389.9358909984585
identity_upper_bound,1,1,512,128,20.856278999417555,20.856278999417555,24548.96197036386,18.787504002830246,19.41265070126974,19.77512631987338,18.847392952756216,53.057736022517716,2414.475183999457
identity_upper_bound,1,2,512,128,21.004854002967477,21.004854002967477,24375.318196816166,18.525694002164528,19.133234200489824,19.364629917618004,18.58162781099677,53.81659831805431,2380.8715859995573
identity_upper_bound,8,0,4096,1024,58.06459000086761,58.06459000086761,70542.13247589963,20.741606000228785,21.21913870141725,21.905522978922818,20.774154165351998,385.09389775025033,2696.3821690005716
identity_upper_bound,8,1,4096,1024,65.9603589992912,65.9603589992912,62097.9033792708,20.27149199784617,20.963965399278095,21.49339790121303,20.339201842528663,393.3291021908362,2649.038993000431
identity_upper_bound,8,2,4096,1024,65.9334129995841,65.9334129995841,62123.28186356494,20.72519600187661,21.258055000726017,21.7227378210373,20.731298598433582,385.889960632011,2698.808335000649
