rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,0.241953999989164,876.6592079999782,2462.3152849999315,31.713121539999065,23.69553750003206,180.26043409998914,193.1014279999772,0
1,201,111,2.0392,0.4406880682621406,45.88617606818968,3554.306263068294,31.89472806363731,30.064680500004215,63.890390879995465,166.8159390000028,0
2,239,60,2.0788,0.9498298900978419,206.39946789010244,2006.1659668901455,30.50451693220412,29.938781999931052,46.66475288001496,56.26828499998737,0
3,115,68,2.0833,0.8071635277078215,202.6425945276573,2242.080744527681,30.43937537313468,30.005450999965433,45.366873340001405,56.26783000002433,0
4,98,90,3.184,1.065337249585685,37.843030249562034,2671.132076249521,29.587517370786056,30.13680099991234,35.71985351994501,39.77130400005535,0
5,146,122,6.4439,1.220460932788825,33.05381593279222,3304.5046749327616,27.036783958677436,28.359130000012556,48.63461780003029,53.75777699998707,0
6,207,63,7.7911,0.9167755983732206,29.731457598334288,1842.5177565983156,29.238488693548085,28.765195500000118,39.311148689993175,53.76050600000326,0
7,228,113,9.3017,1.1272269475153252,40.300134947584,2791.38049494753,24.56321749999952,23.865088999968975,29.509381400001757,30.065938999996433,0
8,174,74,14.9353,3.945670796140277,32.76511379611513,1820.2563267960682,24.486180999999355,24.623924000025,25.602351239967902,25.714442999969833,0
9,98,89,27.0508,6.76212491100614,35.25084591092309,2180.5197669109475,24.378055920454823,24.240705500005788,26.177193259994738,26.329444999987572,0
10,173,38,33.6236,5.258033123517691,34.88594712352011,1125.015674123496,29.462965594593943,28.868965000015123,46.293549639967765,55.362525999953505,0
11,135,68,33.6262,3.0219254538650375,82.55595845382402,1855.018874453819,26.454670388059625,28.214840000032382,30.05247213999155,30.142839999939497,0
12,82,127,38.1644,3.832714920037006,35.24886491996426,3446.2116969200733,27.071133587302455,28.45420850002256,48.40282975001742,53.8674509999737,0
13,253,33,38.3094,1.6982310802475808,37.74498808025584,954.1974340802496,28.63913893749981,28.651841499993225,29.38059530997407,29.489560000001802,0
14,225,108,40.4482,0.5858817455575149,38.44369374564138,3126.2412717455773,28.857921289719027,29.032609999944725,35.49900811997531,56.3059419999945,0
15,251,45,42.146,0.2143716564830811,40.02261965658249,1356.6464256565212,29.923268318180423,29.524724999987484,34.66824720999057,35.66591300000255,0
16,198,71,48.4459,5.762081179504719,33.624623179598245,1950.4557851795923,27.38330231428563,28.34410950003985,53.6869841899852,55.140295999990485,0
17,182,77,49.1539,0.9319307930866216,45.126113793031664,2243.0570537930234,28.920143947368317,28.49908950003055,35.8790802499982,53.03325499994571,0
18,211,90,49.7681,0.600912536327769,30.637206536397343,2422.3206805363307,26.872848022471157,28.190550000090298,29.520029479995177,30.158055000015338,0
19,135,42,52.7525,0.83650428433657,28.46584528430185,1256.7362792843255,29.957815463415212,28.80176999997275,54.31260599998495,54.93155199997091,0
20,174,85,52.8265,0.33714171287613226,28.919348712875603,2480.466936712915,29.185090333333804,28.81913499993516,53.58232649003753,54.50711000003139,0
21,223,66,53.0972,1.849712278506388,42.278456278502574,1924.5607162785134,28.95818861538478,28.87564899992867,31.274324640053237,31.71478800004479,0
22,207,77,55.1576,0.45386697367888473,32.649811973577414,1955.9516919736311,25.306603684211233,23.927746000026673,35.71914274996857,54.387916999985464,0
23,156,48,56.7067,0.17843302723719034,36.10022602718033,1198.7789160271873,24.737844468085257,23.32965100004003,28.80435000006628,28.83418100009294,0
24,249,106,60.1821,3.042449945958481,30.770726945895888,2927.316072945935,27.586146152381325,28.45264000006864,53.29317507995696,55.30808999992587,0
25,78,64,61.0094,0.1479052764850053,28.295772276514697,1873.2717642765735,29.28533320635014,28.952473999993344,39.47219187999741,54.244390000008025,0
26,225,99,61.9058,0.5953905802513759,48.044274580256285,2589.4897145802174,25.93311673469348,24.21305000001439,29.605737040030817,29.71221199993579,0
27,197,35,65.61,1.7241456197183425,29.4574216196537,851.8549576196932,24.188162823530575,24.3531535000443,26.018142149946474,26.383070999941083,0
28,112,112,69.0604,2.4851013736508776,31.273524373688133,2959.94832637362,26.384457675675066,24.155919000008907,51.42705090000859,54.954220000013265,0
29,129,53,69.7074,1.0616442723971886,29.545592272427257,1541.9246002724663,29.084211692308443,28.59671400000252,41.98741110994211,54.955761999963215,0
30,134,39,70.1289,1.0685075158249902,28.34771951587811,1120.496830515904,28.740766078948056,28.781741499983582,29.49119571997926,29.528951999964193,0
31,229,77,72.5755,0.7546769779764873,28.663940977935454,2012.0785969779718,26.097561263158372,24.221341999918877,35.399620749984706,53.24980000000323,0
