rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,0.18978100001731946,27.16395399988869,1440.250118999984,28.261723300001904,28.95559699993555,57.46672901007741,59.936010999990685,0
1,201,111,0.5098,0.8994142670306626,46.55761726716068,3429.579999266969,30.754748927270985,29.578600000036204,54.9237212400044,55.875348999961716,0
2,239,60,0.5197,0.7353319724522356,37.646310972592524,1885.9207439725076,31.326685305083306,29.628472000013062,55.32369712000218,55.923785999993925,0
3,115,68,0.5208,0.17334663186407973,37.426833631907684,2124.13741663192,31.14493407462705,29.608841000026587,55.323687739887646,55.98273800001152,0
4,98,90,0.796,0.2424303124649585,49.552471312363735,2764.7639303124656,30.50799392134946,29.62365200005479,55.078401239889,55.986056999927314,0
5,146,122,1.611,0.4809179833040744,31.87007698320432,3667.6313889833177,30.047614148761266,29.364839999971082,54.68920200005414,55.98699699999088,0
6,207,63,1.9478,0.9127196496985235,45.269603649551904,1933.1937726496956,30.45038982258296,29.593735499929608,55.285407120029504,56.0048459999507,0
7,228,113,2.3254,0.6801777369527251,49.394289736923284,3370.3795777368978,29.65165435714263,29.359612500002186,31.29242036993446,54.80817800003024,0
8,174,74,3.7338,1.6704791991304369,29.45083719910313,2132.3248601990163,28.806493465752233,29.20134999999391,30.502097839944327,30.625165999936144,0
9,98,89,6.7627,1.6241369777674208,28.460655977738725,2231.1438859777863,25.030491250000544,23.66619399992942,32.893975349936554,57.97937699981048,0
10,173,38,8.4059,0.3872910308562183,43.00821303082536,1104.3077650308621,28.68377167567667,28.62981800012676,29.499837959974684,29.597771999988254,0
11,135,68,8.4065,0.06621986345223263,43.171645863463226,2035.76978686338,29.740270761192786,28.72116499997901,53.998387559904586,54.45004800003517,0
12,82,127,9.5411,0.21172773006838952,42.93295472997016,3920.731697730055,30.776180500000674,28.945126499934304,55.42773399992029,56.52015999999094,0
13,253,33,9.5773,0.4183002699864602,60.674503270094604,1035.4185312701266,30.460750875000997,28.844019999951342,53.934489610078344,54.15910600004281,0
14,225,108,10.112,0.9002771864157211,38.92162118648734,3320.016790186342,30.664440831774343,28.980529999898863,55.45137321999846,56.5159150000909,0
15,251,45,10.5365,0.5386554141963984,47.42953941424588,1315.4374234141173,28.81836099999708,28.829523999888806,29.318532510110344,29.337385000189897,0
16,198,71,12.1115,0.26740604486796826,51.93208404481986,2286.402574044969,31.921007000002128,29.451899000036974,55.79531274007877,56.512950000069395,0
17,182,77,12.2885,0.3065019481667264,43.5325139482714,2438.5348019481585,31.51318799999851,29.525005499863255,55.71686724988467,56.51591800005917,0
18,211,90,12.442,0.24616013410394544,32.29937313403042,2818.445422134111,31.305011786517763,29.57478500002253,56.10947100003614,56.404711000141106,0
19,135,42,13.1881,0.7076335711388992,43.083665571131746,1360.1522825710363,32.12362480487572,29.633217000082368,56.01666459997432,56.39741300001333,0
20,174,85,13.2066,0.615752178166673,80.21875517826871,2740.275694178283,31.667344511904936,29.774926499953835,55.793017130094995,56.0994440002105,0
21,223,66,13.2743,0.44458506966016387,67.56681806962384,2101.2280610697208,31.287096046155337,29.673432999970828,55.88385552003274,56.02677199999562,0
22,207,77,13.7894,0.850875743514834,51.22003174350276,2426.4567627433617,31.25311488157709,29.772402999924452,55.88849825005582,56.121275000123205,0
23,156,48,14.1767,0.7129987567910945,43.84444975669943,1535.1213187568026,31.729295085108575,29.83131099995262,56.00846798006842,56.126038000002154,0
24,249,106,15.0455,0.42759473658016134,33.95586573637566,3326.902112736521,31.361392828572814,29.67521300001863,55.82113180000305,57.041600000047765,0
25,78,64,15.2524,0.7974608192125032,34.49537381918155,1959.867680819043,30.56146519047399,29.568688000153998,54.91517032012325,55.176075000190394,0
26,225,99,15.4765,1.3311241451514633,54.58013714506471,3097.9024661449853,31.054309479591026,29.523574999984703,54.83705136012077,57.0500210001228,0
27,197,35,16.4025,1.0669236548288552,42.385144654812024,1089.913545654948,30.809658852945176,29.271495499983757,53.50054883998382,53.59389000000192,0
28,112,112,17.2651,0.3008365934888957,28.987363593479643,3458.184887593326,30.893671387386004,29.287113999998837,54.35587290000968,57.06401299994468,0
29,129,53,17.4268,2.0913388181469372,36.770559818180004,1668.133319818182,31.372360769230802,29.620694500067657,55.72705052005859,57.082451000042056,0
30,134,39,17.5322,1.0959353790305215,42.112991378903786,1221.4344963788656,31.034776447367413,29.71899499993924,55.70436006004912,57.078600000068036,0
31,229,77,18.1439,1.6615894944322918,48.651015494414196,2374.183736494587,30.59911475000227,29.30468599993219,53.40102574996308,53.506843999912235,0
32,94,61,18.413,0.37530585923306603,43.826129859279916,1873.3727678592907,30.492443966666844,29.286969500049054,53.42481865002355,53.50905000000239,0
