rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,0.24543200015614275,108.37823000019853,249.31604800076457,2.818756360011321,2.848930000254768,3.18992237990642,3.278827000031015,0
1,201,111,2.0392,2.11333306847461,21.0636140683631,337.31105006895757,2.874976690914495,2.7929314996981702,9.004121650114008,10.191948999818123,0
2,239,60,2.0788,0.9608558902498565,25.46782189069452,193.29087389082522,2.8444585084767917,2.8836510000473936,3.485383540046314,3.4931190002680523,0
3,115,68,2.0833,0.6414325284653799,24.374951527971866,213.8360475278036,2.8277775522362947,2.8625569993891986,3.306875419930294,3.481652000118629,0
4,98,90,3.184,1.4524702500442466,17.931055250230532,242.29243224992604,2.5209143483111855,2.5384540003869915,2.8050103994610254,2.8256860005058115,0
5,146,122,6.4439,3.5920349333515844,20.056325932817032,347.34260493369004,2.704845280998951,2.7119840005980222,3.10811620001914,3.114087999165349,0
6,207,63,7.7911,1.547182599072272,18.04249859921825,173.75865059873163,2.5115508387018286,2.5278079997406167,2.7949541104408127,2.834390000316489,0
7,228,113,9.3017,1.6585649481708487,18.852729947807845,300.94886094769714,2.5187154553561544,2.5268995000260475,2.8566335203413473,2.8737210004692315,0
8,174,74,14.9353,0.8148857965419865,19.98710379630886,227.1896337966677,2.8383908219227236,2.864918999875954,3.369120920106071,3.8211470000533154,0
9,98,89,27.0508,6.811551911255265,27.288745911050682,270.1884909116643,2.760224375006973,2.7993029998469865,3.1528815394904086,3.1743340005050413,0
10,173,38,33.6236,2.079304124016801,26.76662812431374,130.53199112349745,2.8044692702482084,2.8312329995969776,3.3835537996856146,3.5217019994888688,0
11,135,68,33.6262,0.13899845400544564,26.473282453864044,216.0934644538628,2.830151970149235,2.8546180001285393,3.2724499804680836,3.5818229998767492,0
12,82,127,38.1644,3.4611439200773475,20.93478392046677,358.9002529202219,2.682265626982183,2.643138499934139,3.150303250322395,9.33972700022423,0
13,253,33,38.3094,0.2742140804983251,18.18435208043212,97.80630908063159,2.4881861562562335,2.5043054997695435,2.8943383804016776,2.9160390004108194,0
14,225,108,40.4482,1.8939577464536228,19.10086674592293,319.97451474648386,2.811903252341691,2.858953999748337,3.098578640183405,3.1270320005205576,0
15,251,45,42.146,1.6622176572980152,17.85939865666819,127.80863565703271,2.49884629546283,2.527763999751187,2.804392139751144,2.813680999679491,0
16,198,71,48.4459,1.8926701802044477,19.553474180320052,208.98567018019065,2.70617422856958,2.7375105000828626,3.138875429458494,3.1726529996376485,0
17,182,77,49.1539,0.6446337936552027,17.122556793566446,208.48750579332886,2.517959855260032,2.5333760004286887,2.8744267494857922,2.9484659999070573,0
18,211,90,49.7681,0.8919625369969708,17.597863537019975,241.63849653720604,2.517310483148158,2.5374989991178154,2.801527559677198,2.9519970003093476,0
19,135,42,52.7525,2.5014622848971158,19.348452284873474,140.34317728481938,2.951090853657217,2.785651999147376,6.960590799644714,9.259841999664786,0
20,174,85,52.8265,0.15515771328011851,19.165627713746858,249.00739971316455,2.7362115714216393,2.7342195003257075,3.3627898599388577,3.588348999983282,0
21,223,66,53.0972,0.5630612790881173,16.161237279000318,179.50627027904176,2.5130005076929454,2.516018999813241,2.85773919949861,2.858951999769488,0
22,207,77,55.1576,2.1438029745226572,19.217589973912652,234.8680409742414,2.837505934214852,2.858177500002057,3.108455000074173,3.1332349999502185,0
23,156,48,56.7067,2.27421602787814,19.654505027325797,137.17883402726017,2.500517638296476,2.53108400011115,2.8279063202899124,2.832969999872148,0
24,249,106,60.1821,4.317978946694723,20.837917946103346,313.5165729467033,2.787415761910476,2.832153999406728,3.165748279679974,3.16809000014473,0
25,78,64,61.0094,0.8490822771634043,17.315241276882887,175.21427027684666,2.5063337936502186,2.526236000448989,2.7990962207331904,2.839160000803531,0
