mode,batch,prompt_tokens_total,output_tokens_total,ttft_ms,prefill_ms,prefill_tok_s,itl_p50_ms,itl_p95_ms,itl_p99_ms,tpot_ms,decode_tok_s,e2e_ms,itl_steady_p50_ms,energy_j_per_out_token,graph_mode_used,capture_ms,graph_mem_mb,graph_error,peak_mem_gb,rep,status,agree_vs_dynamic,agree_vs_static
dynamic,1,512,128,64.55317500001456,64.55317500001456,7931.445664754437,29.060097999945356,29.588716500029477,30.437559079982748,29.23852161417271,34.20145564115228,3777.8454199999487,29.05062950003412,4.680421875,none,0.0,0.0,,15.47464704,0,ok,,
static,1,512,128,70.32407799999874,70.32407799999874,7280.578922058661,33.2213840000577,34.34368520000816,35.716802159952294,33.52104577165363,29.83200484889493,4327.49689100001,33.221481999987645,5.271671875,none,0.0,0.0,,15.482005504,0,ok,1.0,
graph,1,512,128,52.70923200009747,52.70923200009747,9713.668375950785,14.115669999910097,14.160160499966423,35.37090489997807,14.933807598425112,66.96215907492058,1949.3027970000867,14.115494999998646,3.85871875,manual,41.491693000011765,9.12646484375,,15.482005504,0,ok,1.0,1.0
dynamic,1,512,128,46.300599000005604,46.300599000005604,11058.172271160855,29.252545999952417,29.824410900005205,30.499917379943327,29.28666112598414,34.14523750926204,3765.706561999991,29.23808749994805,4.7238515625,none,0.0,0.0,,15.493783552,1,ok,,
static,1,512,128,52.49065099997097,52.49065099997097,9754.117928548518,33.01136200002475,33.99044639999147,34.36953301992844,33.08035333070817,30.22942318671396,4253.695523999909,33.00879800002576,5.327125,none,0.0,0.0,,15.501142016,1,ok,1.0,
graph,1,512,128,52.6548709999588,52.6548709999588,9723.696787717903,14.12359000005381,14.19531879994338,33.93621570003461,14.88606694488226,67.17691138315041,1943.1853730000057,14.122107499986214,3.7215234375,manual,35.40600300004826,0.00146484375,,15.501142016,1,ok,1.0,1.0
dynamic,1,512,128,46.74844400005895,46.74844400005895,10952.236185644048,29.352707999919403,29.99969639996607,30.218608739937736,29.312734330708405,34.11486587085077,3769.4657040000266,29.33104600003844,4.934140625,none,0.0,0.0,,15.503351808,2,ok,,
static,1,512,128,52.39663999998356,52.39663999998356,9771.61894350784,33.01298999997471,33.76850540001897,34.055271719973916,33.099003165354915,30.212390234359408,4255.970042000058,32.99957550001409,5.224375,none,0.0,0.0,,15.510710272,2,ok,1.0,
graph,1,512,128,52.61028300003545,52.61028300003545,9731.937765848075,14.12014199991063,14.149545999998736,33.49676412000917,14.859385503937155,67.2975339212405,1939.7522420000541,14.119548499991197,3.892765625,manual,34.52146699999048,0.00146484375,,15.510710272,2,ok,1.0,1.0
dynamic,4,2048,512,153.57775999996193,153.57775999996193,13335.26416846103,29.921375000071748,30.545186100050614,31.290821779916765,30.094290377952692,132.91557799716156,3975.5526379999537,29.891985499943985,1.322560546875,none,0.0,0.0,,16.085348352,0,ok,,
static,4,2048,512,157.20020599997042,157.20020599997042,13027.972749605591,34.13982099993973,34.9101288000611,35.19915468003546,34.196074653543405,116.97248998681546,4500.101686999983,34.11907750006549,1.566380859375,none,0.0,0.0,,16.108566528,0,ok,1.0,
graph,4,2048,512,157.5588499999867,157.5588499999867,12998.317771424283,16.41737199997806,16.44828559999496,35.16799254011857,17.163992094489778,233.04601738217622,2337.3858460001884,16.415696499961996,1.20749609375,manual,39.07842800003891,0.00146484375,,16.108566528,0,ok,1.0,1.0
dynamic,4,2048,512,156.17756100004954,156.17756100004954,13113.279442232744,30.001129999845944,30.671769600144216,31.63164755998423,30.065220716535155,133.04409229898303,3974.460592000014,29.986329000053047,1.3718359375,none,0.0,0.0,,16.094916608,1,ok,,
static,4,2048,512,157.45434400014346,157.45434400014346,13006.94504813493,33.80417099992883,34.47377140007575,34.869143120054105,33.84886534645626,118.17235109828498,4456.260243000088,33.79546400003619,1.550900390625,none,0.0,0.0,,16.118134784,1,ok,1.0,
graph,4,2048,512,157.35857600020609,157.35857600020609,13014.86103939653,16.381499000090116,16.415998900038176,34.36995443988962,17.09211348818783,234.02606136241462,2328.0569890000606,16.38004949995775,1.247736328125,manual,35.73254900015854,0.00146484375,,16.118134784,1,ok,1.0,1.0
dynamic,4,2048,512,155.11762200003432,155.11762200003432,13202.884195836543,29.79601999982151,30.845477499951812,31.8747189000851,29.924858283464804,133.66813510392558,3955.5746240000644,29.787014500016085,1.34187890625,none,0.0,0.0,,16.104484864,2,ok,,
static,4,2048,512,157.1207609999874,157.1207609999874,13034.560085921199,33.858515000019906,34.97121279997373,35.44652718013367,34.01213515748147,117.60508364086462,4476.6619260001335,33.83764950001478,1.593599609375,none,0.0,0.0,,16.12770304,2,ok,1.0,
graph,4,2048,512,157.4055370001588,157.4055370001588,13010.978133494336,16.408733999924152,16.458571400016808,34.06706155999927,17.12455648818803,233.58269177710216,2332.224211000039,16.408171500074786,1.225056640625,manual,36.36778999998569,0.00146484375,,16.12770304,2,ok,1.0,1.0
dynamic,16,8192,2048,588.0705030001536,588.0705030001536,13930.30250319809,29.825888000004852,30.418877399870325,32.23281627994311,29.932164582676233,534.542029388021,4389.455405000035,29.811040499907904,0.45652001953125,none,0.0,0.0,,18.373357568,0,ok,,
static,16,8192,2048,590.5220570000438,590.5220570000438,13872.47081271918,34.06373799998619,35.3092124998966,36.0127367799123,34.22142609448796,467.54334421431724,4936.643171000014,34.03247549999833,0.62940576171875,none,0.0,0.0,,18.490423296,0,ok,1.0,
graph,16,8192,2048,596.1183659999278,596.1183659999278,13742.237225418738,25.149510999881386,25.204970800064075,35.660363919978394,25.70634915747987,622.4143265923244,3860.8247089998713,25.149021499942137,0.5783271484375,manual,38.42176200009817,0.00146484375,,18.490423296,0,ok,1.0,1.0
dynamic,16,8192,2048,590.137089999871,590.137089999871,13881.520309123072,30.043724000051952,31.242293300078927,31.933520480092735,30.18131474803118,530.1293245034572,4423.164062999831,30.043541000054574,0.45876416015625,none,0.0,0.0,,18.382925824,1,ok,,
static,16,8192,2048,590.46003200001,590.46003200001,13873.928049375341,34.233917999927144,35.56396950009457,36.37511649998942,34.44004962991997,464.5754048536539,4964.346334999846,34.229042499873685,0.63741455078125,none,0.0,0.0,,18.499991552,1,ok,1.0,
graph,16,8192,2048,598.8186010001755,598.8186010001755,13680.26976168965,25.11944399998356,25.225134399920535,35.495532779937086,25.67961453543265,623.0623118553144,3860.1296470001216,25.118320999922616,0.57838671875,manual,38.45679400001245,0.00146484375,,18.499991552,1,ok,1.0,1.0
dynamic,16,8192,2048,591.7937640001583,591.7937640001583,13842.660227825261,30.16089499988084,30.661417700025595,32.04530137988513,30.22855088188837,529.3009268792472,4430.8197259999815,30.161652499941738,0.46048388671875,none,0.0,0.0,,18.39249408,2,ok,,
static,16,8192,2048,591.689851999945,591.689851999945,13845.091262441936,34.16531099992426,34.56679719997737,34.79809102006584,34.20308579527625,467.7940492202531,4935.481748000029,34.16369950002718,0.63153076171875,none,0.0,0.0,,18.509559808,2,ok,0.93896484375,
graph,16,8192,2048,592.5677499999438,592.5677499999438,13824.579552297231,25.121807000004992,25.16389740012528,35.517407599991195,25.67945988976421,623.0660640326619,3853.8591559999986,25.121270999875378,0.58799462890625,manual,37.785631000133435,0.00146484375,,18.509559808,2,ok,0.93896484375,1.0
dynamic,32,16384,4096,1167.3043600001165,1167.3043600001165,14035.75670701544,29.629812999928618,30.67716540008405,31.537850859876926,29.753909740157173,1075.4889115231606,4946.050897000077,29.628010000010363,0.295944091796875,none,0.0,0.0,,21.421764608,0,ok,,
