mode,batch,prompt_tokens_total,output_tokens_total,ttft_ms,prefill_ms,prefill_tok_s,itl_p50_ms,itl_p95_ms,itl_p99_ms,tpot_ms,decode_tok_s,e2e_ms,itl_steady_p50_ms,energy_j_per_out_token,graph_mode_used,capture_ms,graph_mem_mb,graph_error,peak_mem_gb,rep,status,agree_vs_dynamic,agree_vs_static
dynamic,1,512,128,46.771350999961214,46.771350999961214,10946.87215685569,21.928336999962994,22.910110899988464,24.125325680008697,22.13087247244091,45.18574679987326,2857.392154999957,21.92447799995989,1.6935,none,0.0,0.0,,2.257912832,0,ok,,
static,1,512,128,45.712494999975206,45.712494999975206,11200.43874219243,25.176385999998274,25.83074089998263,26.232373339996684,25.412575322834492,39.35059659622333,3273.1095609999556,25.178085500044745,1.884703125,none,0.0,0.0,,2.260811776,0,ok,1.0,
graph,1,512,128,29.621293000104743,29.621293000104743,17284.86329068044,5.071612999927311,5.930045299987796,27.607767839929224,5.913101842519445,169.11597781206518,780.5852270000742,5.069939000009072,0.87246875,manual,31.324698000048556,8.12646484375,,2.260811776,0,ok,1.0,1.0
dynamic,1,512,128,27.792389999945044,27.792389999945044,18422.309128542467,21.972506999986763,22.418447100017147,22.492238739982895,22.008929023622017,45.43610454314735,2822.9263759999412,21.971706999977414,2.020828125,none,0.0,0.0,,2.274952192,1,ok,,
static,1,512,128,29.297097000039685,29.297097000039685,17476.13423948818,25.174944000013966,26.07140040001923,27.024404480023346,25.289793881889516,39.5416429517094,3241.100920000008,25.143573000036668,1.94984375,none,0.0,0.0,,2.277851136,1,ok,1.0,
graph,1,512,128,29.45733499996095,29.45733499996095,17381.069944062445,5.126509999968221,6.00051810002924,25.784912380077,6.080803598425469,164.4519484659782,801.7193919999954,5.125044000010348,0.858953125,manual,27.740891999997075,0.00146484375,,2.277851136,1,ok,1.0,1.0
dynamic,1,512,128,28.048114999933205,28.048114999933205,18254.346147725766,22.062214000015956,22.640181099961865,23.511516659987137,22.103614763780097,45.24146890392976,2835.2071900000055,22.062032500002715,1.97909375,none,0.0,0.0,,2.283471872,2,ok,,
static,1,512,128,29.40641999998661,29.40641999998661,17411.163956722143,24.84947400000692,25.28530149999142,25.432358199943792,24.889501472441268,40.177582548499146,3190.3731070000276,24.851499499959573,1.9013984375,none,0.0,0.0,,2.286370816,2,ok,1.0,
graph,1,512,128,29.25144400001045,29.25144400001045,17503.40940432948,5.12471000001824,5.9965570999679585,25.668959259953677,6.0709454173229105,164.71899041401159,800.26151200002,5.124393000073724,0.8506796875,manual,26.967729000034524,0.00146484375,,2.286370816,2,ok,1.0,1.0
dynamic,2,1024,256,33.864671999936036,33.864671999936036,30238.001419353306,23.484639999992396,23.897296899963294,24.602692260036743,23.718989921259503,84.32062270102765,3046.176391999893,23.481721499990726,1.05590234375,none,0.0,0.0,,2.337616896,0,ok,,
static,2,1024,256,32.56355700000313,32.56355700000313,31446.19612654421,26.95214400000623,28.054995099921598,28.480525879983816,27.08307144881853,73.84686791450487,3472.1136309999565,26.962058500032526,1.03786328125,none,0.0,0.0,,2.343399424,0,ok,1.0,
graph,2,1024,256,32.27892500001417,32.27892500001417,31723.485215184537,5.64632900000106,6.594857799996134,27.980176259982265,6.531215173228208,306.2217285686903,861.7432519999966,5.645446500011531,0.5093359375,manual,31.833397000013974,0.00146484375,,2.343399424,0,ok,1.0,1.0
dynamic,2,1024,256,30.418403999988186,30.418403999988186,33663.830620449306,23.639359999947374,24.178933300026983,24.381937939945146,23.67340370078744,84.48299303633615,3036.940673999993,23.619825500020397,1.028546875,none,0.0,0.0,,2.346136576,1,ok,,
static,2,1024,256,31.923211000048468,31.923211000048468,32076.973710396654,26.922430000013264,27.464109999959874,27.68235928009517,26.974571850394025,74.1439015637531,3457.6938360000895,26.91719199998488,1.01007421875,none,0.0,0.0,,2.351919104,1,ok,1.0,
graph,2,1024,256,32.019579999996495,32.019579999996495,31980.43197318991,5.6461719999560955,6.580468599997857,27.3610959199982,6.559543228346715,304.89927886397743,865.0815700000294,5.64539300000888,0.4826328125,manual,29.51382600008401,0.00146484375,,2.351919104,1,ok,1.0,1.0
dynamic,2,1024,256,30.494967999970868,30.494967999970868,33579.31052759191,23.774296000055983,24.411313900031928,24.72053932002609,23.813237952756175,83.98689854642457,3054.7761880000053,23.77000249998673,1.078125,none,0.0,0.0,,2.354656256,2,ok,,
static,2,1024,256,32.202960000063285,32.202960000063285,31798.319160660623,26.9674539999869,27.559773199971005,27.693183720018624,27.02109159055074,74.01625479480626,3463.881592000007,26.960661500027072,1.00960546875,none,0.0,0.0,,2.360438784,2,ok,1.0,
graph,2,1024,256,31.69065400004456,31.69065400004456,32312.36565829661,5.644243999995524,6.6015415999913785,27.150027100010444,6.588713070866149,303.5494152634394,868.4572140000455,5.643963000068197,0.48678125,manual,29.669757999954527,0.00146484375,,2.360438784,2,ok,1.0,1.0
dynamic,4,2048,512,38.539573999969434,38.539573999969434,53140.182608184106,23.65245999999388,24.134640799991303,24.354255079972518,23.68372049606324,168.89238330037244,3046.372077000001,23.646713499999805,0.533685546875,none,0.0,0.0,,2.464464384,0,ok,,
static,4,2048,512,42.553702000077465,42.553702000077465,48127.42261522327,26.999265999961608,27.482763700027135,27.91294665996702,27.027893023621687,147.99525795459166,3475.0961160000315,26.99483650002321,0.623599609375,none,0.0,0.0,,2.472136704,0,ok,1.0,
graph,4,2048,512,42.0435969999744,42.0435969999744,48711.34122994394,6.451319999996485,6.4958155999647715,27.449289100036363,7.186222677166091,556.6206586820397,954.6938770000679,6.451088999995136,0.32011328125,manual,29.516890999957468,0.00146484375,,2.472136704,0,ok,1.0,1.0
dynamic,4,2048,512,34.26040500005456,34.26040500005456,59777.46030721874,23.824269999977332,24.82434920001424,25.222252000005483,23.960096968504175,166.9442325403794,3077.1927200000846,23.80924250002181,0.533630859375,none,0.0,0.0,,2.472984064,1,ok,,
static,4,2048,512,42.17184399999496,42.17184399999496,48563.20724320816,26.96860599996853,27.5062349999871,27.96526992000736,27.033514141732926,147.9644850842758,3475.4281400000764,26.96658249999473,0.5849765625,none,0.0,0.0,,2.480656384,1,ok,1.0,
graph,4,2048,512,41.491891000077885,41.491891000077885,49359.04222818275,6.432635000010123,6.919015799985573,27.46075991995212,7.2132272598421014,554.5368052201867,957.5717530000247,6.432127999971726,0.319033203125,manual,29.736524000099962,0.00146484375,,2.480656384,1,ok,1.0,1.0
dynamic,4,2048,512,34.23988999998073,34.23988999998073,59813.27626932074,23.660714000016014,24.10264169993752,24.32195612000669,23.70446655905513,168.74456930025266,3044.7071429999824,23.653889000001982,0.53051953125,none,0.0,0.0,,2.481503744,2,ok,,
static,4,2048,512,42.20156799999586,42.20156799999586,48529.002524271156,27.06779400000414,28.573229400024044,29.55029697991904,27.21236109448813,146.9920227102308,3498.1714269999884,27.06911550001223,0.55215234375,none,0.0,0.0,,2.489176064,2,ok,1.0,
graph,4,2048,512,42.321151000010104,42.321151000010104,48391.8785668072,6.444041000008838,6.507819599994491,27.88130639996779,7.196262236219823,555.8441130546111,956.2464549999277,6.441824000035012,0.286859375,manual,29.88285599997198,0.00146484375,,2.489176064,2,ok,1.0,1.0
dynamic,8,4096,1024,65.1046430000406,65.1046430000406,62914.09969020867,23.579922999942937,24.90759370006117,25.878239459973425,23.68466913385848,337.77123736820874,3073.057623000068,23.556217999953333,0.284205078125,none,0.0,0.0,,2.667205632,0,ok,,
static,8,4096,1024,77.47444099993572,77.47444099993572,52869.048774464834,27.028361000020595,27.640137700007017,28.60798624006975,27.103523968504113,295.16457008677065,3519.621984999958,27.02784650000467,0.37141015625,none,0.0,0.0,,2.692386816,0,ok,1.0,
graph,8,4096,1024,73.81040799998573,73.81040799998573,55493.52877172542,7.5406140000495725,7.571827999970537,27.732201020055523,8.268240645670057,967.5577118318961,1123.876970000083,7.53995700000587,0.2277158203125,manual,29.882684999961384,0.00146484375,,2.692386816,0,ok,1.0,1.0
dynamic,8,4096,1024,64.80474300008154,64.80474300008154,63205.250269950855,23.993651999944632,24.972167199950945,25.32184162000476,24.07068368503906,332.3544983050205,3121.7815710000423,23.978084500015484,0.28612109375,none,0.0,0.0,,2.675725312,1,ok,,
static,8,4096,1024,77.5897219999706,77.5897219999706,52790.49717437513,26.95107400006691,28.382754499932616,28.907497399970907,27.081934346456794,295.3998742355958,3516.9953839999835,26.93385399993531,0.3726845703125,none,0.0,0.0,,2.700906496,1,ok,1.0,
graph,8,4096,1024,71.54562499999884,71.54562499999884,57250.18126545217,7.537541000033343,7.579825100037851,27.455085260055505,8.235650236220563,971.3865657887986,1117.4732050000102,7.5372014999288695,0.2197939453125,manual,29.03337299994746,0.00146484375,,2.700906496,1,ok,1.0,1.0
dynamic,8,4096,1024,64.94204000000536,64.94204000000536,63071.62509831323,23.738787999946,24.304774599988832,24.460784400023385,23.788799629920597,336.29271440572904,3086.119592999921,23.738742999967144,0.2946640625,none,0.0,0.0,,2.684244992,2,ok,,
static,8,4096,1024,74.67486400003054,74.67486400003054,54851.12098762343,26.816616000019167,27.70095460000448,28.48195042004363,26.88953922047296,297.513465530455,3489.6463450000965,26.81001150000384,0.379046875,none,0.0,0.0,,2.709426176,2,ok,1.0,
graph,8,4096,1024,73.0610659999229,73.0610659999229,56062.69144778592,7.552583999995477,7.59020899998859,27.80987020007614,8.267949606299341,967.5917707462573,1123.0906659999391,7.5511189999701855,0.2174541015625,manual,30.44099599992478,0.00146484375,,2.709426176,2,ok,1.0,1.0
dynamic,16,8192,2048,117.4932799999624,117.4932799999624,69723.13650621228,23.48713799995039,24.311649199933072,25.301156220036773,23.59468316535461,678.1188748274311,3114.018041999998,23.469103000024916,0.16075048828125,none,0.0,0.0,,3.06405888,0,ok,,
static,16,8192,2048,133.02694900005463,133.02694900005463,61581.50706738855,26.715450999972745,27.45129290001387,28.020938299973746,26.831974047243378,596.3034986478673,3540.6876529999636,26.717092499950468,0.25031298828125,none,0.0,0.0,,3.110211584,0,ok,1.0,
graph,16,8192,2048,118.3944539999402,118.3944539999402,69192.43024680986,10.626223000031132,10.691795699983686,27.26483476003522,11.256922811024046,1421.347580382358,1548.023650999994,10.62588450002977,0.18535986328125,manual,29.497236999986853,0.00146484375,,3.110211584,0,ok,1.0,1.0
dynamic,16,8192,2048,115.43450700003177,115.43450700003177,70966.64778061335,23.30083900005775,24.362933999975667,24.94423759999108,23.40804899212591,683.5255687213463,3088.2567290000225,23.310543499917458,0.1640009765625,none,0.0,0.0,,3.07257856,1,ok,,
static,16,8192,2048,134.2731749999757,134.2731749999757,61009.95228571516,26.702614999976504,27.743131600027482,28.13960271999349,26.78000728346476,597.4606291417685,3535.3341,26.679402499951266,0.250974609375,none,0.0,0.0,,3.118731264,1,ok,1.0,
graph,16,8192,2048,118.34563599995818,118.34563599995818,69220.97237284605,10.619840999993357,10.682507700039423,27.105401140040605,11.24813655118179,1422.4578379890802,1546.8589780000457,10.618524999983947,0.17658984375,manual,29.454334000092786,0.00146484375,,3.118731264,1,ok,1.0,1.0
dynamic,16,8192,2048,116.57599800003027,116.57599800003027,70271.75525443816,23.290604999942843,23.700698499987993,23.78869391995977,23.29972055905563,686.7035147244059,3075.6405090000953,23.280559499994524,0.165359375,none,0.0,0.0,,3.08109824,2,ok,,
static,16,8192,2048,134.02310599997236,134.02310599997236,61123.78861001542,26.65094600001794,27.080786800036094,27.38692432001926,26.661086913385926,600.1255707233288,3519.981143999985,26.651791000006142,0.2499208984375,none,0.0,0.0,,3.127250944,2,ok,1.0,
graph,16,8192,2048,119.24078499998814,119.24078499998814,68701.32564122934,10.627654000018083,10.674156200059315,27.22448019999546,11.25031236220484,1422.1827345658085,1548.0304550000028,10.62737099999822,0.1850634765625,manual,30.0583570000299,0.00146484375,,3.127250944,2,ok,1.0,1.0
dynamic,32,16384,4096,227.6702030000024,227.6702030000024,71963.74309904677,23.042786000019078,23.702041200033364,24.283309900024506,23.118256393701355,1384.187434166467,3163.6887650000745,23.038946500037127,0.093926025390625,none,0.0,0.0,,3.832206336,0,ok,,
static,32,16384,4096,248.08550699992793,248.08550699992793,66041.74584049667,26.278488999992078,26.801912300049935,27.127400080055395,26.355302929134023,1214.1768996563549,3595.208978999949,26.272416999972847,0.177219970703125,none,0.0,0.0,,3.924496384,0,ok,1.0,
graph,32,16384,4096,227.6515849999896,227.6515849999896,71969.6285005033,15.501720000088426,15.565975499998785,27.4557691599557,16.02232937795283,1997.2127176484644,2262.487415999999,15.50103400001035,0.160724853515625,manual,30.252690999986953,0.00146484375,,3.924496384,0,ok,1.0,1.0
dynamic,32,16384,4096,227.38648200004263,227.38648200004263,72053.53570665176,23.292588999993313,24.302791599996,25.42911393999702,23.44967637795227,1364.624376227506,3205.495381999981,23.289626999996926,0.097561279296875,none,0.0,0.0,,3.840726016,1,ok,,
static,32,16384,4096,242.60771999990993,242.60771999990993,67532.88807135273,26.45769800005837,27.436210100051994,27.60376897998185,26.55248991338633,1205.160047301904,3614.7739389999742,26.431985499982602,0.179544189453125,none,0.0,0.0,,3.933016064,1,ok,1.0,
graph,32,16384,4096,228.09816200003752,228.09816200003752,71828.72433666214,15.510824999978468,15.562755100029335,27.7883803800023,16.046808110235983,1994.1660534712662,2266.0427920000075,15.509951499950603,0.16127001953125,manual,30.46244199992998,0.00146484375,,3.933016064,1,ok,1.0,1.0
dynamic,32,16384,4096,229.3566790000341,229.3566790000341,71434.58856935038,23.137870999903498,23.552149199952055,23.818110099989553,23.125496110236153,1383.754097532017,3166.2946850000253,23.140248499942118,0.0944296875,none,0.0,0.0,,3.849245696,2,ok,,
static,32,16384,4096,238.5416490000125,238.5416490000125,68684.022554062,26.559364000036112,26.95294629994578,27.583928080002806,26.568584960630428,1204.4299704864934,3612.751939000077,26.54969949998076,0.179235595703125,none,0.0,0.0,,3.941535744,2,ok,0.970458984375,
graph,32,16384,4096,228.27186699998947,228.27186699998947,71774.06578972237,15.50918099997034,15.72981840004104,27.577657360011465,16.044141968503986,1994.4974348156927,2265.8778969999958,15.506879500037485,0.160318359375,manual,30.022777999988648,0.00146484375,,3.941535744,2,ok,0.970458984375,1.0
