batch,mode,itl_ms,ttft_ms,decode_tok_s,j_per_tok,peak_mem_gb,capture_ms,graph_mem_mb,agree_vs_dynamic
1,dynamic,21.971706999977414,28.048114999933205,45.24146890392976,1.97909375,2.274952192,0.0,0.0,
1,graph,5.124393000073724,29.45733499996095,164.71899041401159,0.858953125,2.277851136,27.740891999997075,0.00146484375,1.0
1,static,25.143573000036668,29.40641999998661,39.5416429517094,1.9013984375,2.277851136,0.0,0.0,1.0
2,dynamic,23.619825500020397,30.494967999970868,84.32062270102765,1.05590234375,2.346136576,0.0,0.0,
2,graph,5.64539300000888,32.019579999996495,304.89927886397743,0.48678125,2.351919104,29.669757999954527,0.00146484375,1.0
2,static,26.960661500027072,32.202960000063285,74.01625479480626,1.01007421875,2.351919104,0.0,0.0,1.0
4,dynamic,23.653889000001982,34.26040500005456,168.74456930025266,0.533630859375,2.472984064,0.0,0.0,
4,graph,6.441824000035012,42.0435969999744,555.8441130546111,0.319033203125,2.480656384,29.736524000099962,0.00146484375,1.0
4,static,26.99483650002321,42.20156799999586,147.9644850842758,0.5849765625,2.480656384,0.0,0.0,1.0
8,dynamic,23.738742999967144,64.94204000000536,336.29271440572904,0.28612109375,2.675725312,0.0,0.0,
8,graph,7.53995700000587,73.0610659999229,967.5917707462573,0.2197939453125,2.700906496,29.882684999961384,0.00146484375,1.0
8,static,26.93385399993531,77.47444099993572,295.3998742355958,0.3726845703125,2.700906496,0.0,0.0,1.0
16,dynamic,23.310543499917458,116.57599800003027,683.5255687213463,0.1640009765625,3.07257856,0.0,0.0,
16,graph,10.62588450002977,118.3944539999402,1422.1827345658085,0.1850634765625,3.118731264,29.497236999986853,0.00146484375,1.0
16,static,26.679402499951266,134.02310599997236,597.4606291417685,0.25031298828125,3.118731264,0.0,0.0,1.0
32,dynamic,23.140248499942118,227.6702030000024,1383.754097532017,0.0944296875,3.840726016,0.0,0.0,
32,graph,15.506879500037485,228.09816200003752,1994.4974348156927,0.160724853515625,3.933016064,30.252690999986953,0.00146484375,0.970458984375
32,static,26.431985499982602,242.60771999990993,1205.160047301904,0.179235595703125,3.933016064,0.0,0.0,0.970458984375
